,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,T1,1,Jim Herman,16,100.0
1,T1,999,Tyrone Van Aswegen,11,100.0
2,T3,T4,Brooks Koepka,13,90.91
3,T3,T2,Marc Leishman,14,90.91
4,T3,T2,Jon Rahm,14,90.91
5,6,6,Seamus Power,21,85.71
6,T7,T12,Talor Gooch,12,83.33
7,T7,7,Haotong Li,9,83.33
8,T7,T8,Webb Simpson,14,83.33
9,T10,T8,Byeong Hun An,15,81.82
10,T10,T8,Max Homa,19,81.82
11,T10,T12,Rory McIlroy,13,81.82
12,T10,T8,Ryan Moore,16,81.82
13,T10,T12,Ryan Palmer,16,81.82
14,T10,T4,Justin Thomas,13,81.82
15,T16,T12,Patrick Cantlay,14,80.0
16,T16,T12,Patton Kizzire,18,80.0
17,T18,T18,Cameron Davis,18,77.78
18,T18,T18,Jason Day,14,77.78
19,T20,T21,Chesson Hadley,20,75.0
20,T20,T21,Si Woo Kim,20,75.0
21,T20,999,Shane Lowry,10,75.0
22,T20,T21,Brady Schnell,14,75.0
23,T20,T21,Charl Schwartzel,13,75.0
24,T20,T21,Kyle Stanley,18,75.0
25,T20,T21,Brian Stuard,22,75.0
26,27,T28,Brandt Snedeker,18,73.33
27,T28,27,Ryan Armour,21,72.73
28,T28,T12,Dustin Johnson,12,72.73
29,T30,T28,Sergio Garcia,11,71.43
30,T30,T36,Matt Kuchar,16,71.43
31,T30,T28,Patrick Rodgers,14,71.43
32,T30,T28,Adam Svensson,18,71.43
33,34,39,Sungjae Im,26,70.59
34,T35,T32,Paul Casey,15,70.0
35,T35,T32,Corey Conners,20,70.0
36,T35,T32,Brice Garnett,21,70.0
37,T35,T18,Kelly Kraft,23,70.0
38,T39,T36,Sung Kang,20,69.23
39,T39,T36,Gary Woodland,17,69.23
40,T41,T40,Kiradech Aphibarnrat,15,66.67
41,T41,T59,Dominic Bozzelli,17,66.67
42,T41,T40,Bryson DeChambeau,13,66.67
43,T41,T40,Anirban Lahiri,17,66.67
44,T41,T40,Adam Long,19,66.67
45,T41,T40,Hunter Mahan,15,66.67
46,T41,T108,Rod Pampling,16,66.67
47,T41,T40,Xander Schauffele,15,66.67
48,T41,T40,Martin Trainer,19,66.67
49,T41,T40,Matt Wallace,9,66.67
50,T41,T40,Tiger Woods,8,66.67
51,T41,T40,Chase Wright,19,66.67
52,53,53,Jason Kokrak,17,64.71
53,54,54,Matt Jones,19,64.29
54,T55,T32,Scott Brown,21,63.64
55,T55,T55,Sam Burns,22,63.64
56,T55,T55,Bud Cauley,19,63.64
57,T55,T55,Wyndham Clark,20,63.64
58,T55,T68,Hank Lebioda,16,63.64
59,T55,T55,Denny McCarthy,20,63.64
60,T55,T68,Cameron Tringale,15,63.64
61,T62,T59,Ernie Els,14,62.5
62,T62,T59,Adam Scott,12,62.5
63,T62,T59,Chris Stroud,19,62.5
64,T62,T82,Danny Willett,15,62.5
