,First_Tee_Early_Lowest_Round_RANK THIS WEEK,First_Tee_Early_Lowest_Round_RANK LAST WEEK,First_Tee_Early_Lowest_Round_PLAYER NAME,First_Tee_Early_Lowest_Round_ROUNDS,First_Tee_Early_Lowest_Round_LOW RND
0,1,1,Phil Mickelson,41,60
1,2,2,Sung Kang,67,61
2,T3,T3,Stewart Cink,33,62
3,T3,T3,Kevin Na,54,62
4,T3,T3,Ryan Palmer,56,62
5,T3,T3,Scott Piercy,70,62
6,T3,T3,Andrew Putnam,57,62
7,T8,T8,Jonas Blixt,66,63
8,T8,T48,Keegan Bradley,65,63
9,T8,T8,Patrick Cantlay,49,63
10,T8,T8,Jason Dufner,56,63
11,T8,T8,Rickie Fowler,54,63
12,T8,T8,Brian Gay,79,63
13,T8,T8,Doug Ghim,19,63
14,T8,T8,Jason Gore,10,63
15,T8,T8,Charley Hoffman,58,63
16,T8,T8,Whee Kim,57,63
17,T8,T8,Luke List,52,63
18,T8,T8,Adam Long,52,63
19,T8,T8,Denny McCarthy,63,63
20,T8,T8,Chip McDaniel,9,63
21,T8,T8,Peter Uihlein,65,63
22,T23,T22,Kiradech Aphibarnrat,49,64
23,T23,T22,Ryan Armour,66,64
24,T23,T48,Jonathan Byrd,43,64
25,T23,T22,Corey Conners,62,64
26,T23,T22,Austin Cook,50,64
27,T23,T22,Tony Finau,61,64
28,T23,T22,Jim Furyk,53,64
29,T23,T22,Branden Grace,62,64
30,T23,T22,Adam Hadwin,66,64
31,T23,T22,Kramer Hickok,59,64
32,T23,T22,Charles Howell III,64,64
33,T23,T22,Sungjae Im,88,64
34,T23,T22,Davis Love III,29,64
35,T23,T203,Shane Lowry,30,64
36,T23,T22,Curtis Luck,51,64
37,T23,T22,Joost Luiten,16,64
38,T23,T22,Hunter Mahan,45,64
39,T23,T22,Graeme McDowell,61,64
40,T23,T48,Sebastián Muñoz,58,64
41,T23,T22,Carlos Ortiz,60,64
42,T23,T22,Patrick Reed,53,64
43,T23,T22,Webb Simpson,53,64
44,T23,T22,Roger Sloan,62,64
45,T23,T22,Kyle Stanley,53,64
46,T23,T22,Shawn Stefani,57,64
47,T23,T22,Kevin Streelman,63,64
48,T23,T22,Justin Thomas,49,64
49,T23,T22,Michael Thompson,56,64
50,T23,T203,Erik van Rooyen,16,64
51,T23,T22,Chase Wright,53,64
52,T53,T48,Ryan Blaum,67,65
53,T53,T48,Dominic Bozzelli,53,65
54,T53,T88,Scott Brown,66,65
55,T53,T48,Rafa Cabrera Bello,57,65
56,T53,T48,Chad Campbell,24,65
57,T53,T48,Roberto Castro,54,65
58,T53,T48,Bud Cauley,61,65
59,T53,T48,Cameron Champ,58,65
60,T53,T48,Kevin Chappell,12,65
61,T53,T48,Jason Day,45,65
62,T53,T48,Luke Donald,22,65
63,T53,T48,Harris English,72,65
64,T53,T48,Matt Every,38,65
65,T53,T48,Sergio Garcia,39,65
66,T53,T48,Brice Garnett,63,65
67,T53,T48,Lucas Glover,62,65
68,T53,T48,Chesson Hadley,58,65
69,T53,T48,Justin Harding,31,65
