,First_Tee_Early_Par_5_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Par_5_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Par_5_Scoring_Average_PLAYER NAME,First_Tee_Early_Par_5_Scoring_Average_ROUNDS,First_Tee_Early_Par_5_Scoring_Average_AVG,First_Tee_Early_Par_5_Scoring_Average_TOTAL STROKES,First_Tee_Early_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Jason Day,45,4.21,139,33
1,2,2,Dylan Frittelli,55,4.34,178,41
2,3,T5,Sungjae Im,88,4.35,239,55
3,T4,9,Kramer Hickok,59,4.37,284,65
4,T4,4,Troy Merritt,42,4.37,188,43
5,T4,3,Seth Reeves,52,4.37,153,35
6,T7,T5,Paul Casey,51,4.38,175,40
7,T7,T5,Bryson DeChambeau,45,4.38,127,29
8,T7,T5,Justin Thomas,49,4.38,175,40
9,T10,T10,Brooks Koepka,49,4.42,146,33
10,T10,T10,Marc Leishman,52,4.42,212,48
11,T10,T15,Bubba Watson,47,4.42,168,38
12,T13,T12,Tommy Fleetwood,43,4.43,93,21
13,T13,T12,Matt Kuchar,65,4.43,204,46
14,T13,T12,Keith Mitchell,64,4.43,235,53
15,T16,T15,Tony Finau,61,4.44,160,36
16,T16,T15,Luke List,52,4.44,253,57
17,T16,T15,Patrick Reed,53,4.44,173,39
18,19,19,Xander Schauffele,55,4.45,178,40
19,T20,T20,Charles Howell III,64,4.46,281,63
20,T20,T20,Webb Simpson,53,4.46,165,37
21,T22,T22,Stephan Jaeger,59,4.48,148,33
22,T22,T22,Sebastián Muñoz,58,4.48,148,33
23,T22,T22,Carlos Ortiz,60,4.48,309,69
24,T22,T22,Adam Scott,41,4.48,103,23
25,T22,T22,Jhonattan Vegas,60,4.48,233,52
26,T27,T61,Jonathan Byrd,43,4.49,157,35
27,T27,T28,Bud Cauley,61,4.49,314,70
28,T27,T28,Emiliano Grillo,65,4.49,202,45
29,T27,T28,Si Woo Kim,65,4.49,386,86
30,T31,T31,Sergio Garcia,39,4.5,99,22
31,T31,T22,Talor Gooch,37,4.5,189,42
32,T31,T31,Cody Gribble,52,4.5,207,46
33,T31,T31,Martin Kaymer,38,4.5,126,28
34,T31,T31,Justin Rose,42,4.5,90,20
35,T31,T31,Aaron Wise,52,4.5,279,62
36,T37,T37,Kiradech Aphibarnrat,49,4.51,167,37
37,T37,T37,Ryan Blaum,67,4.51,203,45
38,T37,T37,Wyndham Clark,61,4.51,248,55
39,T37,T48,Roberto Díaz,51,4.51,257,57
40,T37,T37,Denny McCarthy,63,4.51,383,85
41,T42,T41,Sam Burns,66,4.52,371,82
42,T42,T53,Julián Etulain,55,4.52,276,61
43,T42,T41,Brian Gay,79,4.52,253,56
44,T42,T66,Dustin Johnson,47,4.52,122,27
45,T42,T53,Hank Lebioda,55,4.52,253,56
46,T42,T41,Phil Mickelson,41,4.52,113,25
47,T42,T41,Scott Piercy,70,4.52,389,86
48,T42,T41,Ian Poulter,49,4.52,140,31
49,T50,T48,Adam Hadwin,66,4.53,394,87
50,T50,T48,Matt Jones,67,4.53,222,49
51,T50,T66,Martin Laird,60,4.53,195,43
52,T50,T48,Hideki Matsuyama,59,4.53,249,55
53,T50,T48,J.T. Poston,76,4.53,349,77
54,T50,T31,D.J. Trahan,33,4.53,154,34
55,T50,T41,Kevin Tway,62,4.53,299,66
56,T57,T71,Sangmoon Bae,42,4.54,177,39
57,T57,T53,Sung Kang,67,4.54,336,74
58,T57,T53,Patrick Rodgers,44,4.54,168,37
59,T57,T53,Sepp Straka,48,4.54,177,39
60,T57,T53,Vaughn Taylor,69,4.54,295,65
61,T62,T61,Corey Conners,62,4.55,300,66
62,T62,T61,Jon Rahm,51,4.55,100,22
63,T62,T41,Chase Wright,53,4.55,200,44
64,T65,T66,Jim Furyk,53,4.56,187,41
65,T65,T66,Sam Ryder,52,4.56,269,59
66,T65,T61,Nick Watney,67,4.56,283,62
67,T68,T71,Harris English,72,4.57,315,69
68,T68,T71,Bill Haas,58,4.57,247,54
69,T68,T71,Johnson Wagner,45,4.57,192,42
70,T71,T75,Byeong Hun An,54,4.58,206,45
71,T71,T75,Lucas Bjerregaard,37,4.58,87,19
72,T71,T75,Rafa Cabrera Bello,57,4.58,261,57
73,T71,T75,Patrick Cantlay,49,4.58,151,33
74,T71,T75,Chris Kirk,47,4.58,243,53
75,T71,T75,Pat Perez,52,4.58,151,33
76,T71,T53,Alex Prugh,54,4.58,229,50
77,T71,T53,Roger Sloan,62,4.58,238,52
78,T71,T75,Adam Svensson,51,4.58,142,31
79,T71,T75,Gary Woodland,63,4.58,220,48
80,T81,T84,Joel Dahmen,78,4.59,280,61
81,T81,T66,Russell Henley,56,4.59,156,34
82,T81,T75,Trey Mullinax,67,4.59,312,68
83,T81,T84,Scott Stallings,63,4.59,344,75
84,T81,T84,Henrik Stenson,46,4.59,156,34
85,T86,T93,Cameron Davis,54,4.6,244,53
86,T86,T87,Fabián Gómez,44,4.6,207,45
87,T86,T87,Nate Lashley,44,4.6,193,42
88,T86,T61,Sam Saunders,53,4.6,161,35
89,T86,T87,J.J. Spaun,68,4.6,331,72
90,T86,T87,Kevin Streelman,63,4.6,322,70
91,T92,T93,Rickie Fowler,54,4.61,166,36
92,T92,T87,Jim Knous,55,4.61,212,46
93,T92,T93,Russell Knox,65,4.61,350,76
94,T92,T93,Haotong Li,32,4.61,189,41
95,T92,T101,Ollie Schniederjans,63,4.61,346,75
96,T92,T93,Brandt Snedeker,68,4.61,272,59
97,T92,T93,Kyle Stanley,53,4.61,249,54
98,T92,T93,Michael Thompson,56,4.61,235,51
99,T92,T93,Peter Uihlein,65,4.61,346,75
100,T101,T101,Anders Albertson,48,4.62,134,29
101,T101,T101,Ernie Els,43,4.62,194,42
102,T101,T119,Tom Hoge,70,4.62,231,50
103,T101,T87,J.B. Holmes,54,4.62,171,37
104,T101,T101,Max Homa,61,4.62,245,53
105,T101,T119,Zach Johnson,50,4.62,314,68
106,T101,T101,D.A. Points,33,4.62,291,63
107,T101,T101,Rory Sabbatini,71,4.62,291,63
108,T101,T101,Richy Werenski,63,4.62,277,60
109,T110,T108,Graeme McDowell,61,4.63,380,82
110,T110,T108,Ryan Moore,54,4.63,278,60
111,T110,T108,Louis Oosthuizen,43,4.63,199,43
112,T110,T108,C.T. Pan,64,4.63,301,65
113,T110,T108,Tiger Woods,31,4.63,88,19
114,T115,T108,Keegan Bradley,65,4.64,371,80
115,T115,T115,Brice Garnett,63,4.64,422,91
116,T115,T115,Lucas Glover,62,4.64,209,45
117,T115,T119,Brian Harman,67,4.64,260,56
118,T115,T136,José de Jesús Rodríguez,51,4.64,195,42
119,T115,T124,Robert Streb,60,4.64,255,55
120,T121,T119,Charley Hoffman,58,4.65,242,52
121,T121,T119,Kevin Na,54,4.65,288,62
122,T121,T115,Hudson Swafford,59,4.65,307,66
123,T121,T108,Cameron Tringale,52,4.65,144,31
124,T121,T124,Harold Varner III,62,4.65,293,63
125,T126,T124,Beau Hossler,66,4.66,401,86
126,T126,T124,Cameron Smith,55,4.66,275,59
127,T126,T130,Martin Trainer,51,4.66,261,56
128,T129,T130,Aaron Baddeley,51,4.67,294,63
129,T129,T136,Roberto Castro,54,4.67,271,58
130,T129,T130,Whee Kim,57,4.67,196,42
131,T129,T130,Jason Kokrak,68,4.67,280,60
132,T129,T130,Rory McIlroy,50,4.67,98,21
133,T129,T130,Grayson Murray,36,4.67,215,46
134,T129,T124,Adam Schenk,80,4.67,341,73
135,T129,999,Tyrone Van Aswegen,30,4.67,154,33
136,T137,T115,Jonas Blixt,66,4.68,374,80
137,T137,T138,Scott Brown,66,4.68,248,53
138,T137,T138,Danny Willett,47,4.68,281,60
139,T140,T138,Matthew Fitzpatrick,42,4.69,305,65
140,T140,T138,James Hahn,34,4.69,136,29
141,T140,T168,Wes Roach,45,4.69,164,35
142,T140,T138,Brian Stuard,76,4.69,277,59
143,T140,T138,Nick Taylor,70,4.69,319,68
144,T140,T145,Jimmy Walker,61,4.69,333,71
145,T146,T145,Bronson Burgoon,37,4.7,155,33
146,T146,T145,Branden Grace,62,4.7,324,69
147,T146,T145,Mackenzie Hughes,58,4.7,202,43
148,T146,T145,John Huh,35,4.7,141,30
149,T146,T145,Kevin Kisner,65,4.7,263,56
150,T146,T145,Peter Malnati,64,4.7,207,44
151,T146,T138,Ryan Palmer,56,4.7,324,69
152,T153,T162,Daniel Berger,48,4.71,273,58
153,T153,T152,Kelly Kraft,67,4.71,278,59
154,T153,T156,Scott Langley,60,4.71,193,41
155,T153,T156,Danny Lee,66,4.71,292,62
156,T153,T168,Curtis Luck,51,4.71,212,45
157,T153,T152,Brady Schnell,38,4.71,113,24
158,T153,T152,Charl Schwartzel,34,4.71,146,31
159,T160,T168,John Chin,38,4.72,170,36
160,T160,T156,Jason Dufner,56,4.72,250,53
161,T160,T156,David Hearn,41,4.72,184,39
162,T160,T156,Billy Horschel,73,4.72,250,53
163,T160,T152,Alex Noren,49,4.72,274,58
164,T160,T156,Seamus Power,58,4.72,222,47
165,T166,T162,Brandon Harkins,67,4.73,355,75
166,T166,T162,Andrew Putnam,57,4.73,208,44
