,First_Tee_Early_Round_3_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_3_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_3_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_3_Scoring_Average_AVG,First_Tee_Early_Round_3_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Shawn Stefani,64.0,64,1
1,2,2,Patrick Cantlay,65.75,263,4
2,T3,T3,Anders Albertson,66.0,66,1
3,T3,T8,Jonathan Byrd,66.0,198,3
4,T3,T3,Sungjae Im,66.0,264,4
5,T3,T3,Xander Schauffele,66.0,66,1
6,7,7,Charles Howell III,66.5,266,4
7,T8,T8,Paul Casey,67.0,201,3
8,T8,T8,Mackenzie Hughes,67.0,134,2
9,T8,T8,John Huh,67.0,67,1
10,11,13,Kiradech Aphibarnrat,67.33,202,3
11,12,T14,Jim Furyk,67.75,271,4
12,T13,T14,Stewart Cink,68.0,136,2
13,T13,T14,Cameron Davis,68.0,272,4
14,T13,T14,Jason Day,68.0,272,4
15,T13,T3,Joey Garber,68.0,136,2
16,T13,T14,J.B. Holmes,68.0,136,2
17,T13,999,Shane Lowry,68.0,68,1
18,T13,T14,Alex Prugh,68.0,68,1
19,T13,T14,Jon Rahm,68.0,68,1
20,T13,T14,Rory Sabbatini,68.0,272,4
21,T13,T14,Roger Sloan,68.0,204,3
22,T13,T14,Sepp Straka,68.0,136,2
23,24,25,Lucas Glover,68.25,273,4
24,25,T26,Dylan Frittelli,68.33,205,3
25,26,28,Luke List,68.4,342,5
26,T27,T29,Bud Cauley,68.5,137,2
27,T27,T29,Sergio Garcia,68.5,137,2
28,T27,T29,Scott Langley,68.5,137,2
29,T30,T32,Corey Conners,68.6,343,5
30,T30,T32,Michael Thompson,68.6,343,5
31,32,34,Si Woo Kim,68.63,549,8
32,T33,T35,Talor Gooch,68.67,206,3
33,T33,T35,Charley Hoffman,68.67,412,6
34,T33,T35,Rory McIlroy,68.67,206,3
35,36,39,Tony Finau,68.8,344,5
36,37,40,Carlos Ortiz,68.83,413,6
37,T38,T41,Harris English,69.0,414,6
38,T38,T41,Chesson Hadley,69.0,276,4
39,T38,T41,Adam Hadwin,69.0,483,7
40,T38,T41,Kramer Hickok,69.0,207,3
41,T38,T41,Chris Kirk,69.0,138,2
42,T38,T41,Jason Kokrak,69.0,345,5
43,T38,T41,Hideki Matsuyama,69.0,621,9
44,T38,T41,Troy Merritt,69.0,207,3
45,T38,T41,Brady Schnell,69.0,69,1
46,T38,T41,Ollie Schniederjans,69.0,414,6
47,T38,T41,Webb Simpson,69.0,414,6
48,T38,T41,Robert Streb,69.0,69,1
49,T38,T35,Harold Varner III,69.0,483,7
50,51,55,J.J. Spaun,69.1,691,10
