,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Jason Day,45,67.89,611,9
1,2,2,Sungjae Im,88,68.22,1228,18
2,3,3,Patrick Cantlay,49,68.5,685,10
3,4,4,Justin Thomas,49,68.58,823,12
4,5,6,Jim Furyk,53,68.62,892,13
5,6,5,Jon Rahm,51,68.67,412,6
6,7,7,Tony Finau,61,68.91,758,11
7,8,8,Webb Simpson,53,69.0,897,13
8,9,9,Lucas Glover,62,69.23,900,13
9,10,16,Dustin Johnson,47,69.25,554,8
10,T11,T10,Kiradech Aphibarnrat,49,69.27,762,11
11,T11,58,Jonathan Byrd,43,69.27,762,11
12,13,T20,Scott Brown,66,69.28,1247,18
13,14,12,Rickie Fowler,54,69.3,693,10
14,T15,T13,Sergio Garcia,39,69.33,416,6
15,T15,T13,Charles Howell III,64,69.33,1248,18
16,17,15,Ryan Palmer,56,69.43,1458,21
17,18,17,Ryan Blaum,67,69.46,903,13
18,T19,T20,Kramer Hickok,59,69.5,1390,20
19,T19,T18,Gary Woodland,63,69.5,973,14
20,T21,T18,Dylan Frittelli,55,69.54,904,13
21,T21,22,Troy Merritt,42,69.54,904,13
22,23,23,Phil Mickelson,41,69.57,487,7
23,24,24,Johnson Wagner,45,69.58,835,12
24,T25,25,Denny McCarthy,63,69.6,1740,25
25,T25,T27,Harold Varner III,62,69.6,1392,20
26,27,26,Xander Schauffele,55,69.64,766,11
27,T28,T10,Russell Henley,56,69.67,836,12
28,T28,T27,Si Woo Kim,65,69.67,1672,24
29,T28,T45,Cameron Tringale,52,69.67,627,9
30,T31,29,Bud Cauley,61,69.71,1464,21
31,T31,37,Scott Langley,60,69.71,976,14
32,33,30,Michael Thompson,56,69.73,1046,15
33,34,31,Aaron Baddeley,51,69.78,1256,18
34,35,T32,Rory Sabbatini,71,69.79,1326,19
35,T36,40,Jonas Blixt,66,69.8,1745,25
36,T36,67,Stephan Jaeger,59,69.8,698,10
37,T36,T34,Scott Piercy,70,69.8,1745,25
38,39,36,Luke List,52,69.82,1187,17
39,40,38,Nick Watney,67,69.89,1328,19
40,41,39,Paul Casey,51,69.91,769,11
41,42,T45,Talor Gooch,37,69.92,909,13
42,43,T41,Keith Mitchell,64,69.93,979,14
43,44,43,Hideki Matsuyama,59,69.94,1119,16
44,45,44,Russell Knox,65,69.96,1679,24
45,T46,T45,Stewart Cink,33,70.0,700,10
46,T46,T54,Ben Crane,41,70.0,910,13
47,T46,53,Harris English,72,70.0,1540,22
48,T46,T34,J.B. Holmes,54,70.0,770,11
49,T46,T45,Matt Jones,67,70.0,1050,15
50,T46,T45,Sung Kang,67,70.0,1470,21
51,T46,T41,Alex Prugh,54,70.0,1050,15
52,T46,T45,Sepp Straka,48,70.0,700,10
53,T46,T32,Chase Wright,53,70.0,1050,15
54,55,T74,Keegan Bradley,65,70.04,1681,24
55,T56,T54,Ernie Els,43,70.08,841,12
56,T56,T54,Nate Lashley,44,70.08,841,12
57,58,57,Patrick Reed,53,70.09,771,11
58,59,T59,D.J. Trahan,33,70.1,701,10
59,60,T59,James Hahn,34,70.13,561,8
60,T61,T61,Tommy Fleetwood,43,70.17,421,6
61,T61,T61,Adam Scott,41,70.17,421,6
62,T63,66,Richy Werenski,63,70.2,1404,20
63,T63,T64,Tiger Woods,31,70.2,351,5
64,65,68,Marc Leishman,52,70.23,913,13
65,T66,63,Cameron Davis,54,70.24,1194,17
66,T66,69,Carlos Ortiz,60,70.24,1475,21
67,T66,T64,Roger Sloan,62,70.24,1194,17
68,T69,70,Charley Hoffman,58,70.27,1054,15
69,T69,T133,Sebastián Muñoz,58,70.27,773,11
70,T71,T71,Emiliano Grillo,65,70.29,984,14
71,T71,T71,Kevin Streelman,63,70.29,1476,21
72,73,T45,Brian Gay,79,70.3,1406,20
73,74,78,Martin Laird,60,70.31,914,13
74,75,T74,Brian Stuard,76,70.32,1336,19
75,T76,T76,Byeong Hun An,54,70.33,1055,15
76,T76,99,Tom Hoge,70,70.33,1055,15
77,T76,T76,Whee Kim,57,70.33,844,12
78,T76,999,Martin Piller,30,70.33,633,9
79,80,T45,Bubba Watson,47,70.36,774,11
80,T81,T79,Wyndham Clark,61,70.38,1126,16
81,T81,T79,Matt Kuchar,65,70.38,915,13
82,T81,T79,Jhonattan Vegas,60,70.38,1126,16
83,T84,T82,Graeme McDowell,61,70.4,1760,25
84,T84,T82,Vaughn Taylor,69,70.4,1408,20
85,86,84,Brady Schnell,38,70.43,493,7
86,87,T86,Brooks Koepka,49,70.44,634,9
87,88,85,Adam Hadwin,66,70.46,1691,24
88,T89,T86,Corey Conners,62,70.5,1410,20
89,T89,T133,Henrik Stenson,46,70.5,705,10
90,T89,T93,Robert Streb,60,70.5,1128,16
91,T89,T71,Aaron Wise,52,70.5,1269,18
92,93,92,Ryan Armour,66,70.52,1622,23
93,T94,T88,David Hearn,41,70.55,776,11
94,T94,T88,Andrew Landry,56,70.55,1411,20
95,96,T133,Sangmoon Bae,42,70.58,847,12
96,97,T96,Ollie Schniederjans,63,70.59,1553,22
97,98,95,Tyrrell Hatton,46,70.61,1271,18
98,99,T88,Adam Schenk,80,70.62,1483,21
99,100,T96,Tyler Duncan,66,70.63,1130,16
100,101,91,Jim Knous,55,70.64,989,14
101,102,100,Scott Stallings,63,70.65,1413,20
102,T103,T151,Daniel Berger,48,70.67,1272,18
103,T103,T101,John Huh,35,70.67,636,9
104,T103,T101,Jason Kokrak,68,70.67,1272,18
105,106,T103,Jason Dufner,56,70.71,1202,17
106,T107,T105,Beau Hossler,66,70.73,1839,26
107,T107,T105,Kyoung-Hoon Lee,72,70.73,1556,22
108,T107,124,Peter Uihlein,65,70.73,1556,22
109,T110,107,Joel Dahmen,78,70.74,1344,19
110,T110,T111,J.J. Spaun,68,70.74,1627,23
111,T112,123,Kevin Tway,62,70.76,1486,21
112,T112,T145,Danny Willett,47,70.76,1203,17
113,T114,T118,Brice Garnett,63,70.77,1840,26
114,T114,T147,José de Jesús Rodríguez,51,70.77,920,13
115,T116,T147,Austin Cook,50,70.79,991,14
116,T116,108,Kevin Na,54,70.79,1345,19
117,T118,T109,Matt Every,38,70.8,354,5
118,T118,T109,Chris Kirk,47,70.8,1062,15
119,T120,T96,Dominic Bozzelli,53,70.81,1133,16
120,T120,T111,Rafa Cabrera Bello,57,70.81,1133,16
121,T120,T111,Kevin Kisner,65,70.81,1133,16
122,T123,T145,Hank Lebioda,55,70.82,1204,17
123,T123,T93,Seth Reeves,52,70.82,779,11
124,125,132,Jimmy Walker,61,70.83,1629,23
125,T126,T115,Chez Reavie,67,70.84,1346,19
126,T126,T115,Nick Taylor,70,70.84,1346,19
127,128,114,Fabián Gómez,44,70.85,921,13
128,T129,T157,Zach Johnson,50,70.86,1559,22
129,T129,117,Hunter Mahan,45,70.86,992,14
130,T131,T133,Roberto Díaz,51,70.88,1205,17
131,T131,T118,Bryson DeChambeau,45,70.88,567,8
132,T131,T118,Ryan Moore,54,70.88,1205,17
133,T131,T118,Brandt Snedeker,68,70.88,1205,17
134,135,T149,Danny Lee,66,70.89,1347,19
135,136,T176,Joey Garber,44,70.9,709,10
136,T137,T125,Patton Kizzire,58,70.91,1631,23
137,T137,T125,Patrick Rodgers,44,70.91,780,11
138,T139,T127,Mackenzie Hughes,58,70.92,922,13
139,T139,T127,Peter Malnati,64,70.92,922,13
140,T139,T127,J.T. Poston,76,70.92,1702,24
141,142,130,Andrew Putnam,57,70.93,993,14
142,T143,T118,Julián Etulain,55,70.94,1277,18
143,T143,131,Sam Ryder,52,70.94,1135,16
144,T145,T133,Lucas Bjerregaard,37,71.0,426,6
145,T145,T133,Sam Burns,66,71.0,1775,25
146,T145,T151,Joaquin Niemann,68,71.0,1704,24
147,T145,T133,Louis Oosthuizen,43,71.0,781,11
148,T145,T133,C.T. Pan,64,71.0,1278,18
149,T145,T133,Ian Poulter,49,71.0,639,9
150,T145,T133,John Senden,39,71.0,497,7
151,T145,T133,Ben Silverman,54,71.0,994,14
152,T145,T133,Adam Svensson,51,71.0,639,9
153,154,T154,Sam Saunders,53,71.09,782,11
154,155,T157,Hudson Swafford,59,71.1,1422,20
155,T156,T149,Anders Albertson,48,71.11,640,9
156,T156,156,Brian Harman,67,71.11,1280,18
157,158,T103,Shawn Stefani,57,71.13,569,8
158,159,153,Haotong Li,32,71.17,854,12
159,160,159,Cameron Smith,55,71.28,1283,18
160,161,160,Chesson Hadley,58,71.29,1212,17
161,162,161,Seamus Power,58,71.31,927,13
162,T163,T162,Rory McIlroy,50,71.33,428,6
163,T163,T162,Kyle Stanley,53,71.33,1070,15
164,165,T164,Curtis Luck,51,71.36,999,14
165,166,T164,Billy Horschel,73,71.38,1142,16
166,167,166,Martin Trainer,51,71.44,1143,16
167,T168,T168,Martin Kaymer,38,71.5,572,8
168,T168,T168,Adam Long,52,71.5,1430,20
169,T168,175,Trey Mullinax,67,71.5,1573,22
170,171,170,Brandon Harkins,67,71.52,1645,23
171,172,171,Bronson Burgoon,37,71.55,787,11
172,T173,184,Alex Cejka,41,71.56,644,9
173,T173,T172,Max Homa,61,71.56,1288,18
174,T173,T172,Charl Schwartzel,34,71.56,644,9
175,176,T176,Roberto Castro,54,71.59,1217,17
176,177,174,Matt Wallace,31,71.6,716,10
177,178,190,Cody Gribble,52,71.63,1146,16
178,T179,999,Shane Lowry,30,71.67,430,6
179,T179,178,Justin Rose,42,71.67,430,6
180,181,179,Abraham Ancer,69,71.68,1362,19
181,182,T180,Bill Haas,58,71.75,1148,16
182,183,T180,Chris Stroud,54,71.76,1220,17
183,184,185,John Chin,38,71.8,718,10
184,185,182,Jordan Spieth,57,71.83,862,12
185,186,183,Branden Grace,62,71.86,1509,21
186,187,167,Kelly Kraft,67,71.89,1366,19
187,T188,186,Francesco Molinari,41,71.91,791,11
188,T188,202,Wes Roach,45,71.91,791,11
189,190,187,Anirban Lahiri,54,71.95,1367,19
190,T191,196,Alex Noren,49,72.0,1296,18
191,T191,188,Pat Perez,52,72.0,648,9
192,193,189,Matthew Fitzpatrick,42,72.05,1369,19
193,194,999,Tyrone Van Aswegen,30,72.09,793,11
194,195,194,Kyle Jones,49,72.18,794,11
195,T196,191,J.J. Henry,42,72.2,1083,15
196,T196,207,Chris Thompson,34,72.2,722,10
197,198,195,Jim Herman,37,72.21,1011,14
198,199,192,Freddie Jacobson,37,72.22,650,9
199,200,193,Brendan Steele,50,72.25,1156,16
200,201,206,Rod Pampling,40,72.33,1085,15
201,202,197,Cameron Champ,58,72.38,941,13
202,203,198,Justin Harding,31,72.4,724,10
203,204,200,D.A. Points,33,72.47,1232,17
204,205,199,Josh Teater,47,72.55,798,11
205,206,201,Michael Kim,51,72.6,1089,15
206,207,203,"Ted Potter, Jr.",56,72.73,1600,22
207,208,204,Grayson Murray,36,72.77,946,13
208,209,205,Satoshi Kodaira,51,72.95,1459,20
