,First_Tee_Late_Lowest_Round_RANK THIS WEEK,First_Tee_Late_Lowest_Round_RANK LAST WEEK,First_Tee_Late_Lowest_Round_PLAYER NAME,First_Tee_Late_Lowest_Round_ROUNDS,First_Tee_Late_Lowest_Round_LOW RND
0,T1,T42,Rory McIlroy,50,61
1,T1,1,Adam Svensson,51,61
2,T3,T2,Patrick Rodgers,44,62
3,T3,T2,Sam Ryder,52,62
4,T3,T2,Xander Schauffele,55,62
5,T6,T5,Cameron Champ,58,63
6,T6,T5,Matt Kuchar,65,63
7,T6,T5,Adam Long,52,63
8,T6,T5,Keith Mitchell,64,63
9,T6,T5,Justin Rose,42,63
10,T6,T5,Webb Simpson,53,63
11,T6,T5,Sepp Straka,48,63
12,T6,T5,Gary Woodland,63,63
13,T14,T13,Dominic Bozzelli,53,64
14,T14,T13,Patrick Cantlay,49,64
15,T14,T13,Corey Conners,62,64
16,T14,T13,Tony Finau,61,64
17,T14,T13,Rickie Fowler,54,64
18,T14,T13,Joey Garber,44,64
19,T14,T13,Brian Gay,79,64
20,T14,T13,Talor Gooch,37,64
21,T14,T13,Charles Howell III,64,64
22,T14,T13,Zach Johnson,50,64
23,T14,T13,Russell Knox,65,64
24,T14,T13,Brooks Koepka,49,64
25,T14,T13,Danny Lee,66,64
26,T14,T13,Marc Leishman,52,64
27,T14,T13,Hideki Matsuyama,59,64
28,T14,T13,Graeme McDowell,61,64
29,T14,T13,Francesco Molinari,41,64
30,T14,T13,Ryan Moore,54,64
31,T14,T13,Trey Mullinax,67,64
32,T14,T13,Scott Piercy,70,64
33,T14,T13,Jon Rahm,51,64
34,T14,T13,Adam Scott,41,64
35,T14,T13,Kyle Stanley,53,64
36,T14,T13,Chris Stroud,54,64
37,T14,T13,Brian Stuard,76,64
38,T14,T13,Hudson Swafford,59,64
39,T14,T13,Harold Varner III,62,64
40,T14,T13,Nick Watney,67,64
41,T14,T13,Chase Wright,53,64
42,T43,T42,Anders Albertson,48,65
43,T43,T42,Abraham Ancer,69,65
44,T43,T42,Garrett Barber,4,65
45,T43,T42,Ryan Blaum,67,65
46,T43,T42,Rafa Cabrera Bello,57,65
47,T43,T42,Paul Casey,51,65
48,T43,T42,Chad Collins,25,65
49,T43,T42,Austin Cook,50,65
50,T43,T42,Fred Couples,8,65
51,T43,T42,Bryson DeChambeau,45,65
52,T43,T42,Tyler Duncan,66,65
53,T43,T42,Tommy Fleetwood,43,65
54,T43,T42,Jim Furyk,53,65
55,T43,T42,Brice Garnett,63,65
56,T43,T42,Adam Hadwin,66,65
57,T43,T42,Justin Harding,31,65
58,T43,T42,Mackenzie Hughes,58,65
59,T43,T42,Shugo Imahira,12,65
60,T43,T80,Dustin Johnson,47,65
61,T43,T42,Matt Jones,67,65
62,T43,T42,Kevin Kisner,65,65
63,T43,T42,Patton Kizzire,58,65
64,T43,T42,Kelly Kraft,67,65
65,T43,T42,Martin Laird,60,65
66,T43,T42,Luke List,52,65
67,T43,T42,Davis Love III,29,65
68,T43,T42,Peter Malnati,64,65
69,T43,T42,Steve Marino,12,65
70,T43,T42,Phil Mickelson,41,65
71,T43,T42,Sebastián Muñoz,58,65
72,T43,T42,Sean O'Hair,23,65
73,T43,T42,Louis Oosthuizen,43,65
74,T43,T42,Chez Reavie,67,65
75,T43,T42,Vijay Singh,14,65
76,T43,T42,Brandt Snedeker,68,65
77,T43,T42,Shawn Stefani,57,65
78,T43,T80,Nick Taylor,70,65
79,T43,T42,Justin Thomas,49,65
80,T43,T229,Jimmy Walker,61,65
81,T43,T42,Aaron Wise,52,65
82,T83,T80,Byeong Hun An,54,66
83,T83,T80,Ryan Armour,66,66
84,T83,T80,Aaron Baddeley,51,66
85,T83,T80,Ricky Barnes,19,66
86,T83,T80,Daniel Berger,48,66
87,T83,T80,Sam Burns,66,66
88,T83,T80,Jonathan Byrd,43,66
89,T83,T80,K.J. Choi,20,66
90,T83,T80,Wyndham Clark,61,66
91,T83,T80,Joel Dahmen,78,66
92,T83,T80,Matt Every,38,66
93,T83,T80,Oscar Fraustro,4,66
94,T83,T80,Doug Ghim,19,66
95,T83,T80,Lucas Glover,62,66
96,T83,T80,Jason Gore,10,66
97,T83,T80,Emiliano Grillo,65,66
98,T83,T80,Chesson Hadley,58,66
99,T83,T80,Brandon Harkins,67,66
100,T83,T80,Brian Harman,67,66
101,T83,T80,Padraig Harrington,17,66
102,T83,T80,Kramer Hickok,59,66
103,T83,T80,Charley Hoffman,58,66
104,T83,T80,Billy Horschel,73,66
105,T83,T80,Rikuya Hoshino,4,66
106,T83,T80,Martin Kaymer,38,66
107,T83,T80,Whee Kim,57,66
108,T83,T80,Si Woo Kim,65,66
109,T83,T80,Jim Knous,55,66
110,T83,T80,Jason Kokrak,68,66
111,T83,T80,Anirban Lahiri,54,66
112,T83,T80,Nate Lashley,44,66
113,T83,T189,Shane Lowry,30,66
114,T83,,Collin Morikawa,4,66
115,T83,T80,Kevin Na,54,66
116,T83,T80,Joaquin Niemann,68,66
117,T83,T80,C.T. Pan,64,66
118,T83,T80,Eddie Pepperell,25,66
119,T83,T80,Pat Perez,52,66
120,T83,T80,Martin Piller,30,66
121,T83,T80,J.T. Poston,76,66
122,T83,T80,Andrew Putnam,57,66
123,T83,T80,Patrick Reed,53,66
124,T83,T139,Wes Roach,45,66
125,T83,T80,José de Jesús Rodríguez,51,66
126,T83,T80,Rory Sabbatini,71,66
127,T83,T80,Charl Schwartzel,34,66
128,T83,T80,Shubhankar Sharma,24,66
129,T83,T80,Roger Sloan,62,66
130,T83,T80,J.J. Spaun,68,66
131,T83,T80,Jordan Spieth,57,66
132,T83,T80,Henrik Stenson,46,66
133,T83,T80,Kevin Streelman,63,66
134,T83,T80,Vaughn Taylor,69,66
135,T83,T80,Michael Thompson,56,66
136,T83,T80,D.J. Trahan,33,66
137,T83,T80,Martin Trainer,51,66
138,T83,T229,Cameron Tringale,52,66
139,T83,T80,Kevin Tway,62,66
140,T83,T80,Peter Uihlein,65,66
141,T83,T80,Jhonattan Vegas,60,66
142,T83,T80,Bubba Watson,47,66
143,T144,T139,Scott Brown,66,67
144,T144,T139,Bronson Burgoon,37,67
145,T144,T139,Roberto Castro,54,67
146,T144,T139,Cameron Davis,54,67
147,T144,T139,Jason Day,45,67
148,T144,T139,Harris English,72,67
149,T144,T139,Julián Etulain,55,67
150,T144,T139,Derek Fathauer,28,67
151,T144,T139,Armando Favela,4,67
152,T144,T139,Matthew Fitzpatrick,42,67
153,T144,T139,Dylan Frittelli,55,67
154,T144,T139,Sergio Garcia,39,67
155,T144,T139,Fabián Gómez,44,67
156,T144,T139,Cody Gribble,52,67
157,T144,T139,Bill Haas,58,67
158,T144,T139,David Hearn,41,67
159,T144,T139,Russell Henley,56,67
160,T144,T139,Jim Herman,37,67
161,T144,T139,Tom Hoge,70,67
162,T144,T139,J.B. Holmes,54,67
163,T144,T139,Max Homa,61,67
164,T144,T139,John Huh,35,67
165,T144,T139,Sungjae Im,88,67
166,T144,T139,Stephan Jaeger,59,67
167,T144,T139,Jazz Janewattananond,4,67
168,T144,,Richard Jung,4,67
169,T144,T139,Sung Kang,67,67
170,T144,T139,Scott Langley,60,67
171,T144,T139,Hank Lebioda,55,67
172,T144,T139,Kyoung-Hoon Lee,72,67
173,T144,T139,Nicholas Lindheim,26,67
174,T144,T139,Hunter Mahan,45,67
175,T144,T139,Denny McCarthy,63,67
176,T144,T139,Chip McDaniel,9,67
177,T144,T139,Carlos Ortiz,60,67
178,T144,T139,Ryan Palmer,56,67
179,T144,T139,Kenny Perry,16,67
180,T144,T139,"Ted Potter, Jr.",56,67
181,T144,T139,Ian Poulter,49,67
182,T144,T139,Seamus Power,58,67
183,T144,T139,Doc Redman,4,67
184,T144,T139,Scottie Scheffler,12,67
185,T144,T139,Adam Schenk,80,67
186,T144,T139,Brady Schnell,38,67
187,T144,T139,Cameron Smith,55,67
188,T144,T139,Scott Stallings,63,67
189,T144,T139,Brendan Steele,50,67
190,T144,T139,Josh Teater,47,67
191,T144,T139,Richy Werenski,63,67
192,T144,T229,Danny Willett,47,67
193,T144,T139,Tiger Woods,31,67
194,T195,T189,Kiradech Aphibarnrat,49,68
195,T195,T229,Paul Barjon,6,68
196,T195,T189,Jonas Blixt,66,68
197,T195,T189,Keegan Bradley,65,68
198,T195,T189,Bud Cauley,61,68
199,T195,T189,Alex Cejka,41,68
200,T195,T189,Daniel Chopra,10,68
201,T195,T189,Stewart Cink,33,68
202,T195,T189,George Cunningham,7,68
203,T195,T189,Roberto Díaz,51,68
204,T195,T189,Jason Dufner,56,68
205,T195,T189,Robert Garrigus,20,68
206,T195,T189,James Hahn,34,68
207,T195,T189,Morgan Hoffmann,24,68
208,T195,T189,Beau Hossler,66,68
209,T195,T189,Alex Kang,6,68
210,T195,T189,Michael Kim,51,68
211,T195,T189,Colt Knost,20,68
212,T195,T189,David Lingmerth,25,68
213,T195,T189,David Lipsky,16,68
214,T195,T263,Tom Lovelady,27,68
215,T195,T189,Jamie Lovemark,22,68
216,T195,T189,Curtis Luck,51,68
217,T195,T189,Will MacKenzie,11,68
218,T195,T189,Tyler McCumber,4,68
219,T195,T189,George McNeill,16,68
220,T195,T189,John Merrick,8,68
221,T195,T189,Troy Merritt,42,68
222,T195,T189,Dylan Meyer,8,68
223,T195,T189,Thorbjørn Olesen,27,68
224,T195,T189,Seth Reeves,52,68
225,T195,T189,Sam Saunders,53,68
226,T195,T189,Ollie Schniederjans,63,68
227,T195,T189,Ben Silverman,54,68
228,T195,T189,Robert Streb,60,68
229,T195,T189,Steve Stricker,20,68
230,T195,T189,Zack Sucher,10,68
231,T195,T189,David Toms,4,68
232,T195,T189,Tyrone Van Aswegen,30,68
233,T195,T189,Erik van Rooyen,16,68
234,T195,T189,Norman Xiong,10,68
235,T195,,Ryan Yip,2,68
236,T237,T229,Dawson Armstrong,4,69
237,T237,T229,Eric Axley,7,69
238,T237,T263,Sangmoon Bae,42,69
239,T237,T229,Lucas Bjerregaard,37,69
240,T237,T229,Chad Campbell,24,69
241,T237,T229,John Chin,38,69
242,T237,T229,Ben Crane,41,69
243,T237,T229,Brian Davis,13,69
244,T237,T229,Ernie Els,43,69
245,T237,T229,Broc Everett,5,69
246,T237,T229,Martin Flores,4,69
247,T237,T229,Branden Grace,62,69
248,T237,T229,Tyrrell Hatton,46,69
249,T237,T229,J.J. Henry,42,69
250,T237,T305,Billy Hurley III,24,69
251,T237,T229,Yuki Inamori,8,69
252,T237,T229,Marty Jertson,4,69
253,T237,T229,Chris Kirk,47,69
254,T237,,Jake Knapp,4,69
255,T237,T229,Andrew Landry,56,69
256,T237,T229,Haotong Li,32,69
257,T237,T229,Parker McLachlin,17,69
258,T237,T229,Maverick McNealy,6,69
259,T237,T229,Grayson Murray,36,69
260,T237,T229,Alex Noren,49,69
261,T237,T229,Thomas Pieters,16,69
262,T237,T229,Alex Prugh,54,69
263,T237,T229,Andres Romero,18,69
264,T237,T229,John Senden,39,69
265,T237,T229,Johnson Wagner,45,69
266,T237,T229,Matt Wallace,31,69
267,T237,T229,Boo Weekley,16,69
268,T237,T279,Mike Weir,11,69
269,T237,T229,Mark Wilson,3,69
270,T271,,James Allenby,2,70
271,T271,T263,Alexander Björk,10,70
272,T271,,Joseph Deraney,2,70
273,T271,T263,Luke Donald,22,70
274,T271,T263,Kevin Dougherty,4,70
275,T271,T263,Paul Dunne,4,70
276,T271,T263,Ryan Fox,12,70
277,T271,T263,"Ray Franz, Jr.",2,70
278,T271,,Michael Gligic,2,70
279,T271,T263,Lucas Herbert,4,70
280,T271,T263,Kyle Jones,49,70
281,T271,T263,Rod Pampling,40,70
282,T271,T263,Chad Ramey,4,70
283,T271,T263,Davis Riley,4,70
284,T271,T263,John Rollins,8,70
285,T271,T263,Austen Truslow,6,70
286,T271,T263,Matthew Wolff,4,70
287,T288,T279,Arjun Atwal,6,71
288,T288,T279,Kevin Chappell,12,71
289,T288,T279,Jon Curran,12,71
290,T288,T279,Brett Drewitt,4,71
291,T288,T279,Ken Duke,4,71
292,T288,T279,Zack Fischer,6,71
293,T288,T279,Rahil Gangjee,4,71
294,T288,T279,Ben Griffin,6,71
295,T288,T279,Nick Hardy,6,71
296,T288,T279,Tim Herron,18,71
297,T288,T279,Viktor Hovland,12,71
298,T288,T279,Freddie Jacobson,37,71
299,T288,T279,Jerry Kelly,5,71
300,T288,T279,Satoshi Kodaira,51,71
301,T288,T279,Bernhard Langer,4,71
302,T288,T279,Richard Lee,4,71
303,T288,T279,Alexander Levy,4,71
304,T288,T279,Dong Seop Maeng,4,71
305,T288,T279,Henrik Norlander,4,71
306,T288,T279,Kevin O'Connell,2,71
307,T288,T279,Timothy O'Neal,2,71
308,T288,T279,Ryan Ruffels,3,71
309,T288,T279,Kevin Stadler,6,71
310,T288,T279,Chris Thompson,34,71
311,T288,T279,Brendon Todd,23,71
312,T313,T305,Robert Allenby,6,72
313,T313,T305,Adri Arnaus,2,72
314,T313,T305,Gaganjeet Bhullar,8,72
315,T313,T305,Juan Cayro Delgado,2,72
316,T313,T305,Ho Sung Choi,3,72
317,T313,,Albin Choi,2,72
318,T313,T305,Brandon Hagy,27,72
319,T313,T305,Jonathan Kaye,6,72
320,T313,T305,WC Liang,4,72
321,T313,T305,Sanghyun Park,15,72
322,T313,T305,D.A. Points,33,72
323,T313,T305,Julio Santos,4,72
324,T313,T305,Andy Sullivan,4,72
325,T313,T305,Kristoffer Ventura,8,72
326,T313,T305,Ryan Vermeer,12,72
327,T313,T305,Tim Wilkinson,4,72
328,T329,T321,Zac Blair,4,73
329,T329,T321,Rufus Brijalba,2,73
330,T329,T321,Jorge Campillo,6,73
331,T329,T321,John Catlin,19,73
332,T329,T321,Ben Cook,2,73
333,T329,T321,Brendon de Jonge,9,73
334,T329,T321,David Duval,8,73
335,T329,T321,Retief Goosen,6,73
336,T329,T321,Todd Hamilton,2,73
337,T329,T321,Sandy Lyle,2,73
338,T329,T321,Rob Oppenheim,2,73
339,T329,T321,Alvaro Ortiz,10,73
340,T329,T321,Rhadames Pena,2,73
341,T329,T321,Jovan Rebula,4,73
342,T329,T321,Richard Sterne,6,73
343,T329,T321,Julian Suri,6,73
344,T329,T321,Lee Westwood,9,73
345,T346,T338,Max Alverio,2,74
346,T346,T338,Todd Balkin,2,74
347,T346,T338,Devon Bling,4,74
348,T346,T338,Michael Block,5,74
349,T346,T338,Rafael Campos,6,74
350,T346,T338,Erik Compton,2,74
351,T346,T338,Stuart Deane,4,74
352,T346,T338,Sam Horsfield,10,74
353,T346,T338,Trevor Immelman,12,74
354,T346,T338,Takumi Kanaya,6,74
355,T346,T338,Kurt Kitayama,4,74
356,T346,T338,Joost Luiten,16,74
357,T346,T338,Cooper Musselman,3,74
358,T346,T338,Adrian Otaegui,10,74
359,T346,T338,Brandon Stone,6,74
360,T346,T338,Sebastián Vázquez,2,74
361,T362,T354,"Mike Ballo, Jr.",2,75
362,T362,T354,Jason Bohn,8,75
363,T362,T354,Ángel Cabrera,4,75
364,T362,T354,Chris Couch,8,75
365,T362,T354,Tommy Gainey,6,75
366,T362,T354,Will Grimmer,2,75
367,T362,T354,Hunter Hamrick,2,75
368,T362,T354,Michael Lorenzo-Vera,4,75
369,T362,T354,Troy Matteson,3,75
370,T362,T354,Mark Mulder,2,75
371,T362,T354,Dicky Pride,4,75
372,T362,T354,Kyle Sanders,2,75
373,T362,,Joey Savoie,2,75
374,T362,T354,Jason Schmuhl,3,75
375,T362,T354,Heath Slocum,4,75
376,T362,T354,Justin Suh,4,75
377,T378,T369,Blayne Barber,4,76
378,T378,T369,"Rich Berberian, Jr.",2,76
379,T378,T369,Jacob Eggers,2,76
380,T378,T369,Derek Ernst,8,76
381,T378,T369,Peter Jones,2,76
382,T378,T369,Kim Leun-Kwang,4,76
383,T378,T369,Jake McLeod,4,76
384,T378,T369,Tony Romo,4,76
385,T378,T369,Hyun-woo Ryu,4,76
386,T378,T369,Matthew Short,4,76
387,T378,T369,Hiram Silfa,4,76
388,T378,T369,Ian Woosnam,2,76
389,T390,T381,Justin Bertsch,4,77
390,T390,T381,Wesley Bryan,9,77
391,T390,T381,Will Claxton,4,77
392,T390,T381,Austin Connelly,4,77
393,T390,T381,Ross Fisher,4,77
394,T390,T381,Alexander Hicks,2,77
395,T390,T381,Jay McLuen,2,77
396,T390,T381,Larry Mize,2,77
397,T390,T381,Andrea Pavan,4,77
398,T390,T381,Nathan Stamey,2,77
399,T400,T391,Peter Jung,2,78
400,T400,T391,Derek Lamely,2,78
401,T400,T391,José María Olazábal,2,78
402,T400,T391,Omar Uresti,6,78
403,T404,T395,Robert Gamez,4,79
404,T404,T395,Michael Hopper,2,79
405,T404,T395,Garrett Osborn,2,79
406,T404,T395,Preston Otte,2,79
407,T404,T395,Roland Thatcher,4,79
408,T404,,Josh Whalen,2,79
409,T404,T395,Zach Zaback,2,79
410,411,401,Shaun Norris,6,80
411,412,402,Minchel Choi,8,82
412,T413,T403,Steve Jones,3,83
413,T413,T403,Neal Lancaster,1,83
414,415,405,Andrew Filbert,4,84
415,T416,T406,George Riley,2,85
416,T416,T406,Cory Schneider,2,85
