,First_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_4_Scoring_Average_ROUNDS,First_Tee_Late_Par_4_Scoring_Average_AVG,First_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Jim Herman,37,3.81,118,31
1,2,2,Sam Ryder,52,3.88,442,114
2,3,T3,Patrick Cantlay,49,3.9,862,221
3,4,5,Graeme McDowell,61,3.91,676,173
4,5,6,Phil Mickelson,41,3.92,654,167
5,T6,T7,Abraham Ancer,69,3.93,806,205
6,T6,T7,Dustin Johnson,47,3.93,1009,257
7,T6,T10,Matt Kuchar,65,3.93,1255,319
8,T6,T19,Rory McIlroy,50,3.93,1148,292
9,T6,T7,Justin Rose,42,3.93,948,241
10,11,T10,Tyler Duncan,66,3.94,627,159
11,T12,T13,Russell Knox,65,3.95,446,113
12,T12,T10,Brooks Koepka,49,3.95,953,241
13,T12,T13,Brian Stuard,76,3.95,743,188
14,T15,T16,Russell Henley,56,3.96,495,125
15,T15,T16,Kevin Na,54,3.96,420,106
16,T17,T19,Ryan Armour,66,3.97,460,116
17,T17,T19,Corey Conners,62,3.97,755,190
18,T17,T19,Adam Schenk,80,3.97,1097,276
19,T20,T23,Aaron Baddeley,51,3.98,565,142
20,T20,T13,Jonas Blixt,66,3.98,522,131
21,T20,T23,Cameron Champ,58,3.98,875,220
22,T20,T23,Bryson DeChambeau,45,3.98,863,217
23,T20,T23,Rickie Fowler,54,3.98,1250,314
24,T20,T47,Adam Hadwin,66,3.98,617,155
25,T20,T23,Justin Harding,31,3.98,199,50
26,T20,T23,Charles Howell III,64,3.98,988,248
27,T20,T23,Louis Oosthuizen,43,3.98,665,167
28,T20,T23,Pat Perez,52,3.98,852,214
29,T20,T23,Xander Schauffele,55,3.98,896,225
30,T20,T47,Webb Simpson,53,3.98,1008,253
31,T20,T23,J.J. Spaun,68,3.98,725,182
32,T20,T3,D.J. Trahan,33,3.98,330,83
33,T20,T23,Kevin Tway,62,3.98,732,184
34,T35,T34,Roberto Díaz,51,3.99,367,92
35,T35,T34,Cameron Davis,54,3.99,283,71
36,T35,T34,Jason Day,45,3.99,870,218
37,T35,T34,Jim Furyk,53,3.99,821,206
38,T35,T34,Jim Knous,55,3.99,674,169
39,T35,T34,Hideki Matsuyama,59,3.99,938,235
40,T35,T34,Denny McCarthy,63,3.99,383,96
41,T35,T34,Francesco Molinari,41,3.99,602,151
42,T35,T34,Jon Rahm,51,3.99,1037,260
43,T35,T34,Chez Reavie,67,3.99,747,187
44,T35,T56,Josh Teater,47,3.99,571,143
45,T46,T87,Harris English,72,4.0,568,142
46,T46,T47,Talor Gooch,37,4.0,484,121
47,T46,T69,Danny Lee,66,4.0,892,223
48,T46,T47,Andrew Putnam,57,4.0,728,182
49,T46,T47,José de Jesús Rodríguez,51,4.0,604,151
50,T46,T34,Brady Schnell,38,4.0,468,117
51,T46,T47,Vaughn Taylor,69,4.0,967,242
52,T46,T47,Michael Thompson,56,4.0,856,214
53,T46,999,Tyrone Van Aswegen,30,4.0,204,51
54,T46,T47,Gary Woodland,63,4.0,1077,269
55,T56,T56,Sam Burns,66,4.01,597,149
56,T56,T56,Jonathan Byrd,43,4.01,614,153
57,T56,T34,Matt Every,38,4.01,693,173
58,T56,T56,Lucas Glover,62,4.01,1104,275
59,T56,T56,Chesson Hadley,58,4.01,781,195
60,T56,T16,J.J. Henry,42,4.01,345,86
61,T56,T56,Si Woo Kim,65,4.01,661,165
62,T56,T56,Marc Leishman,52,4.01,774,193
63,T56,T69,Ryan Palmer,56,4.01,538,134
64,T56,T56,Rory Sabbatini,71,4.01,939,234
65,T56,T56,Sam Saunders,53,4.01,653,163
66,T56,T56,Shawn Stefani,57,4.01,834,208
67,T56,T56,Kevin Streelman,63,4.01,757,189
68,T56,T56,Hudson Swafford,59,4.01,445,111
69,T56,T47,Justin Thomas,49,4.01,970,242
70,T56,T69,Peter Uihlein,65,4.01,574,143
71,T56,T56,Chase Wright,53,4.01,505,126
72,T73,T69,Paul Casey,51,4.02,1017,253
73,T73,T69,Tommy Fleetwood,43,4.02,809,201
74,T73,T69,Fabián Gómez,44,4.02,338,84
75,T73,T69,James Hahn,34,4.02,221,55
