,First_Tee_Late_Round_4_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_4_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_4_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_4_Scoring_Average_AVG,First_Tee_Late_Round_4_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Hudson Swafford,64.0,64,1
1,2,3,Sam Ryder,65.5,131,2
2,T3,T4,Zach Johnson,66.0,66,1
3,T3,,Wes Roach,66.0,66,1
4,T3,T4,Charl Schwartzel,66.0,66,1
5,6,6,Ryan Moore,66.67,200,3
6,T7,T7,Tyler Duncan,67.0,67,1
7,T7,T7,Talor Gooch,67.0,201,3
8,T7,T7,Max Homa,67.0,67,1
9,T7,T7,Phil Mickelson,67.0,134,2
10,T7,T7,Patrick Rodgers,67.0,134,2
11,T7,T7,Martin Trainer,67.0,67,1
12,13,13,Marc Leishman,67.25,269,4
13,14,14,Kevin Na,67.5,135,2
14,15,15,Brooks Koepka,67.8,339,5
15,T16,T16,Anders Albertson,68.0,204,3
16,T16,T16,Bronson Burgoon,68.0,68,1
17,T16,T16,Corey Conners,68.0,272,4
18,T16,T16,Stephan Jaeger,68.0,136,2
19,T16,T16,Patton Kizzire,68.0,68,1
20,T16,T16,Jim Knous,68.0,68,1
21,T16,T16,Kyle Stanley,68.0,68,1
22,T16,T16,Josh Teater,68.0,68,1
23,T16,T16,Chase Wright,68.0,136,2
24,25,25,Shawn Stefani,68.25,273,4
25,T26,27,Webb Simpson,68.33,410,6
26,T26,26,Brian Stuard,68.33,205,3
27,T28,T28,Ryan Palmer,68.5,137,2
28,T28,T28,Seth Reeves,68.5,137,2
29,T30,999,Shane Lowry,68.67,206,3
30,T30,30,Tiger Woods,68.67,206,3
31,T32,T31,Patrick Cantlay,68.75,550,8
32,T32,T31,Bryson DeChambeau,68.75,275,4
33,T32,T31,Chesson Hadley,68.75,275,4
34,T32,T31,Adam Long,68.75,275,4
35,36,35,J.J. Spaun,68.8,344,5
36,37,36,Xander Schauffele,68.83,413,6
37,T38,T37,Abraham Ancer,69.0,345,5
38,T38,T37,Stewart Cink,69.0,138,2
39,T38,T37,Cameron Davis,69.0,69,1
40,T38,T37,Sergio Garcia,69.0,207,3
41,T38,T37,Branden Grace,69.0,69,1
42,T38,T37,Luke List,69.0,345,5
43,T38,T37,Sebastián Muñoz,69.0,138,2
44,T38,T37,"Ted Potter, Jr.",69.0,138,2
45,T38,T37,Brady Schnell,69.0,69,1
46,T38,T37,Ben Silverman,69.0,138,2
47,T38,T37,Chris Stroud,69.0,138,2
48,T38,T37,Johnson Wagner,69.0,69,1
49,50,77,Rory McIlroy,69.11,622,9
50,51,49,Matt Every,69.17,415,6
51,T52,T50,Cameron Champ,69.2,346,5
52,T52,T50,Andrew Putnam,69.2,346,5
53,T54,T52,Charles Howell III,69.33,416,6
54,T54,T52,Francesco Molinari,69.33,208,3
55,T54,T52,Gary Woodland,69.33,416,6
56,T57,T55,David Hearn,69.5,139,2
57,T57,T55,J.J. Henry,69.5,139,2
58,T57,T55,Denny McCarthy,69.5,278,4
59,T57,T55,J.T. Poston,69.5,278,4
60,T57,T55,Seamus Power,69.5,139,2
61,T62,62,Matt Kuchar,69.67,627,9
62,T62,T118,Cameron Tringale,69.67,209,3
63,64,65,Jason Kokrak,69.71,488,7
64,T65,T66,Rafa Cabrera Bello,69.75,279,4
65,T65,T66,Paul Casey,69.75,558,8
66,T67,68,Chez Reavie,69.8,349,5
67,T67,T69,Brandt Snedeker,69.8,349,5
