,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,T1,Jim Herman,37,68.0,204,3
1,2,3,Sam Ryder,52,68.73,756,11
2,3,T5,Dustin Johnson,47,68.83,1652,24
3,4,T13,Rory McIlroy,50,68.85,1859,27
4,T5,4,Patrick Cantlay,49,68.86,1446,21
5,T5,8,Matt Kuchar,65,68.86,1997,29
6,T7,T5,Cameron Champ,58,69.0,1380,20
7,T7,9,Talor Gooch,37,69.0,759,11
8,9,10,Abraham Ancer,69,69.16,1314,19
9,10,T5,Brooks Koepka,49,69.18,1522,22
10,11,11,Hudson Swafford,59,69.2,692,10
11,12,18,Adam Hadwin,66,69.21,969,14
12,13,12,Kevin Na,54,69.3,693,10
13,14,29,Webb Simpson,53,69.39,1596,23
14,15,T13,Phil Mickelson,41,69.5,1112,16
15,16,16,Gary Woodland,63,69.52,1738,25
16,17,17,Bryson DeChambeau,45,69.55,1391,20
17,18,T13,Denny McCarthy,63,69.56,626,9
18,19,T43,Graeme McDowell,61,69.63,1114,16
19,20,19,Chez Reavie,67,69.65,1184,17
20,21,T20,Brian Stuard,76,69.67,1254,18
21,T22,T22,Russell Knox,65,69.73,767,11
22,T22,T22,Tiger Woods,31,69.73,767,11
23,T24,T20,Matt Every,38,69.75,1116,16
24,T24,24,Pat Perez,52,69.75,1395,20
25,26,25,Hideki Matsuyama,59,69.77,1535,22
26,T27,T26,Marc Leishman,52,69.78,1256,18
27,T27,T26,Justin Rose,42,69.78,1605,23
28,29,T48,Danny Lee,66,69.8,1396,20
29,30,T56,Wes Roach,45,69.82,768,11
30,31,T31,Corey Conners,62,69.83,1257,18
31,32,T34,Josh Teater,47,69.85,908,13
32,33,30,Rickie Fowler,54,69.86,2026,29
33,T34,T34,Jim Knous,55,69.88,1118,16
34,T34,T31,Kevin Tway,62,69.88,1188,17
35,36,T26,Scott Piercy,70,69.89,1328,19
36,T37,T34,Ryan Armour,66,70.0,770,11
37,T37,50,Jim Furyk,53,70.0,1330,19
38,T37,999,Shane Lowry,30,70.0,630,9
39,T37,33,Sebastián Muñoz,58,70.0,1330,19
40,T37,T34,Rory Sabbatini,71,70.0,1540,22
41,T37,55,J.J. Spaun,68,70.0,1190,17
42,T37,T48,Justin Thomas,49,70.0,1540,22
43,44,41,Jon Rahm,51,70.04,1751,25
44,45,42,Nick Watney,67,70.06,1261,18
45,46,T43,Sergio Garcia,39,70.07,981,14
46,47,T43,Russell Henley,56,70.08,841,12
47,48,46,Chris Stroud,54,70.09,771,11
48,49,47,Xander Schauffele,55,70.1,1472,21
49,T50,T52,Wyndham Clark,61,70.13,1052,15
50,T50,51,Tyler Duncan,66,70.13,1052,15
51,52,T52,Cameron Davis,54,70.14,491,7
52,T53,54,Shawn Stefani,57,70.15,1403,20
53,T53,T34,Peter Uihlein,65,70.15,912,13
54,55,T67,Ryan Palmer,56,70.17,842,12
55,T56,T56,James Hahn,34,70.2,351,5
