,Front_9_Lowest_Round_RANK THIS WEEK,Front_9_Lowest_Round_RANK LAST WEEK,Front_9_Lowest_Round_PLAYER NAME,Front_9_Lowest_Round_LOW RND
0,1,1,Carlos Ortiz,28
1,T2,T2,Jonathan Byrd,29
2,T2,T2,Roberto Castro,29
3,T2,T2,Brian Gay,29
4,T2,T2,Lucas Glover,29
5,T2,T2,Zach Johnson,29
6,T2,T2,Satoshi Kodaira,29
7,T2,T2,Trey Mullinax,29
8,T2,T2,Ryan Palmer,29
9,T2,T2,Roger Sloan,29
10,T2,T56,Brandt Snedeker,29
11,T2,T2,Aaron Wise,29
12,T13,T12,Ricky Barnes,30
13,T13,T12,Gaganjeet Bhullar,30
14,T13,T12,Jonas Blixt,30
15,T13,T12,Dominic Bozzelli,30
16,T13,T12,Keegan Bradley,30
17,T13,T56,Scott Brown,30
18,T13,T12,Wyndham Clark,30
19,T13,T12,Ben Crane,30
20,T13,T12,Jason Dufner,30
21,T13,T12,Tyler Duncan,30
22,T13,T161,Harris English,30
23,T13,T12,Matt Every,30
24,T13,T12,Tony Finau,30
25,T13,T12,Tommy Fleetwood,30
26,T13,T12,Joey Garber,30
27,T13,T12,Sergio Garcia,30
28,T13,T12,Brice Garnett,30
29,T13,T12,Talor Gooch,30
30,T13,T12,Emiliano Grillo,30
31,T13,T12,Adam Hadwin,30
32,T13,T12,Kramer Hickok,30
33,T13,T12,Yuki Inamori,30
34,T13,T12,Stephan Jaeger,30
35,T13,T12,Sung Kang,30
36,T13,T56,Brooks Koepka,30
37,T13,T12,Martin Laird,30
38,T13,T12,Marc Leishman,30
39,T13,T12,Hunter Mahan,30
40,T13,T12,Graeme McDowell,30
41,T13,T12,Rory McIlroy,30
42,T13,T12,Phil Mickelson,30
43,T13,T12,C.T. Pan,30
44,T13,T12,Scott Piercy,30
45,T13,T12,J.T. Poston,30
46,T13,T12,Andrew Putnam,30
47,T13,T12,Chez Reavie,30
48,T13,T12,Sam Ryder,30
49,T13,T12,Adam Schenk,30
50,T13,T12,Brady Schnell,30
51,T13,T12,Adam Scott,30
52,T13,T12,Shawn Stefani,30
53,T13,T12,Chris Stroud,30
54,T13,T12,Hudson Swafford,30
55,T13,T12,Justin Thomas,30
56,T13,T12,Kevin Tway,30
57,T13,T12,Peter Uihlein,30
58,T13,T12,Gary Woodland,30
59,T60,T56,Byeong Hun An,31
60,T60,T56,Abraham Ancer,31
61,T60,T56,Kiradech Aphibarnrat,31
62,T60,T56,Stuart Appleby,31
63,T60,T56,Shintaro Ban,31
64,T60,T56,Daniel Berger,31
65,T60,T56,Bronson Burgoon,31
66,T60,T56,Sam Burns,31
67,T60,T56,Rafa Cabrera Bello,31
68,T60,T56,Chad Campbell,31
69,T60,T56,Patrick Cantlay,31
70,T60,T56,Paul Casey,31
71,T60,T56,John Catlin,31
72,T60,T56,Cameron Champ,31
73,T60,T56,Daniel Chopra,31
74,T60,T56,Stewart Cink,31
75,T60,T56,Chad Collins,31
76,T60,T56,Corey Conners,31
77,T60,T56,Austin Cook,31
78,T60,T56,Fred Couples,31
79,T60,T56,Roberto Díaz,31
80,T60,T56,Bryson DeChambeau,31
81,T60,T56,Thomas Detry,31
82,T60,T56,Paul Dunne,31
83,T60,T56,Matthew Fitzpatrick,31
84,T60,T56,Rickie Fowler,31
85,T60,T56,Dylan Frittelli,31
86,T60,T56,Jim Furyk,31
87,T60,T56,Fabián Gómez,31
88,T60,T56,Branden Grace,31
89,T60,T56,Cody Gribble,31
90,T60,T56,Chesson Hadley,31
91,T60,T56,Justin Harding,31
92,T60,T56,Brandon Harkins,31
93,T60,T56,Brian Harman,31
94,T60,T56,Padraig Harrington,31
95,T60,T56,Charley Hoffman,31
96,T60,T56,Morgan Hoffmann,31
97,T60,T56,Tom Hoge,31
98,T60,T56,J.B. Holmes,31
99,T60,T56,Max Homa,31
100,T60,T56,Billy Horschel,31
101,T60,T56,Charles Howell III,31
102,T60,T56,John Huh,31
103,T60,T56,Sungjae Im,31
104,T60,T56,Freddie Jacobson,31
105,T60,T56,Dustin Johnson,31
106,T60,T56,Matt Jones,31
107,T60,T56,Whee Kim,31
108,T60,T56,Si Woo Kim,31
109,T60,T56,Kurt Kitayama,31
110,T60,T56,Colt Knost,31
111,T60,T56,Jason Kokrak,31
112,T60,T56,Kelly Kraft,31
113,T60,T56,Matt Kuchar,31
114,T60,T56,Anirban Lahiri,31
115,T60,T56,Scott Langley,31
116,T60,T56,Nate Lashley,31
117,T60,T56,Hank Lebioda,31
118,T60,T56,Kyoung-Hoon Lee,31
119,T60,T56,Adam Long,31
120,T60,T56,Davis Love III,31
121,T60,T56,Jamie Lovemark,31
122,T60,T56,Joost Luiten,31
123,T60,T56,Steve Marino,31
124,T60,T56,Hideki Matsuyama,31
125,T60,T56,Denny McCarthy,31
126,T60,T56,Troy Merritt,31
127,T60,T56,Keith Mitchell,31
128,T60,T56,Ryan Moore,31
129,T60,T56,Sebastián Muñoz,31
130,T60,T56,Kevin Na,31
131,T60,T56,Joaquin Niemann,31
132,T60,T56,Alex Noren,31
133,T60,T56,Louis Oosthuizen,31
134,T60,T56,Patrick Reed,31
135,T60,T56,Seth Reeves,31
136,T60,T56,Charles Reiter,31
137,T60,T56,Davis Riley,31
138,T60,T56,Wes Roach,31
139,T60,T56,José de Jesús Rodríguez,31
140,T60,T56,Justin Rose,31
141,T60,T56,Xander Schauffele,31
142,T60,T56,Charl Schwartzel,31
143,T60,T56,Shubhankar Sharma,31
144,T60,T56,Ben Silverman,31
145,T60,T56,Webb Simpson,31
146,T60,T56,Jordan Spieth,31
147,T60,T56,Scott Stallings,31
148,T60,T56,Kyle Stanley,31
149,T60,T56,Henrik Stenson,31
150,T60,T56,Sepp Straka,31
151,T60,T56,Kevin Streelman,31
152,T60,T56,Adam Svensson,31
153,T60,T161,Nick Taylor,31
154,T60,T161,Josh Teater,31
155,T60,T161,Chris Thompson,31
156,T60,T56,Michael Thompson,31
157,T60,T56,Cameron Tringale,31
158,T60,T56,Erik van Rooyen,31
159,T60,T56,Harold Varner III,31
160,T60,T56,Nick Watney,31
161,T60,T56,Tiger Woods,31
162,T60,T56,Chase Wright,31
163,T60,T56,Y.E. Yang,31
164,T165,T161,Anders Albertson,32
165,T165,T161,Ryan Armour,32
166,T165,T161,Arjun Atwal,32
167,T165,T161,Aaron Baddeley,32
168,T165,T161,Sangmoon Bae,32
169,T165,T161,Ryan Blaum,32
170,T165,T161,Jason Bohn,32
171,T165,T161,Will Cannon,32
172,T165,T161,Bud Cauley,32
173,T165,T161,Alex Cejka,32
174,T165,T161,Kevin Chappell,32
175,T165,T161,K.J. Choi,32
176,T165,T161,George Coetzee,32
177,T165,T161,Joel Dahmen,32
178,T165,T161,Jason Day,32
179,T165,T161,Brendon de Jonge,32
180,T165,T161,Ernie Els,32
181,T165,T161,Julián Etulain,32
182,T165,T161,Broc Everett,32
183,T165,T161,Derek Fathauer,32
184,T165,T161,Zack Fischer,32
185,T165,T161,Doug Ghim,32
186,T165,T161,Jason Gore,32
187,T165,T161,Bill Haas,32
188,T165,T161,Brandon Hagy,32
189,T165,T161,James Hahn,32
190,T165,T161,Tyrrell Hatton,32
191,T165,T161,David Hearn,32
192,T165,T161,Russell Henley,32
193,T165,T161,J.J. Henry,32
194,T165,T161,Jim Herman,32
195,T165,T161,Beau Hossler,32
196,T165,T161,Mackenzie Hughes,32
197,T165,T161,Billy Hurley III,32
198,T165,T161,Shugo Imahira,32
199,T165,T161,Jazz Janewattananond,32
200,T165,T161,Kyle Jones,32
201,T165,T161,Takumi Kanaya,32
202,T165,T161,Alex Kang,32
203,T165,T161,Martin Kaymer,32
204,T165,T161,Chris Kirk,32
205,T165,T161,Kevin Kisner,32
206,T165,T161,Patton Kizzire,32
207,T165,T161,Jim Knous,32
208,T165,T161,Russell Knox,32
209,T165,T161,Andrew Landry,32
210,T165,T161,Danny Lee,32
211,T165,T161,Haotong Li,32
212,T165,T161,Luke List,32
213,T165,T161,Tom Lovelady,32
214,T165,T161,Shane Lowry,32
215,T165,T161,Curtis Luck,32
216,T165,T161,Peter Malnati,32
217,T165,T161,Chip McDaniel,32
218,T165,T161,Francesco Molinari,32
219,T165,T161,Henrik Norlander,32
220,T165,T161,Sanghyun Park,32
221,T165,T161,Pat Perez,32
222,T165,T161,Kenny Perry,32
223,T165,T161,Thomas Pieters,32
224,T165,T161,"Ted Potter, Jr.",32
225,T165,T161,Seamus Power,32
226,T165,T161,Alex Prugh,32
227,T165,T161,Jon Rahm,32
228,T165,T161,Patrick Rodgers,32
229,T165,T161,Andres Romero,32
230,T165,T161,Rory Sabbatini,32
231,T165,T161,Sam Saunders,32
232,T165,T161,Ollie Schniederjans,32
233,T165,T161,John Senden,32
234,T165,T161,Vijay Singh,32
235,T165,T161,Cameron Smith,32
236,T165,T161,J.J. Spaun,32
237,T165,T161,Brendan Steele,32
238,T165,T161,Richard Sterne,32
239,T165,T161,Robert Streb,32
240,T165,T161,Steve Stricker,32
241,T165,T161,Brian Stuard,32
242,T165,T161,Vaughn Taylor,32
243,T165,T161,Braden Thornberry,32
244,T165,T258,Brendon Todd,32
245,T165,T161,D.J. Trahan,32
246,T165,T161,Martin Trainer,32
247,T165,T161,Jhonattan Vegas,32
248,T165,T161,Scott Vincent,32
249,T165,T161,Johnson Wagner,32
250,T165,T161,Jimmy Walker,32
251,T165,T161,Matt Wallace,32
252,T165,T161,Bubba Watson,32
253,T165,T161,Boo Weekley,32
254,T165,T161,Richy Werenski,32
255,T165,T161,Danny Willett,32
256,T165,T161,Matthew Wolff,32
257,T165,T161,Norman Xiong,32
258,T259,T258,Garrett Barber,33
259,T259,T316,Zach Bauchou,33
260,T259,T258,Lucas Bjerregaard,33
261,T259,,Etienne Brault,33
262,T259,T258,Wesley Bryan,33
263,T259,T258,John Chin,33
264,T259,T258,George Cunningham,33
265,T259,T258,Jon Curran,33
266,T259,T258,Cameron Davis,33
267,T259,T258,Luke Donald,33
268,T259,T258,David Duval,33
269,T259,T258,Armando Favela,33
270,T259,T258,Oscar Fraustro,33
271,T259,T258,Rahil Gangjee,33
272,T259,T258,Robert Garrigus,33
273,T259,T258,Andres Gonzales,33
274,T259,T258,Brent Grant,33
275,T259,T258,Ben Griffin,33
276,T259,T258,Seungsu Han,33
277,T259,T258,Lucas Herbert,33
278,T259,T258,Lee Hodges,33
279,T259,T258,Rikuya Hoshino,33
280,T259,T258,Jerry Kelly,33
281,T259,T258,Michael Kim,33
282,T259,T258,Richard Lee,33
283,T259,T258,Tae Hee Lee,33
284,T259,T258,Ben Leong,33
285,T259,T258,Alexander Levy,33
286,T259,T258,Nicholas Lindheim,33
287,T259,T258,David Lingmerth,33
288,T259,T258,David Lipsky,33
289,T259,T258,Dru Love,33
290,T259,T258,Ben Martin,33
291,T259,T258,Parker McLachlin,33
292,T259,T258,George McNeill,33
293,T259,T258,John Merrick,33
294,T259,T258,Dylan Meyer,33
295,T259,,Collin Morikawa,33
296,T259,T258,Blake Morris,33
297,T259,T258,Doyeob Mun,33
298,T259,T258,Grayson Murray,33
299,T259,T258,Sean O'Hair,33
300,T259,T258,Derek Oland,33
301,T259,T258,Alvaro Ortiz,33
302,T259,T258,Rod Pampling,33
303,T259,T258,Eddie Pepperell,33
304,T259,T258,Martin Piller,33
305,T259,T258,D.A. Points,33
306,T259,T258,Ian Poulter,33
