,Front_9_Par_4_Scoring_Average_RANK THIS WEEK,Front_9_Par_4_Scoring_Average_RANK LAST WEEK,Front_9_Par_4_Scoring_Average_PLAYER NAME,Front_9_Par_4_Scoring_Average_ROUNDS,Front_9_Par_4_Scoring_Average_AVG,Front_9_Par_4_Scoring_Average_TOTAL STROKES,Front_9_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Patrick Cantlay,49,3.89,919,236
1,T2,5,Jonathan Byrd,43,3.91,837,214
2,T2,T2,Charles Howell III,64,3.91,1275,326
3,T2,T2,Justin Thomas,49,3.91,992,254
4,5,T2,Ryan Palmer,56,3.92,1105,282
5,6,T13,Rory McIlroy,50,3.93,982,250
6,T7,T6,Aaron Baddeley,51,3.94,1055,268
7,T7,T6,Rafa Cabrera Bello,57,3.94,1111,282
8,T7,T9,Dustin Johnson,47,3.94,931,236
9,T7,T6,Jon Rahm,51,3.94,931,236
10,T11,T9,Hideki Matsuyama,59,3.95,1202,304
11,T11,T9,Graeme McDowell,61,3.95,1213,307
12,T13,T13,Tommy Fleetwood,43,3.96,760,192
13,T13,T13,Jim Furyk,53,3.96,1034,261
14,T13,T20,Sergio Garcia,39,3.96,674,170
15,T13,T13,Lucas Glover,62,3.96,1232,311
16,T13,T23,Brooks Koepka,49,3.96,896,226
17,T13,T23,Matt Kuchar,65,3.96,1260,318
18,T13,T13,Marc Leishman,52,3.96,1006,254
19,T13,T13,C.T. Pan,64,3.96,1296,327
20,T13,T9,Scott Piercy,70,3.96,1401,354
21,T13,T13,Tiger Woods,31,3.96,554,140
22,T23,T20,Kevin Kisner,65,3.97,1146,289
23,T23,T23,Nate Lashley,44,3.97,886,223
24,T23,T20,Keith Mitchell,64,3.97,1294,326
25,T23,T23,Webb Simpson,53,3.97,1115,281
26,T27,T23,Abraham Ancer,69,3.98,1377,346
27,T27,T39,Scott Brown,66,3.98,1340,337
28,T27,T23,Wyndham Clark,61,3.98,1251,314
29,T27,T23,Bryson DeChambeau,45,3.98,916,230
30,T27,T43,Harris English,72,3.98,1502,377
31,T27,T43,Talor Gooch,37,3.98,804,202
32,T27,T23,Chesson Hadley,58,3.98,1199,301
33,T27,T23,Phil Mickelson,41,3.98,820,206
34,T27,T23,Ryan Moore,54,3.98,1123,282
35,T27,T23,Louis Oosthuizen,43,3.98,757,190
36,T27,T23,J.T. Poston,76,3.98,1542,387
37,T27,T23,Brian Stuard,76,3.98,1526,383
38,T27,T23,Harold Varner III,62,3.98,1302,327
39,T27,T23,Matt Wallace,31,3.98,605,152
40,T41,T39,Ernie Els,43,3.99,869,218
41,T41,T43,Matt Every,38,3.99,723,181
42,T41,T39,Rickie Fowler,54,3.99,1180,296
43,T41,T95,Joey Garber,44,3.99,845,212
44,T41,T43,Sungjae Im,88,3.99,1809,453
45,T41,T82,Brandt Snedeker,68,3.99,1377,345
46,T41,T61,Henrik Stenson,46,3.99,822,206
47,T48,T43,Byeong Hun An,54,4.0,1103,276
48,T48,T43,Roberto Castro,54,4.0,1077,269
49,T48,T39,Cameron Davis,54,4.0,1105,276
50,T48,T43,Russell Henley,56,4.0,1131,283
51,T48,T43,Billy Horschel,73,4.0,1400,350
52,T48,T43,Matt Jones,67,4.0,1337,334
53,T48,T43,Si Woo Kim,65,4.0,1264,316
54,T48,T82,Peter Malnati,64,4.0,1301,325
55,T48,T43,Kevin Na,54,4.0,1059,265
56,T48,T43,Joaquin Niemann,68,4.0,1443,361
57,T48,T43,Andrew Putnam,57,4.0,1103,276
58,T48,T43,Chez Reavie,67,4.0,1297,324
59,T48,T43,Justin Rose,42,4.0,808,202
60,T48,T61,Adam Schenk,80,4.0,1666,417
61,T48,T43,Adam Scott,41,4.0,829,207
62,T48,T95,Chris Thompson,34,4.0,716,179
63,T48,T23,Johnson Wagner,45,4.0,911,228
64,T48,T61,Nick Watney,67,4.0,1361,340
65,T66,T61,Kiradech Aphibarnrat,49,4.01,994,248
66,T66,T61,Ryan Armour,66,4.01,1416,353
67,T66,T95,Sangmoon Bae,42,4.01,862,215
68,T66,T95,Jonas Blixt,66,4.01,1383,345
69,T66,T61,Jason Day,45,4.01,835,208
70,T66,T43,Brice Garnett,63,4.01,1315,328
71,T66,T61,Brian Gay,79,4.01,1631,407
72,T66,T61,Brian Harman,67,4.01,1421,354
73,T66,T61,Haotong Li,32,4.01,593,148
74,T66,T61,Troy Merritt,42,4.01,806,201
75,T66,T61,Trey Mullinax,67,4.01,1373,342
76,T66,T61,Alex Prugh,54,4.01,1071,267
77,T66,T61,Sam Ryder,52,4.01,1103,275
78,T66,T61,Rory Sabbatini,71,4.01,1425,355
79,T66,T61,Xander Schauffele,55,4.01,1114,278
80,T66,T61,John Senden,39,4.01,782,195
81,T66,T61,Kevin Streelman,63,4.01,1311,327
82,T66,T43,D.J. Trahan,33,4.01,654,163
83,T66,T95,Danny Willett,47,4.01,1014,253
84,T66,T61,Gary Woodland,63,4.01,1306,326
85,T86,T82,Keegan Bradley,65,4.02,1269,316
86,T86,T82,Stewart Cink,33,4.02,712,177
87,T86,T82,Corey Conners,62,4.02,1242,309
88,T86,T61,David Hearn,41,4.02,796,198
89,T86,T82,Jason Kokrak,68,4.02,1384,344
90,T86,T82,Andrew Landry,56,4.02,1105,275
