,Front_9_Round_2_Scoring_Average_RANK THIS WEEK,Front_9_Round_2_Scoring_Average_RANK LAST WEEK,Front_9_Round_2_Scoring_Average_PLAYER NAME,Front_9_Round_2_Scoring_Average_AVG,Front_9_Round_2_Scoring_Average_TOTAL STROKES,Front_9_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Tommy Fleetwood,33.22,299,9
1,2,2,Justin Rose,33.5,335,10
2,3,3,Jordan Spieth,33.93,509,15
3,T4,T4,Patrick Cantlay,34.0,408,12
4,T4,T4,Sam Ryder,34.0,510,15
5,T4,T6,Aaron Wise,34.0,510,15
6,7,T6,Hideki Matsuyama,34.07,477,14
7,8,8,Louis Oosthuizen,34.2,342,10
8,9,9,Cameron Champ,34.24,582,17
9,T10,10,Jonathan Byrd,34.25,411,12
10,T10,T17,Rory McIlroy,34.25,411,12
11,T12,14,Wyndham Clark,34.28,617,18
12,T12,T11,Sungjae Im,34.28,857,25
13,14,T11,Scott Piercy,34.33,618,18
14,15,13,Martin Laird,34.35,584,17
15,16,16,Emiliano Grillo,34.44,551,16
16,T17,T17,Ian Poulter,34.45,379,11
17,T17,T17,Adam Scott,34.45,379,11
18,19,20,Michael Thompson,34.47,586,17
19,T20,21,Jim Furyk,34.5,483,14
20,T20,29,Henrik Stenson,34.5,345,10
21,T20,33,Justin Thomas,34.5,414,12
22,23,15,Johnson Wagner,34.54,449,13
23,24,T27,Brian Gay,34.55,691,20
24,25,22,Lucas Glover,34.56,553,16
25,T26,26,Alex Cejka,34.57,484,14
26,T26,T23,Tiger Woods,34.57,242,7
27,28,32,Richy Werenski,34.58,657,19
28,T29,41,Scott Brown,34.6,692,20
29,T29,T36,Matt Kuchar,34.6,519,15
30,T29,T23,Ryan Palmer,34.6,519,15
31,32,25,Keegan Bradley,34.63,554,16
32,T33,34,Adam Hadwin,34.65,589,17
33,T33,T27,Sebastián Muñoz,34.65,589,17
34,35,30,Paul Casey,34.69,451,13
35,T36,31,Rickie Fowler,34.71,486,14
36,T36,T66,Brandt Snedeker,34.71,590,17
37,38,38,Tom Hoge,34.74,799,23
38,39,35,Charles Howell III,34.76,591,17
39,40,T54,Nick Watney,34.79,661,19
40,41,T36,Julián Etulain,34.8,522,15
41,T42,T39,Abraham Ancer,34.83,627,18
42,T42,45,Talor Gooch,34.83,418,12
43,T42,T39,John Senden,34.83,418,12
44,T45,T46,Daniel Berger,34.86,488,14
45,T45,T42,Kevin Na,34.86,488,14
46,T45,T42,J.T. Poston,34.86,732,21
47,48,T42,Graeme McDowell,34.87,523,15
48,49,T54,José de Jesús Rodríguez,34.88,593,17
49,T50,T46,Bryson DeChambeau,34.92,419,12
50,T50,T46,Jon Rahm,34.92,419,12
51,T52,T49,Kiradech Aphibarnrat,34.93,489,14
52,T52,T49,Aaron Baddeley,34.93,524,15
53,T52,T57,Zach Johnson,34.93,524,15
54,T52,T49,Hank Lebioda,34.93,524,15
55,T52,T49,Andrew Putnam,34.93,524,15
56,57,T54,Keith Mitchell,34.94,629,18
57,58,T57,Carlos Ortiz,34.95,699,20
58,T59,T57,Harris English,35.0,700,20
59,T59,T72,Matt Every,35.0,385,11
60,T59,T57,Sergio Garcia,35.0,315,9
61,T59,T57,Freddie Jacobson,35.0,455,13
62,T59,T57,Marc Leishman,35.0,455,13
63,T59,T49,Curtis Luck,35.0,560,16
64,T59,T74,Denny McCarthy,35.0,665,19
65,T59,T91,Ben Silverman,35.0,595,17
66,T59,T107,Webb Simpson,35.0,455,13
67,T59,T57,Cameron Smith,35.0,490,14
68,T59,T57,Gary Woodland,35.0,560,16
69,T70,T87,Jonas Blixt,35.05,666,19
70,T70,65,Kyoung-Hoon Lee,35.05,701,20
71,T72,T83,Dominic Bozzelli,35.06,561,16
72,T72,T66,Rory Sabbatini,35.06,631,18
73,T74,T68,Rafa Cabrera Bello,35.07,491,14
74,T74,T68,Xander Schauffele,35.07,491,14
75,T76,T70,Martin Kaymer,35.09,386,11
76,T76,T70,Troy Merritt,35.09,386,11
77,T78,T87,Kramer Hickok,35.11,667,19
78,T78,T74,Francesco Molinari,35.11,316,9
79,80,77,Kevin Kisner,35.13,527,15
80,T81,T78,Fabián Gómez,35.14,492,14
81,T81,T72,Kelly Kraft,35.14,773,22
82,83,T78,Patrick Reed,35.15,457,13
83,T84,T80,Ernie Els,35.17,422,12
84,T84,90,Peter Malnati,35.17,633,18
85,T84,T80,C.T. Pan,35.17,633,18
86,T87,161,Brooks Koepka,35.18,387,11
87,T87,T91,Adam Svensson,35.18,598,17
88,T89,T83,Tony Finau,35.2,528,15
89,T89,T83,Matthew Fitzpatrick,35.2,352,10
90,T89,T97,Dylan Frittelli,35.2,528,15
91,T89,T83,Beau Hossler,35.2,704,20
92,T93,T80,Danny Lee,35.21,669,19
93,T93,T74,Harold Varner III,35.21,669,19
94,T95,T87,Matt Jones,35.22,634,18
95,T95,106,Adam Schenk,35.22,810,23
96,T97,T91,Vaughn Taylor,35.25,705,20
97,T97,T150,Chris Thompson,35.25,423,12
98,99,96,Sung Kang,35.26,670,19
99,100,T127,Dustin Johnson,35.27,388,11
100,T101,T97,Martin Trainer,35.28,635,18
101,T101,T97,Kevin Tway,35.28,635,18
102,T103,T97,Joel Dahmen,35.29,741,21
103,T103,T97,Justin Harding,35.29,247,7
104,T103,T91,Alex Prugh,35.29,600,17
105,T103,T97,Brian Stuard,35.29,741,21
106,107,103,James Hahn,35.3,353,10
107,108,T104,Brendan Steele,35.31,565,16
108,T109,T127,J.B. Holmes,35.33,530,15
109,T109,T107,Hunter Mahan,35.33,530,15
110,T111,110,Andrew Landry,35.35,601,17
111,T111,T104,Sam Saunders,35.35,601,17
112,113,122,Brady Schnell,35.36,495,14
113,114,T114,Bud Cauley,35.37,672,19
114,T115,116,Austin Cook,35.38,566,16
115,T115,T162,Ben Crane,35.38,460,13
116,T115,T107,Bill Haas,35.38,566,16
117,T115,T111,Russell Knox,35.38,566,16
118,T115,T111,Jason Kokrak,35.38,566,16
119,T115,T156,Josh Teater,35.38,566,16
120,T115,T111,Matt Wallace,35.38,283,8
121,122,T150,Sangmoon Bae,35.4,531,15
122,123,T91,Russell Henley,35.41,602,17
123,T124,T127,Corey Conners,35.42,673,19
124,T124,117,Chesson Hadley,35.42,673,19
125,T124,T114,Trey Mullinax,35.42,673,19
126,T124,T127,Joaquin Niemann,35.42,673,19
127,T124,144,Nick Taylor,35.42,673,19
