,Front_9_Scoring_Average_RANK THIS WEEK,Front_9_Scoring_Average_RANK LAST WEEK,Front_9_Scoring_Average_PLAYER NAME,Front_9_Scoring_Average_ROUNDS,Front_9_Scoring_Average_AVG,Front_9_Scoring_Average_TOTAL STROKES,Front_9_Scoring_Average_TOTAL HOLES
0,1,1,Justin Thomas,49,34.22,1574,46
1,2,2,Patrick Cantlay,49,34.41,1514,44
2,3,6,Matt Kuchar,65,34.45,1998,58
3,4,3,Tiger Woods,31,34.46,896,26
4,5,4,Hideki Matsuyama,59,34.48,1931,56
5,6,5,Marc Leishman,52,34.56,1659,48
6,7,23,Rory McIlroy,50,34.57,1590,46
7,8,8,Charles Howell III,64,34.59,2110,61
8,9,7,Scott Piercy,70,34.61,2284,66
9,T10,T9,Bryson DeChambeau,45,34.64,1455,42
10,T10,T9,Tommy Fleetwood,43,34.64,1247,36
11,12,14,Nick Watney,67,34.65,2183,63
12,T13,T17,Dustin Johnson,47,34.68,1526,44
13,T13,T12,Troy Merritt,42,34.68,1318,38
14,T15,16,Sungjae Im,88,34.71,2916,84
15,T15,11,Ryan Palmer,56,34.71,1805,52
16,T15,15,C.T. Pan,64,34.71,2152,62
17,T15,T12,Aaron Wise,52,34.71,1701,49
18,19,T17,Jon Rahm,51,34.75,1529,44
19,20,20,Lucas Glover,62,34.76,2016,58
20,21,T17,Sergio Garcia,39,34.77,1043,30
21,T22,21,Jim Furyk,53,34.79,1670,48
22,T22,22,Adam Scott,41,34.79,1357,39
23,24,T32,Webb Simpson,53,34.8,1740,50
24,25,T34,Jonathan Byrd,43,34.83,1428,41
25,T26,T24,Aaron Baddeley,51,34.84,1777,51
26,T26,T24,Tony Finau,61,34.84,1951,56
27,T26,T24,Justin Rose,42,34.84,1324,38
28,T29,T24,Trey Mullinax,67,34.86,2196,63
29,T29,28,J.T. Poston,76,34.86,2510,72
30,31,29,Andrew Putnam,57,34.87,1813,52
31,T32,T32,Wyndham Clark,61,34.88,2058,59
32,T32,T40,Matt Every,38,34.88,1186,34
33,T32,30,Xander Schauffele,55,34.88,1814,52
34,35,T50,Scott Brown,66,34.9,2164,62
35,36,T46,Sebastián Muñoz,58,34.91,1955,56
36,37,T34,Russell Henley,56,34.92,1816,52
37,T38,T34,Graeme McDowell,61,34.93,1991,57
38,T38,T37,Keith Mitchell,64,34.93,2131,61
39,T38,T37,Chez Reavie,67,34.93,2096,60
40,T38,T37,Gary Woodland,63,34.93,2096,60
41,42,T40,Rory Sabbatini,71,34.94,2341,67
42,T43,T42,Emiliano Grillo,65,34.95,2167,62
43,T43,T42,Matt Jones,67,34.95,2202,63
44,T43,T44,Kevin Tway,62,34.95,2027,58
45,46,T71,Henrik Stenson,46,34.97,1329,38
46,T47,T46,Ryan Moore,54,34.98,1889,54
47,T47,T46,Harold Varner III,62,34.98,2099,60
48,T49,T53,Denny McCarthy,63,35.0,2065,59
49,T49,31,Johnson Wagner,45,35.0,1505,43
50,51,T62,Adam Hadwin,66,35.02,2171,62
51,52,T88,Brandt Snedeker,68,35.03,2277,65
52,T53,T53,Paul Casey,51,35.04,1647,47
53,T53,49,Austin Cook,50,35.04,1612,46
54,T53,T53,Rickie Fowler,54,35.04,1892,54
55,T53,T64,Martin Laird,60,35.04,1962,56
56,T53,T53,Sam Ryder,52,35.04,1822,52
57,T58,T58,Abraham Ancer,69,35.05,2243,64
58,T58,T58,Bud Cauley,61,35.05,2138,61
59,T58,61,Brian Gay,79,35.05,2629,75
60,T58,T78,Talor Gooch,37,35.05,1297,37
61,T58,T58,Si Woo Kim,65,35.05,2103,60
62,T58,T81,Brooks Koepka,49,35.05,1472,42
63,T58,52,Nate Lashley,44,35.05,1472,42
64,T58,T75,Peter Malnati,64,35.05,2103,60
