,Late_Par_4_Scoring_Average_RANK THIS WEEK,Late_Par_4_Scoring_Average_RANK LAST WEEK,Late_Par_4_Scoring_Average_PLAYER NAME,Late_Par_4_Scoring_Average_ROUNDS,Late_Par_4_Scoring_Average_AVG,Late_Par_4_Scoring_Average_TOTAL STROKES,Late_Par_4_Scoring_Average_TOTAL HOLES
0,T1,T1,Patrick Cantlay,49,3.91,1072,274
1,T1,T1,Sam Ryder,52,3.91,817,209
2,3,3,Phil Mickelson,41,3.92,698,178
3,T4,T13,Rory McIlroy,50,3.93,1310,333
4,T4,4,Justin Rose,42,3.93,1026,261
5,T6,T5,Abraham Ancer,69,3.94,1195,303
6,T6,T5,Matt Kuchar,65,3.94,1340,340
7,8,T5,Brooks Koepka,49,3.95,992,251
8,T9,T10,Aaron Baddeley,51,3.96,1066,269
9,T9,T10,Dustin Johnson,47,3.96,1140,288
10,T9,T13,Graeme McDowell,61,3.96,1064,269
11,T9,T8,Scott Piercy,70,3.96,1367,345
12,T13,T10,Nate Lashley,44,3.97,932,235
13,T13,T20,Webb Simpson,53,3.97,1097,276
14,T15,T15,Corey Conners,62,3.98,1099,276
15,T15,T15,Bryson DeChambeau,45,3.98,994,250
16,T15,T15,Justin Harding,31,3.98,374,94
17,T15,T15,Jon Rahm,51,3.98,1159,291
18,T15,T15,Cameron Smith,55,3.98,899,226
19,T15,T8,D.J. Trahan,33,3.98,656,165
20,T21,T20,Rafa Cabrera Bello,57,3.99,1074,269
21,T21,T20,Roberto Díaz,51,3.99,998,250
22,T21,T20,Rickie Fowler,54,3.99,1292,324
23,T21,T20,Talor Gooch,37,3.99,778,195
24,T21,T20,Kevin Kisner,65,3.99,1110,278
25,T21,T30,Peter Malnati,64,3.99,1290,323
26,T21,T20,Hideki Matsuyama,59,3.99,1061,266
27,T21,T20,Louis Oosthuizen,43,3.99,750,188
28,T21,T20,Vaughn Taylor,69,3.99,1436,360
29,T30,T30,Jonas Blixt,66,4.0,1261,315
30,T30,T30,Jason Day,45,4.0,912,228
31,T30,T20,Matt Every,38,4.0,893,223
32,T30,T30,Tommy Fleetwood,43,4.0,929,232
33,T30,T43,Jim Furyk,53,4.0,1081,270
34,T30,T43,Brian Gay,79,4.0,1706,426
35,T30,T30,Lucas Glover,62,4.0,1393,348
36,T30,T43,Adam Hadwin,66,4.0,1213,303
37,T30,T61,Russell Henley,56,4.0,1067,267
38,T30,T30,Charles Howell III,64,4.0,1368,342
39,T30,T30,Jason Kokrak,68,4.0,1336,334
40,T30,T43,Ryan Palmer,56,4.0,873,218
41,T30,T30,Chez Reavie,67,4.0,1244,311
42,T30,T43,José de Jesús Rodríguez,51,4.0,1100,275
43,T30,T30,Xander Schauffele,55,4.0,1231,308
44,T30,T61,Henrik Stenson,46,4.0,855,214
45,T30,T30,Brian Stuard,76,4.0,1473,368
46,T30,T30,Justin Thomas,49,4.0,1013,253
47,T48,T43,Dominic Bozzelli,53,4.01,1120,279
48,T48,T61,Jonathan Byrd,43,4.01,835,208
49,T48,T43,Paul Casey,51,4.01,1172,292
50,T48,T43,Roberto Castro,54,4.01,979,244
51,T48,T43,Wyndham Clark,61,4.01,1280,319
52,T48,T43,Si Woo Kim,65,4.01,1130,282
53,T48,T43,Russell Knox,65,4.01,1096,273
54,T48,T43,Kyoung-Hoon Lee,72,4.01,1448,361
55,T48,T43,Marc Leishman,52,4.01,1066,266
56,T48,T43,Francesco Molinari,41,4.01,766,191
57,T48,T43,Pat Perez,52,4.01,1115,278
58,T48,T61,Josh Teater,47,4.01,906,226
59,T48,T43,Chris Thompson,34,4.01,714,178
60,T48,T81,Cameron Tringale,52,4.01,971,242
61,T48,T43,Kevin Tway,62,4.01,1206,301
62,T63,T81,Ryan Armour,66,4.02,1320,328
63,T63,T61,Sam Burns,66,4.02,1277,318
64,T63,T61,Tyler Duncan,66,4.02,1294,322
65,T63,T95,Harris English,72,4.02,1282,319
66,T63,T81,Sergio Garcia,39,4.02,752,187
67,T63,T30,J.J. Henry,42,4.02,732,182
68,T63,T61,Sung Kang,67,4.02,1287,320
69,T63,T43,Trey Mullinax,67,4.02,1257,313
70,T63,T61,Carlos Ortiz,60,4.02,1163,289
71,T63,T61,J.T. Poston,76,4.02,1374,342
72,T63,T61,Ian Poulter,49,4.02,1068,266
73,T63,T61,Andrew Putnam,57,4.02,1165,290
74,T63,T61,Sam Saunders,53,4.02,1041,259
75,T63,T61,Adam Schenk,80,4.02,1699,423
76,T63,T61,Brady Schnell,38,4.02,764,190
77,T63,T61,Michael Thompson,56,4.02,1202,299
78,T63,T61,Harold Varner III,62,4.02,1261,314
79,T63,T61,Gary Woodland,63,4.02,1420,353
80,T63,T61,Tiger Woods,31,4.02,506,126
81,T82,T95,Scott Brown,66,4.03,1162,288
82,T82,T81,Cameron Champ,58,4.03,1270,315
83,T82,T95,Joey Garber,44,4.03,927,230
84,T82,T61,David Hearn,41,4.03,819,203
85,T82,T95,J.B. Holmes,54,4.03,1061,263
86,T82,T81,Billy Horschel,73,4.03,1529,379
87,T82,T95,Curtis Luck,51,4.03,987,245
88,T82,T81,Hunter Mahan,45,4.03,745,185
89,T82,T61,Sebastián Muñoz,58,4.03,1193,296
90,T82,T81,Kevin Na,54,4.03,1036,257
