,Late_Round_1_Scoring_Average_RANK THIS WEEK,Late_Round_1_Scoring_Average_RANK LAST WEEK,Late_Round_1_Scoring_Average_PLAYER NAME,Late_Round_1_Scoring_Average_AVG,Late_Round_1_Scoring_Average_TOTAL STROKES,Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Sergio Garcia,68.33,205,3
1,2,2,Chez Reavie,68.38,547,8
2,3,3,Phil Mickelson,68.43,479,7
3,4,4,Vaughn Taylor,68.5,685,10
4,5,6,Rory Sabbatini,68.71,481,7
5,T6,T9,Tommy Fleetwood,69.0,207,3
6,T6,T9,Matt Kuchar,69.0,414,6
7,T6,5,Nate Lashley,69.0,414,6
8,T6,7,Justin Thomas,69.0,345,5
9,10,11,Pat Perez,69.14,484,7
10,11,T12,Matt Every,69.17,415,6
11,T12,28,Peter Malnati,69.33,624,9
12,T12,8,Scott Piercy,69.33,416,6
13,T14,15,Patrick Cantlay,69.43,486,7
14,T14,T23,Sepp Straka,69.43,486,7
15,T14,T12,Bubba Watson,69.43,486,7
16,17,41,Roberto Castro,69.44,625,9
17,T18,T16,Byeong Hun An,69.5,417,6
18,T18,T16,Si Woo Kim,69.5,695,10
19,T18,T16,Josh Teater,69.5,417,6
20,T21,T19,Lucas Glover,69.56,626,9
21,T21,T19,Hideki Matsuyama,69.56,626,9
22,T23,40,Graeme McDowell,69.6,696,10
23,T23,21,Troy Merritt,69.6,348,5
24,25,22,Wes Roach,69.63,557,8
25,26,T23,Russell Knox,69.67,418,6
26,27,T33,Joaquin Niemann,69.7,697,10
27,T28,T26,Dustin Johnson,69.71,488,7
28,T28,T26,Ryan Moore,69.71,488,7
29,30,T47,Mackenzie Hughes,69.75,558,8
30,T31,T29,Dominic Bozzelli,69.78,628,9
31,T31,T29,Charles Howell III,69.78,628,9
32,33,T68,D.J. Trahan,69.8,349,5
33,34,31,Abraham Ancer,69.86,489,7
34,35,32,Sung Kang,69.91,769,11
35,T36,T33,Tony Finau,70.0,700,10
36,T36,T33,Justin Harding,70.0,140,2
37,T36,T33,Billy Horschel,70.0,560,8
38,T36,T76,Danny Lee,70.0,630,9
39,T36,T33,Jon Rahm,70.0,420,6
40,T36,T33,Patrick Reed,70.0,420,6
41,T36,T33,Cameron Smith,70.0,420,6
42,43,T58,Scott Langley,70.09,771,11
43,44,T61,Ryan Palmer,70.13,561,8
44,45,42,Jordan Spieth,70.14,491,7
45,46,T72,Kevin Tway,70.2,702,10
46,47,T43,Trey Mullinax,70.22,632,9
47,T48,T45,Sam Ryder,70.25,281,4
48,T48,T45,Webb Simpson,70.25,562,8
49,50,T47,Seth Reeves,70.29,492,7
50,T51,T43,Stephan Jaeger,70.3,703,10
51,T51,49,Hudson Swafford,70.3,703,10
52,T53,T50,Sam Burns,70.33,633,9
53,T53,57,Wyndham Clark,70.33,633,9
54,T53,T50,Dylan Frittelli,70.33,422,6
55,T53,T50,Matt Jones,70.33,633,9
56,T53,T50,Rory McIlroy,70.33,422,6
57,T53,T50,Kevin Na,70.33,633,9
58,T53,T50,Tiger Woods,70.33,211,3
59,60,56,Ryan Blaum,70.36,774,11
60,T61,T58,Kyoung-Hoon Lee,70.4,704,10
61,T61,T58,Ian Poulter,70.4,352,5
62,T63,T61,Corey Conners,70.43,493,7
63,T63,T61,Rickie Fowler,70.43,493,7
64,T63,T61,Brian Gay,70.43,986,14
65,T63,T61,Gary Woodland,70.43,493,7
66,67,66,Roberto Díaz,70.44,634,9
67,68,67,Bud Cauley,70.45,775,11
68,T69,T68,Jonas Blixt,70.5,423,6
69,T69,14,Julián Etulain,70.5,423,6
70,T69,T68,Luke List,70.5,423,6
71,T69,T156,Henrik Stenson,70.5,282,4
72,73,71,Joel Dahmen,70.54,917,13
73,74,T72,Adam Long,70.56,635,9
74,75,81,Scott Stallings,70.58,847,12
75,76,75,James Hahn,70.6,353,5
76,T77,T76,Shawn Stefani,70.63,565,8
77,T77,T76,Nick Watney,70.63,565,8
78,T79,102,Hank Lebioda,70.67,636,9
79,T79,79,Haotong Li,70.67,212,3
80,81,80,J.T. Poston,70.75,849,12
81,T82,T99,Harold Varner III,70.8,708,10
82,T82,T72,Chase Wright,70.8,708,10
83,84,82,"Ted Potter, Jr.",70.83,425,6
84,85,83,Jim Furyk,70.86,496,7
85,T86,132,Harris English,70.88,567,8
86,T86,84,Patrick Rodgers,70.88,567,8
87,T88,T85,Keegan Bradley,70.89,638,9
88,T88,T85,Emiliano Grillo,70.89,638,9
89,T88,133,Russell Henley,70.89,638,9
90,T88,T85,Kevin Kisner,70.89,638,9
91,T92,88,C.T. Pan,70.9,709,10
92,T92,T99,Adam Svensson,70.9,709,10
93,94,90,Sungjae Im,70.93,993,14
94,T95,T91,Aaron Baddeley,71.0,355,5
95,T95,T106,Alex Cejka,71.0,497,7
96,T95,T91,Jason Day,71.0,497,7
97,T95,T179,Talor Gooch,71.0,355,5
98,T95,T91,David Hearn,71.0,355,5
99,T95,T91,Curtis Luck,71.0,497,7
100,T95,89,Carlos Ortiz,71.0,852,12
101,T95,T91,Adam Schenk,71.0,710,10
102,T95,T91,Nick Taylor,71.0,710,10
103,T95,T91,Jhonattan Vegas,71.0,497,7
104,T95,T91,Johnson Wagner,71.0,497,7
105,106,T110,Alex Prugh,71.1,711,10
106,107,T99,Xander Schauffele,71.11,640,9
107,108,T103,Zach Johnson,71.13,569,8
108,T109,T103,Patton Kizzire,71.14,498,7
109,T109,T103,Jason Kokrak,71.14,498,7
110,T109,T125,Brandt Snedeker,71.14,498,7
111,T112,T106,Bryson DeChambeau,71.17,427,6
112,T112,131,Robert Streb,71.17,854,12
113,114,108,Michael Thompson,71.18,783,11
114,115,109,Alex Noren,71.2,356,5
115,116,T110,Adam Hadwin,71.22,641,9
116,T117,T112,Marc Leishman,71.25,570,8
117,T117,T112,Sebastián Muñoz,71.25,570,8
118,T117,T112,Grayson Murray,71.25,285,4
119,T117,134,Peter Uihlein,71.25,855,12
120,T121,T115,John Huh,71.29,499,7
121,T121,T145,Jim Knous,71.29,499,7
122,T123,T117,Bronson Burgoon,71.33,428,6
123,T123,T156,Joey Garber,71.33,428,6
124,T123,T117,Branden Grace,71.33,642,9
125,T123,T117,Jim Herman,71.33,428,6
126,T123,T120,Richy Werenski,71.33,642,9
127,T128,T120,Kiradech Aphibarnrat,71.38,571,8
128,T128,T115,Austin Cook,71.38,571,8
129,T128,T120,José de Jesús Rodríguez,71.38,571,8
130,T131,T123,Charl Schwartzel,71.4,357,5
131,T131,151,J.J. Spaun,71.4,714,10
132,T133,T125,Fabián Gómez,71.5,429,6
133,T133,T125,Tyrrell Hatton,71.5,286,4
