,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,3,Matt Kuchar,65,69.0,2139,31
1,2,1,Patrick Cantlay,49,69.04,1795,26
2,3,12,Rory McIlroy,50,69.13,2143,31
3,4,4,Sam Ryder,52,69.2,1384,20
4,5,5,Abraham Ancer,69,69.25,1939,28
5,6,2,Brooks Koepka,49,69.3,1594,23
6,7,T14,Webb Simpson,53,69.32,1733,25
7,8,7,Dustin Johnson,47,69.33,1872,27
8,9,6,Scott Piercy,70,69.34,2219,32
9,10,9,Bryson DeChambeau,45,69.61,1601,23
10,11,8,Matt Every,38,69.62,1462,21
11,12,10,Phil Mickelson,41,69.65,1184,17
12,13,11,Justin Rose,42,69.68,1742,25
13,14,13,Cameron Champ,58,69.72,2022,29
14,15,T14,Gary Woodland,63,69.73,2301,33
15,16,T16,Xander Schauffele,55,69.76,2023,29
16,17,T16,Wyndham Clark,61,69.77,2093,30
17,18,21,Justin Thomas,49,69.78,1605,23
18,19,18,Rory Sabbatini,71,69.79,2373,34
19,20,19,Cameron Smith,55,69.81,1466,21
20,21,20,Tiger Woods,31,69.83,838,12
21,22,22,Jon Rahm,51,69.86,1956,28
22,T23,23,Hideki Matsuyama,59,69.88,1747,25
23,T23,T44,Wes Roach,45,69.88,1188,17
24,25,24,Trey Mullinax,67,69.93,2028,29
25,26,32,Talor Gooch,37,69.94,1259,18
26,T27,T41,Adam Hadwin,66,69.96,1959,28
27,T27,26,Marc Leishman,52,69.96,1749,25
28,T29,T27,Aaron Baddeley,51,70.0,1820,26
29,T29,T27,Rickie Fowler,54,70.0,2100,30
30,T29,T27,Sergio Garcia,39,70.0,1190,17
31,32,T33,Kevin Tway,62,70.04,1961,28
32,33,25,D.J. Trahan,33,70.06,1121,16
33,T34,37,Peter Malnati,64,70.07,2102,30
34,T34,31,Chez Reavie,67,70.07,2032,29
35,36,30,Nate Lashley,44,70.09,1542,22
36,37,35,Dominic Bozzelli,53,70.12,1823,26
37,T38,T33,James Hahn,34,70.15,912,13
38,T38,43,Ryan Palmer,56,70.15,1403,20
39,40,36,Adam Scott,41,70.17,1614,23
40,T41,38,Sam Burns,66,70.2,2106,30
41,T41,T70,Graeme McDowell,61,70.2,1755,25
42,43,T39,Justin Harding,31,70.22,632,9
43,44,T41,Vaughn Taylor,69,70.24,2388,34
44,45,T81,Henrik Stenson,46,70.25,1405,20
45,T46,49,Corey Conners,62,70.27,1827,26
46,T46,T44,Sung Kang,67,70.27,2108,30
47,48,46,Jason Kokrak,68,70.28,2249,32
48,49,T39,Sebastián Muñoz,58,70.29,1968,28
49,50,T47,Si Woo Kim,65,70.3,1898,27
50,T51,T50,Lucas Glover,62,70.33,2321,33
51,T51,T50,Jordan Spieth,57,70.33,2110,30
52,T51,T61,Josh Teater,47,70.33,1477,21
53,54,52,Ian Poulter,49,70.36,1759,25
54,T55,T54,Kevin Kisner,65,70.38,1830,26
55,T55,T54,Pat Perez,52,70.38,1830,26
56,T55,T54,J.T. Poston,76,70.38,2252,32
57,58,86,Roberto Castro,54,70.39,1619,23
58,T59,T57,Kyoung-Hoon Lee,72,70.41,2394,34
59,T59,T59,Denny McCarthy,63,70.41,1901,27
60,T59,T57,Andrew Putnam,57,70.41,1901,27
61,T62,T59,Kevin Na,54,70.42,1690,24
62,T62,T63,Nick Taylor,70,70.42,2183,31
63,T64,T61,Troy Merritt,42,70.45,1409,20
64,T64,53,Hudson Swafford,59,70.45,2184,31
65,66,T77,Jim Furyk,53,70.48,1762,25
66,T67,65,Roberto Díaz,51,70.5,1692,24
67,T67,T70,Tyler Duncan,66,70.5,2115,30
68,69,68,Joel Dahmen,78,70.51,2609,37
69,70,69,Ryan Moore,54,70.52,1763,25
70,71,T92,Danny Lee,66,70.53,2116,30
71,72,T63,Dylan Frittelli,55,70.54,1834,26
72,T73,T70,Tony Finau,61,70.55,2187,31
73,T73,T70,Adam Schenk,80,70.55,2822,40
74,75,T66,Carlos Ortiz,60,70.56,1905,27
75,T76,T84,Brian Gay,79,70.58,2823,40
76,T76,74,Russell Knox,65,70.58,1835,26
77,78,75,Tommy Fleetwood,43,70.59,1553,22
78,79,76,Patrick Rodgers,44,70.6,1412,20
79,80,T77,Max Homa,61,70.61,1624,23
80,T81,101,Mackenzie Hughes,58,70.62,1836,26
81,T81,89,Aaron Wise,52,70.62,1483,21
82,83,T79,Brian Stuard,76,70.63,2472,35
83,T84,T102,Russell Henley,56,70.64,1766,25
84,T84,T118,Hank Lebioda,55,70.64,1554,22
85,86,T79,Bubba Watson,47,70.65,1413,20
86,T87,88,Jonas Blixt,66,70.66,2049,29
87,T87,83,Charles Howell III,64,70.66,2261,32
88,89,T66,Johnson Wagner,45,70.67,1484,21
89,90,T118,Harris English,72,70.7,2121,30
90,91,87,Francesco Molinari,41,70.72,1273,18
91,T92,T84,Shawn Stefani,57,70.73,2122,30
92,T92,T95,Peter Uihlein,65,70.73,2122,30
93,94,T110,Brandt Snedeker,68,70.74,2193,31
94,T95,90,Emiliano Grillo,65,70.76,2406,34
95,T95,100,Harold Varner III,62,70.76,2052,29
96,97,91,Billy Horschel,73,70.78,2548,36
97,98,T92,Paul Casey,51,70.79,1982,28
98,99,T110,J.J. Spaun,68,70.8,2124,30
99,T100,98,Sungjae Im,88,70.81,3045,43
100,T100,T107,Kelly Kraft,67,70.81,2266,32
101,T100,T81,Chris Stroud,54,70.81,1487,21
102,T103,T95,Jason Day,45,70.82,1558,22
103,T103,94,Zach Johnson,50,70.82,1558,22
104,T103,T95,Matt Jones,67,70.82,2337,33
105,106,99,Stephan Jaeger,59,70.86,1984,28
106,107,T107,Ryan Armour,66,70.87,2197,31
107,T108,T102,Rafa Cabrera Bello,57,70.88,1843,26
108,T108,T136,José de Jesús Rodríguez,51,70.88,1843,26
109,T110,T104,Louis Oosthuizen,43,70.89,1276,18
110,T110,T104,C.T. Pan,64,70.89,1985,28
111,T110,T104,Michael Thompson,56,70.89,1985,28
112,T110,T115,Nick Watney,67,70.89,1985,28
113,114,109,Byeong Hun An,54,70.91,1560,22
114,T115,T112,Charl Schwartzel,34,70.94,1135,16
115,T115,T112,Jhonattan Vegas,60,70.94,2199,31
116,117,T147,Cameron Tringale,52,70.96,1632,23
117,T118,T115,Anders Albertson,48,71.0,1704,24
118,T118,T118,Ernie Els,43,71.0,1420,20
119,T118,T130,J.B. Holmes,54,71.0,1775,25
120,T118,T118,Alex Noren,49,71.0,1420,20
121,122,125,Richy Werenski,63,71.03,2273,32
122,123,126,Beau Hossler,66,71.04,1989,28
123,124,T136,Jim Herman,37,71.05,1350,19
124,125,T118,Brady Schnell,38,71.06,1279,18
125,T126,128,Bud Cauley,61,71.07,1919,27
126,T126,T115,Brice Garnett,63,71.07,1990,28
127,T126,T142,Joaquin Niemann,68,71.07,2061,29
128,129,T118,Chase Wright,53,71.08,1848,26
129,130,T139,Scott Brown,66,71.11,1920,27
130,131,T139,Jim Knous,55,71.12,1778,25
131,T132,T118,Bill Haas,58,71.13,1636,23
132,T132,129,Patton Kizzire,58,71.13,1636,23
133,T132,999,Shane Lowry,30,71.13,1067,15
134,135,135,Brandon Harkins,67,71.16,1779,25
135,T136,T130,Luke List,52,71.17,1637,23
136,T136,T130,Hunter Mahan,45,71.17,1281,18
137,138,114,Julián Etulain,55,71.18,1566,22
138,T139,T133,Andrew Landry,56,71.2,1424,20
139,T139,T133,"Ted Potter, Jr.",56,71.2,1424,20
140,141,138,Matt Wallace,31,71.23,926,13
141,142,T142,Ollie Schniederjans,63,71.25,1995,28
142,143,127,David Hearn,41,71.26,1354,19
143,144,T149,Ben Silverman,54,71.27,1853,26
144,145,158,Scott Stallings,63,71.28,1782,25
145,T146,T145,Anirban Lahiri,54,71.29,1711,24
146,T146,T145,Kevin Streelman,63,71.29,1996,28
147,T146,T155,Adam Svensson,51,71.29,1711,24
148,149,T152,Alex Prugh,54,71.32,1783,25
149,150,T147,Chris Kirk,47,71.33,1498,21
150,T151,144,Cameron Davis,54,71.35,1641,23
151,T151,T149,Jason Dufner,56,71.35,1855,26
152,T151,T139,J.J. Henry,42,71.35,1213,17
153,T154,T163,Joey Garber,44,71.36,1570,22
154,T154,151,Martin Kaymer,38,71.36,1570,22
155,T154,T152,Sam Saunders,53,71.36,1784,25
156,T157,T152,Kiradech Aphibarnrat,49,71.38,1713,24
157,T157,167,Scott Langley,60,71.38,1856,26
158,159,T155,Ryan Blaum,67,71.39,2356,33
159,160,157,Adam Long,52,71.4,1785,25
160,161,T170,Chris Thompson,34,71.41,1214,17
161,T162,159,Chesson Hadley,58,71.43,2000,28
162,T162,178,Robert Streb,60,71.43,2000,28
163,164,165,Martin Laird,60,71.44,1929,27
164,165,166,Jonathan Byrd,43,71.45,1429,20
165,166,161,Charley Hoffman,58,71.46,2001,28
166,167,162,Keith Mitchell,64,71.47,2287,32
167,168,T163,Daniel Berger,48,71.5,1716,24
168,T169,176,Kyle Jones,49,71.54,1860,26
169,T169,160,Seth Reeves,52,71.54,2003,28
170,T169,999,Tyrone Van Aswegen,30,71.54,930,13
171,172,173,Roger Sloan,62,71.56,2433,34
172,173,T184,Jimmy Walker,61,71.57,2147,30
173,T174,T182,Brian Harman,67,71.58,2362,33
174,T174,179,Curtis Luck,51,71.58,1718,24
175,T174,168,Patrick Reed,53,71.58,1718,24
176,177,169,Branden Grace,62,71.59,1575,22
177,T178,T170,Grayson Murray,36,71.6,1074,15
178,T178,T170,Brendan Steele,50,71.6,1432,20
179,180,174,Haotong Li,32,71.64,788,11
180,181,175,Kyle Stanley,53,71.65,1433,20
181,182,177,John Huh,35,71.69,1147,16
182,183,T180,Keegan Bradley,65,71.73,1865,26
183,T184,187,Alex Cejka,41,71.75,1148,16
184,T184,T180,Stewart Cink,33,71.75,1148,16
185,186,T182,Austin Cook,50,71.78,1651,23
186,187,T184,Matthew Fitzpatrick,42,71.79,1005,14
187,188,186,Sepp Straka,48,71.86,2012,28
188,189,999,Martin Piller,30,71.87,1078,15
189,190,T191,Fabián Gómez,44,71.88,1150,16
190,191,189,John Senden,39,71.9,1438,20
191,192,188,Kramer Hickok,59,71.93,1942,27
192,193,190,Tom Hoge,70,71.94,2446,34
193,194,205,Danny Willett,47,71.96,1727,24
194,T195,T191,Bronson Burgoon,37,72.0,1152,16
195,T195,T194,Cody Gribble,52,72.0,1512,21
196,197,206,Ben Crane,41,72.05,1369,19
197,198,193,D.A. Points,33,72.14,1010,14
198,199,T194,Satoshi Kodaira,51,72.15,1443,20
199,200,199,Rod Pampling,40,72.17,1299,18
200,201,196,Martin Trainer,51,72.19,1949,27
201,202,197,Whee Kim,57,72.2,1805,25
