,Lowest_Round_RANK THIS WEEK,Lowest_Round_RANK LAST WEEK,Lowest_Round_PLAYER NAME,Lowest_Round_ROUNDS,Lowest_Round_VALUE,Lowest_Round_TOURN/COURSE,Lowest_Round_ROUND
0,T1,1,Phil Mickelson,41,60,Desert Classic/,1
1,T1,T120,Brandt Snedeker,68,60,RBC Canadian/Ha,2
2,T3,T2,Ricky Barnes,19,61,Safeway Open/Si,2
3,T3,T2,Lucas Glover,62,61,Shriners/TPC Su,3
4,T3,T2,Sung Kang,67,61,Byron Nelson/Tr,2
5,T3,T21,Rory McIlroy,50,61,RBC Canadian/Ha,4
6,T3,T2,Patrick Rodgers,44,61,The RSM Classic,3
7,T3,T120,Ben Silverman,54,61,RBC Canadian/Ha,2
8,T3,T2,Adam Svensson,51,61,Sony Open/Waial,1
9,T3,T2,Gary Woodland,63,61,CIMB Classic/TP,2
10,T11,T8,Cameron Champ,58,62,Mayakoba/El Cam,2
11,T11,T8,Stewart Cink,33,62,Sony Open/Waial,2
12,T11,T8,Marc Leishman,52,62,CIMB Classic/TP,2
13,T11,T8,Nicholas Lindheim,26,62,Byron Nelson/Tr,3
14,T11,T8,Kevin Na,54,62,Charles Schwab/,2
15,T11,T8,Carlos Ortiz,60,62,Desert Classic/,2
16,T11,T8,Ryan Palmer,56,62,THE CJ CUP/Nine,4
17,T11,T8,Scott Piercy,70,62,Mayakoba/El Cam,4
18,T11,T8,Andrew Putnam,57,62,Sony Open/Waial,1
19,T11,T8,Jon Rahm,51,62,Farmers/Torrey,1
20,T11,T8,Sam Ryder,52,62,Shriners/TPC Su,4
21,T11,T8,Xander Schauffele,55,62,Sentry/Plantati,4
22,T11,T8,Justin Thomas,49,62,WGC-Mexico/Club,4
23,T24,T21,Jonas Blixt,66,63,Mayakoba/El Cam,2
24,T24,T120,Keegan Bradley,65,63,RBC Canadian/Ha,1
25,T24,T194,Scott Brown,66,63,RBC Canadian/Ha,2
26,T24,T21,Bronson Burgoon,37,63,CIMB Classic/TP,1
27,T24,T21,Patrick Cantlay,49,63,Shriners/TPC Su,3
28,T24,T21,Bryson DeChambeau,45,63,Sony Open/Waial,3
29,T24,T21,Jason Dufner,56,63,Wells Fargo/Qua,2
30,T24,T21,Rickie Fowler,54,63,Shriners/TPC Su,4
31,T24,T21,Brian Gay,79,63,Mayakoba/El Cam,2
32,T24,T21,Doug Ghim,19,63,Farmers/Torrey,1
33,T24,T21,Jason Gore,10,63,The RSM Classic,2
34,T24,T21,Emiliano Grillo,65,63,Sony Open/Waial,3
35,T24,T21,Charley Hoffman,58,63,Charles Schwab/,3
36,T24,T21,J.B. Holmes,54,63,Genesis Open/Ri,1
37,T24,T21,Max Homa,61,63,Wells Fargo/Qua,2
38,T24,T21,Whee Kim,57,63,Mayakoba/El Cam,2
39,T24,T21,Kevin Kisner,65,63,The RSM Classic,3
40,T24,T21,Patton Kizzire,58,63,The RSM Classic,3
41,T24,T21,Brooks Koepka,49,63,PGA Champ/Bethp,1
42,T24,T21,Matt Kuchar,65,63,RBC Canadian/Ha,2
43,T24,T21,Luke List,52,63,The RSM Classic,3
44,T24,T21,Adam Long,52,63,Desert Classic/,3
45,T24,T21,Denny McCarthy,63,63,Byron Nelson/Tr,1
46,T24,T21,Chip McDaniel,9,63,Puntacana/Coral,4
47,T24,T21,Keith Mitchell,64,63,Sony Open/Waial,3
48,T24,T21,Charles Reiter,3,63,Desert Classic/,3
49,T24,T21,Justin Rose,42,63,the Memorial/Mu,2
50,T24,T21,Adam Scott,41,63,THE CJ CUP/Nine,4
51,T24,T21,Webb Simpson,53,63,The RSM Classic,3
52,T24,T21,Sepp Straka,48,63,Safeway Open/Si,1
53,T24,T21,Peter Uihlein,65,63,Byron Nelson/Tr,3
54,T24,T21,Richy Werenski,63,63,The RSM Classic,3
55,T24,T21,Aaron Wise,52,63,Mayakoba/El Cam,3
56,T57,T53,Byeong Hun An,54,64,WGC-Mexico/Club,3
57,T57,T53,Kiradech Aphibarnrat,49,64,Byron Nelson/Tr,4
58,T57,T53,Ryan Armour,66,64,Sony Open/Waial,2
59,T57,T53,Dominic Bozzelli,53,64,Desert Classic/,3
60,T57,T120,Jonathan Byrd,43,64,RBC Canadian/Ha,3
61,T57,T53,Paul Casey,51,64,Pebble Beach/Mo,2
62,T57,T120,Roberto Castro,54,64,RBC Canadian/Ha,1
63,T57,T53,Bud Cauley,61,64,Byron Nelson/Tr,3
64,T57,T53,Corey Conners,62,64,Sony Open/Waial,4
65,T57,T53,Austin Cook,50,64,The RSM Classic,4
66,T57,T53,Tyler Duncan,66,64,Byron Nelson/Tr,1
67,T57,T53,Ernie Els,43,64,The RSM Classic,4
68,T57,T53,Tony Finau,61,64,Charles Schwab/,1
69,T57,T53,Dylan Frittelli,55,64,Desert Classic/,3
