,Par_3_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_3_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_3_Birdie_or_Better_Leaders_PLAYER NAME,Par_3_Birdie_or_Better_Leaders_ROUNDS,Par_3_Birdie_or_Better_Leaders_%,Par_3_Birdie_or_Better_Leaders_PAR 3 BIRDIES OR BETTER,Par_3_Birdie_or_Better_Leaders_PAR 3 HOLES
0,1,1,Tiger Woods,31,23.08,24,104
1,2,3,Justin Harding,31,19.79,19,96
2,3,4,Cameron Champ,58,18.55,41,221
3,4,6,Marc Leishman,52,18.09,34,188
4,T5,7,Jason Kokrak,68,18.08,47,260
5,T5,8,Danny Lee,66,18.08,47,260
6,7,5,Justin Thomas,49,17.78,32,180
7,8,9,Aaron Wise,52,17.71,34,192
8,9,10,Jordan Spieth,57,17.51,38,217
9,10,11,Emiliano Grillo,65,17.34,43,248
10,11,12,Joel Dahmen,78,17.33,52,300
11,12,16,Jon Rahm,51,17.05,30,176
12,13,18,Jason Day,45,16.98,27,159
13,14,15,Austin Cook,50,16.93,32,189
14,15,19,Billy Horschel,73,16.92,44,260
15,16,T20,Sebastián Muñoz,58,16.74,38,227
16,17,13,Shawn Stefani,57,16.67,36,216
17,18,T20,Andrew Putnam,57,16.59,34,205
18,19,17,Scott Piercy,70,16.48,43,261
19,20,22,Bryson DeChambeau,45,16.46,27,164
20,21,14,Alex Cejka,41,16.34,25,153
21,22,23,Michael Thompson,56,16.3,37,227
22,23,27,Scott Langley,60,16.17,38,235
23,24,24,Vaughn Taylor,69,16.12,44,273
24,25,31,Ben Silverman,54,15.98,35,219
25,26,28,Gary Woodland,63,15.97,38,238
26,T27,25,Ryan Palmer,56,15.79,33,209
27,T27,29,Richy Werenski,63,15.79,39,247
28,T29,T34,Patton Kizzire,58,15.63,35,224
29,T29,T34,Hideki Matsuyama,59,15.63,35,224
30,31,38,Rory Sabbatini,71,15.38,42,273
31,T32,39,Patrick Cantlay,49,15.34,27,176
32,T32,26,J.B. Holmes,54,15.34,29,189
33,34,36,Hank Lebioda,55,15.31,32,209
34,35,40,Matthew Fitzpatrick,42,15.29,24,157
35,T36,41,Rickie Fowler,54,15.28,33,216
36,T36,37,Matt Kuchar,65,15.28,35,229
37,38,30,Kelly Kraft,67,15.18,39,257
38,39,54,Martin Laird,60,15.11,34,225
39,40,T45,Sung Kang,67,15.09,40,265
40,T41,47,Patrick Rodgers,44,15.08,27,179
41,T41,32,Adam Svensson,51,15.08,30,199
42,43,33,Graeme McDowell,61,15.02,35,233
43,44,60,Rory McIlroy,50,15.0,27,180
44,45,44,Jonas Blixt,66,14.94,39,261
45,46,50,Charley Hoffman,58,14.93,33,221
46,47,48,Adam Schenk,80,14.92,47,315
47,48,T51,Louis Oosthuizen,43,14.86,22,148
48,49,61,Sepp Straka,48,14.81,28,189
49,50,55,Kevin Na,54,14.8,29,196
50,51,53,Peter Malnati,64,14.69,36,245
51,52,T57,Ryan Moore,54,14.68,32,218
52,53,56,Matt Every,38,14.6,20,137
53,54,T45,Denny McCarthy,63,14.58,35,240
54,55,49,Ryan Armour,66,14.5,39,269
55,56,63,Francesco Molinari,41,14.39,19,132
56,57,42,Brady Schnell,38,14.38,22,153
57,58,62,Hudson Swafford,59,14.35,33,230
58,59,67,Kyoung-Hoon Lee,72,14.23,39,274
59,60,T64,Cameron Davis,54,14.22,30,211
60,61,68,Troy Merritt,42,14.19,21,148
61,62,59,Corey Conners,62,14.16,33,233
62,63,69,Peter Uihlein,65,14.06,36,256
63,64,72,Cameron Smith,55,14.0,28,200
64,65,73,Freddie Jacobson,37,13.99,20,143
65,66,70,Adam Hadwin,66,13.94,35,251
66,67,75,Pat Perez,52,13.93,28,201
67,68,76,Russell Knox,65,13.92,33,237
68,69,71,Stephan Jaeger,59,13.9,31,223
69,70,74,Cameron Tringale,52,13.85,27,195
70,T71,T64,Bud Cauley,61,13.82,34,246
71,T71,77,Justin Rose,42,13.82,21,152
72,73,43,Josh Teater,47,13.81,25,181
73,T74,78,Tony Finau,61,13.78,31,225
74,T74,T89,Sungjae Im,88,13.78,47,341
75,T76,T79,Paul Casey,51,13.76,26,189
76,T76,T79,Jason Dufner,56,13.76,30,218
77,78,83,Si Woo Kim,65,13.69,33,241
78,79,T79,Roberto Castro,54,13.66,28,205
79,T80,84,Whee Kim,57,13.62,29,213
80,T80,109,J.J. Spaun,68,13.62,35,257
81,T80,85,Nick Watney,67,13.62,35,257
82,83,T57,D.J. Trahan,33,13.6,17,125
83,T84,99,Brice Garnett,63,13.58,33,243
84,T84,88,Chez Reavie,67,13.58,33,243
85,86,T105,Dustin Johnson,47,13.56,24,177
86,T87,T89,Chesson Hadley,58,13.54,31,229
87,T87,T89,Satoshi Kodaira,51,13.54,26,192
88,T89,92,Tyrrell Hatton,46,13.53,23,170
