,Par_5_Eagle_Leaders_RANK THIS WEEK,Par_5_Eagle_Leaders_RANK LAST WEEK,Par_5_Eagle_Leaders_PLAYER NAME,Par_5_Eagle_Leaders_ROUNDS,Par_5_Eagle_Leaders_TOTAL,Par_5_Eagle_Leaders_TOTAL PAR 5 HOLES,Par_5_Eagle_Leaders_TOTAL HOLE OUTS
0,1,1,Sam Burns,66,11,208,1.0
1,T2,T2,Emiliano Grillo,65,10,204,1.0
2,T2,T5,Rory McIlroy,50,10,156,
3,T2,T2,Keith Mitchell,64,10,202,
4,T2,T2,J.T. Poston,76,10,236,3.0
5,T2,T5,Justin Thomas,49,10,148,3.0
6,7,T5,Max Homa,61,9,190,3.0
7,T8,T8,Paul Casey,51,8,162,
8,T8,T8,Harris English,72,8,226,2.0
9,T8,T8,Tony Finau,61,8,186,1.0
10,T8,T8,Dylan Frittelli,55,8,176,2.0
11,T8,T8,Cody Gribble,52,8,154,3.0
12,T8,T34,Sungjae Im,88,8,277,1.0
13,T8,T8,Sung Kang,67,8,216,2.0
14,T8,T8,Brooks Koepka,49,8,136,3.0
15,T8,T8,Marc Leishman,52,8,168,
16,T8,T8,Luke List,52,8,162,4.0
17,T8,T8,Kevin Na,54,8,162,
18,T8,T8,Carlos Ortiz,60,8,192,2.0
19,T8,T8,Scott Piercy,70,8,212,2.0
20,T8,T8,Adam Schenk,80,8,262,3.0
21,T22,T21,Keegan Bradley,65,7,194,1.0
22,T22,T21,Cameron Champ,58,7,178,1.0
23,T22,T21,Branden Grace,62,7,186,2.0
24,T22,T34,Adam Hadwin,66,7,204,3.0
25,T22,T21,James Hahn,34,7,120,1.0
26,T22,T21,Zach Johnson,50,7,150,2.0
27,T22,T34,Martin Laird,60,7,186,3.0
28,T22,T21,Adam Long,52,7,172,3.0
29,T22,T34,Joaquin Niemann,68,7,212,1.0
30,T22,T21,Seamus Power,58,7,177,3.0
31,T22,T21,Jon Rahm,51,7,156,1.0
32,T22,T21,Sam Ryder,52,7,186,2.0
33,T22,T21,Xander Schauffele,55,7,180,1.0
34,T22,T21,Hudson Swafford,59,7,182,3.0
35,T22,T21,Jhonattan Vegas,60,7,194,1.0
36,T22,T21,Gary Woodland,63,7,199,
37,T38,T34,Joel Dahmen,78,6,246,2.0
38,T38,T34,Tommy Fleetwood,43,6,124,1.0
39,T38,T34,Rickie Fowler,54,6,176,2.0
40,T38,T34,Matt Jones,67,6,214,1.0
41,T38,T34,Chris Kirk,47,6,152,2.0
42,T38,T34,Troy Merritt,42,6,126,2.0
43,T38,T34,Sebastián Muñoz,58,6,182,2.0
44,T38,T34,Trey Mullinax,67,6,202,1.0
45,T38,T34,Pat Perez,52,6,170,
46,T38,T34,Seth Reeves,52,6,166,2.0
47,T38,T34,Patrick Rodgers,44,6,146,
48,T38,T34,Scott Stallings,63,6,210,3.0
49,T38,T34,Kyle Stanley,53,6,164,1.0
50,T38,T34,Adam Svensson,51,6,166,1.0
51,T38,T34,Michael Thompson,56,6,184,3.0
52,T38,T53,Bubba Watson,47,6,132,1.0
53,T54,T76,Sangmoon Bae,42,5,132,
54,T54,T53,Ryan Blaum,67,5,210,2.0
55,T54,T76,Scott Brown,66,5,196,2.0
56,T54,T53,Rafa Cabrera Bello,57,5,192,
57,T54,T53,Bud Cauley,61,5,200,
58,T54,T53,Matthew Fitzpatrick,42,5,132,2.0
59,T54,T53,Brian Gay,79,5,236,1.0
60,T54,T53,Fabián Gómez,44,5,150,
61,T54,T53,Charley Hoffman,58,5,188,
62,T54,T53,Billy Horschel,73,5,224,
63,T54,T53,Charles Howell III,64,5,207,
64,T54,T53,Mackenzie Hughes,58,5,172,2.0
65,T54,T53,Matt Kuchar,65,5,184,
66,T54,T53,Scott Langley,60,5,186,2.0
67,T54,T53,Ryan Moore,54,5,192,1.0
68,T54,T53,Grayson Murray,36,5,127,
69,T54,T53,Alex Prugh,54,5,169,2.0
70,T54,T53,Chez Reavie,67,5,198,
71,T54,T53,Patrick Reed,53,5,168,1.0
72,T54,T76,Wes Roach,45,5,143,1.0
73,T54,T53,Justin Rose,42,5,132,
74,T54,T53,Roger Sloan,62,5,199,2.0
75,T54,T53,Chris Stroud,54,5,171,3.0
76,T54,T53,Vaughn Taylor,69,5,222,1.0
77,T54,999,Tyrone Van Aswegen,30,5,102,2.0
78,T54,T53,Richy Werenski,63,5,200,3.0
79,T80,T76,Abraham Ancer,69,4,208,1.0
80,T80,T76,Lucas Bjerregaard,37,4,94,
81,T80,T76,Jonathan Byrd,43,4,142,1.0
82,T80,T105,Wyndham Clark,61,4,196,
83,T80,T76,Jason Dufner,56,4,174,2.0
84,T80,T76,Tyler Duncan,66,4,210,2.0
85,T80,T76,Julián Etulain,55,4,174,1.0
86,T80,T76,Matt Every,38,4,112,2.0
87,T80,T76,Brice Garnett,63,4,200,
88,T80,T76,Lucas Glover,62,4,198,3.0
89,T80,T76,Bill Haas,58,4,175,
90,T80,T76,Brandon Harkins,67,4,208,1.0
91,T80,T76,Brian Harman,67,4,206,1.0
92,T80,T105,Kramer Hickok,59,4,194,3.0
93,T80,T105,Tom Hoge,70,4,218,
94,T80,T76,Freddie Jacobson,37,4,114,1.0
95,T80,T76,Stephan Jaeger,59,4,178,
96,T80,T76,Russell Knox,65,4,190,1.0
97,T80,T76,Kelly Kraft,67,4,202,1.0
98,T80,T76,Hunter Mahan,45,4,160,2.0
99,T80,T76,Graeme McDowell,61,4,182,1.0
100,T80,T76,C.T. Pan,64,4,210,2.0
101,T80,T76,Rory Sabbatini,71,4,224,
102,T80,T76,Ollie Schniederjans,63,4,201,2.0
103,T80,T76,Adam Scott,41,4,136,
104,T80,T179,Ben Silverman,54,4,174,1.0
105,T80,T76,Webb Simpson,53,4,150,
106,T80,T105,Nick Taylor,70,4,218,
107,T80,T76,Nick Watney,67,4,210,1.0
108,T80,T76,Tiger Woods,31,4,92,
109,T110,T105,Anders Albertson,48,3,154,
110,T110,T105,Byeong Hun An,54,3,171,1.0
111,T110,T105,Dominic Bozzelli,53,3,162,1.0
112,T110,T105,Patrick Cantlay,49,3,152,
113,T110,T105,Roberto Castro,54,3,166,1.0
114,T110,T105,John Chin,38,3,134,1.0
115,T110,T105,Stewart Cink,33,3,110,1.0
116,T110,T105,Corey Conners,62,3,192,1.0
117,T110,T105,Cameron Davis,54,3,176,1.0
118,T110,T105,Jason Day,45,3,148,
119,T110,T105,Bryson DeChambeau,45,3,138,3.0
120,T110,T105,Joey Garber,44,3,134,1.0
121,T110,T105,Talor Gooch,37,3,116,1.0
122,T110,T105,Chesson Hadley,58,3,190,
123,T110,T105,Justin Harding,31,3,82,
124,T110,T105,Russell Henley,56,3,164,2.0
125,T110,T105,Beau Hossler,66,3,224,
126,T110,T105,Si Woo Kim,65,3,212,
127,T110,T105,Patton Kizzire,58,3,184,
128,T110,T105,Jim Knous,55,3,172,1.0
129,T110,T105,Jason Kokrak,68,3,220,
130,T110,T144,Hank Lebioda,55,3,168,2.0
131,T110,T105,Danny Lee,66,3,196,1.0
132,T110,T105,Kyoung-Hoon Lee,72,3,229,2.0
133,T110,T105,Denny McCarthy,63,3,194,
134,T110,T105,Alex Noren,49,3,148,
135,T110,T105,Ian Poulter,49,3,140,2.0
136,T110,T105,Brady Schnell,38,3,130,2.0
137,T110,T105,John Senden,39,3,136,
138,T110,T105,Cameron Smith,55,3,166,
139,T110,T144,Brandt Snedeker,68,3,220,1.0
140,T110,T105,Jordan Spieth,57,3,174,2.0
141,T110,T105,Brendan Steele,50,3,174,
142,T110,T105,Martin Trainer,51,3,177,
143,T110,T144,Peter Uihlein,65,3,211,
144,T110,T105,Johnson Wagner,45,3,144,
145,T110,T105,Jimmy Walker,61,3,194,1.0
146,T110,T105,Matt Wallace,31,3,90,1.0
147,T148,T144,Kiradech Aphibarnrat,49,2,154,
148,T148,T144,Aaron Baddeley,51,2,182,
149,T148,T144,Jonas Blixt,66,2,206,
150,T148,T144,Bronson Burgoon,37,2,120,
151,T148,T144,Austin Cook,50,2,152,2.0
152,T148,T144,Ernie Els,43,2,136,
153,T148,T144,Sergio Garcia,39,2,92,
154,T148,T144,Tyrrell Hatton,46,2,142,
155,T148,T144,John Huh,35,2,116,1.0
156,T148,T144,Kyle Jones,49,2,156,
157,T148,T144,Michael Kim,51,2,172,1.0
158,T148,T144,Kevin Kisner,65,2,180,1.0
159,T148,T144,Satoshi Kodaira,51,2,162,
160,T148,T144,Nate Lashley,44,2,142,1.0
161,T148,T144,Haotong Li,32,2,100,
162,T148,T144,Hideki Matsuyama,59,2,188,1.0
163,T148,T144,Phil Mickelson,41,2,132,
164,T148,T144,Louis Oosthuizen,43,2,130,2.0
165,T148,T144,José de Jesús Rodríguez,51,2,170,2.0
166,T148,T144,Sam Saunders,53,2,177,1.0
167,T148,T144,Charl Schwartzel,34,2,115,
168,T148,T144,Shawn Stefani,57,2,178,
169,T148,T144,Sepp Straka,48,2,160,
170,T148,T144,Robert Streb,60,2,188,1.0
171,T148,T144,Kevin Streelman,63,2,208,
172,T148,T144,Brian Stuard,76,2,242,
173,T148,T144,Josh Teater,47,2,148,
174,T148,T144,Cameron Tringale,52,2,168,
175,T148,T144,Kevin Tway,62,2,188,
176,T148,T144,Harold Varner III,62,2,192,1.0
177,T148,T144,Aaron Wise,52,2,162,
178,T148,T144,Chase Wright,53,2,161,1.0
179,T180,T179,Ryan Armour,66,1,216,
180,T180,T179,Daniel Berger,48,1,146,
181,T180,T179,Alex Cejka,41,1,130,
182,T180,T179,Ben Crane,41,1,133,1.0
183,T180,T179,Roberto Díaz,51,1,162,
184,T180,T179,Jim Furyk,53,1,150,
185,T180,T179,David Hearn,41,1,126,
186,T180,,J.J. Henry,42,1,124,
187,T180,,Jim Herman,37,1,120,
188,T180,T179,J.B. Holmes,54,1,167,
189,T180,T179,Dustin Johnson,47,1,148,
190,T180,T179,Martin Kaymer,38,1,124,
191,T180,T179,Whee Kim,57,1,177,
192,T180,T179,Anirban Lahiri,54,1,162,
193,T180,T179,Andrew Landry,56,1,178,
194,T180,,Shane Lowry,30,1,76,
195,T180,T179,Curtis Luck,51,1,166,
196,T180,T179,Peter Malnati,64,1,191,1.0
197,T180,T179,Ryan Palmer,56,1,164,
198,T180,999,Martin Piller,30,1,106,
199,T180,T179,"Ted Potter, Jr.",56,1,182,
200,T180,T179,Andrew Putnam,57,1,178,
201,T180,T179,Henrik Stenson,46,1,124,
202,T180,T179,Chris Thompson,34,1,118,1.0
203,T180,T179,D.J. Trahan,33,1,110,
204,T180,T179,Danny Willett,47,1,160,
