,Par_5_Performance_RANK THIS WEEK,Par_5_Performance_RANK LAST WEEK,Par_5_Performance_PLAYER NAME,Par_5_Performance_ROUNDS,Par_5_Performance_STATUS,Par_5_Performance_PAR 5 AVG,Par_5_Performance_TOTAL PAR
0,1,1,Sungjae Im,88,-135,4.51,1385
1,2,2,Gary Woodland,63,-108,4.46,995
2,T3,T3,Matt Jones,67,-102,4.52,1070
3,T3,T3,Si Woo Kim,65,-102,4.52,1060
4,T5,T8,Adam Hadwin,66,-101,4.5,1020
5,T5,5,Sung Kang,67,-101,4.53,1080
6,T7,T11,Matt Kuchar,65,-99,4.46,920
7,T7,T6,Adam Schenk,80,-99,4.62,1310
8,9,T6,Rory Sabbatini,71,-98,4.56,1120
9,T10,T11,Wyndham Clark,61,-96,4.51,980
10,T10,T8,Joel Dahmen,78,-96,4.61,1230
11,T10,T14,Harris English,72,-96,4.58,1130
12,T10,10,Nick Watney,67,-96,4.54,1050
13,T14,T14,Bud Cauley,61,-93,4.54,1000
14,T14,T11,Emiliano Grillo,65,-93,4.54,1020
15,T16,T14,Sam Burns,66,-92,4.56,1040
16,T16,T24,Brian Gay,79,-92,4.61,1180
17,T16,18,Trey Mullinax,67,-92,4.54,1010
18,T16,T26,Justin Thomas,49,-92,4.38,740
19,20,17,J.T. Poston,76,-91,4.61,1180
20,T21,T21,Denny McCarthy,63,-89,4.54,970
21,T21,T19,Keith Mitchell,64,-89,4.56,1010
22,T21,T19,Xander Schauffele,55,-89,4.51,900
23,T24,T21,Tony Finau,61,-88,4.53,930
24,T24,T21,Jhonattan Vegas,60,-88,4.55,970
25,T26,T24,Hideki Matsuyama,59,-87,4.54,940
26,T26,30,Scott Piercy,70,-87,4.59,1060
27,T26,29,Brandt Snedeker,68,-87,4.6,1100
28,T26,T31,J.J. Spaun,68,-87,4.59,1060
29,T26,T33,Nick Taylor,70,-87,4.6,1090
30,T31,T26,Charles Howell III,64,-86,4.58,1035
31,T31,T26,Sam Ryder,52,-86,4.54,930
32,33,T31,Paul Casey,51,-82,4.49,810
33,T34,T33,Scott Stallings,63,-81,4.61,1050
34,T34,T39,Kevin Tway,62,-81,4.57,940
35,T36,T33,Max Homa,61,-80,4.58,950
36,T36,T33,Luke List,52,-80,4.51,810
37,T36,T33,Hudson Swafford,59,-80,4.56,910
38,T39,49,Dylan Frittelli,55,-79,4.55,880
39,T39,T39,Bill Haas,58,-79,4.55,875
40,T39,38,Ryan Moore,54,-79,4.59,960
41,T42,T39,Abraham Ancer,69,-78,4.63,1040
42,T42,T39,Cameron Champ,58,-78,4.56,890
43,T42,T39,Carlos Ortiz,60,-78,4.59,960
44,T42,T39,C.T. Pan,64,-78,4.63,1050
45,T46,T45,Ryan Blaum,67,-77,4.63,1050
46,T46,T56,Kramer Hickok,59,-77,4.6,970
47,T46,T45,Marc Leishman,52,-77,4.54,840
48,T46,T56,Sebastián Muñoz,58,-77,4.58,910
49,T46,T45,Seth Reeves,52,-77,4.54,830
50,T46,T45,Adam Scott,41,-77,4.43,680
51,52,T50,Ollie Schniederjans,63,-76,4.62,1005
52,T53,T50,Patrick Cantlay,49,-75,4.51,760
53,T53,T50,Bryson DeChambeau,45,-75,4.46,690
54,T53,T56,Brandon Harkins,67,-75,4.64,1040
55,T53,T62,Stephan Jaeger,59,-75,4.58,890
56,T53,T71,Hank Lebioda,55,-75,4.55,840
57,T58,T64,Brooks Koepka,49,-74,4.46,680
58,T58,T74,Rory McIlroy,50,-74,4.53,780
59,T58,T53,Chez Reavie,67,-74,4.63,990
60,T58,T53,Vaughn Taylor,69,-74,4.67,1110
61,T62,T64,Keegan Bradley,65,-73,4.62,970
62,T62,55,Beau Hossler,66,-73,4.67,1120
63,T62,T64,Roger Sloan,62,-73,4.63,995
64,T65,T56,Rickie Fowler,54,-72,4.59,880
65,T65,T56,Lucas Glover,62,-72,4.64,990
66,T65,T68,Cody Gribble,52,-72,4.53,770
67,T65,T74,Dustin Johnson,47,-72,4.51,740
68,T65,T56,Jon Rahm,51,-72,4.54,780
69,T65,T85,Bubba Watson,47,-72,4.45,660
70,T71,T62,Kevin Streelman,63,-71,4.66,1040
71,T71,T71,Richy Werenski,63,-71,4.65,1000
72,T73,T74,Scott Brown,66,-70,4.64,980
73,T73,T64,Rafa Cabrera Bello,57,-70,4.64,960
74,T73,T81,Martin Laird,60,-70,4.62,930
75,T76,T68,Russell Knox,65,-69,4.64,950
76,T76,T68,Kyoung-Hoon Lee,72,-69,4.7,1145
77,T78,T85,Julián Etulain,55,-68,4.61,870
78,T78,T71,Ian Poulter,49,-68,4.51,700
79,T80,T85,Cameron Davis,54,-67,4.62,880
80,T80,T74,Branden Grace,62,-67,4.64,930
