,Par_5_Scoring_Average_RANK THIS WEEK,Par_5_Scoring_Average_RANK LAST WEEK,Par_5_Scoring_Average_PLAYER NAME,Par_5_Scoring_Average_ROUNDS,Par_5_Scoring_Average_AVG,Par_5_Scoring_Average_TOTAL STROKES,Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Justin Thomas,49,4.38,648,148
1,2,2,Adam Scott,41,4.43,603,136
2,3,T7,Bubba Watson,47,4.45,588,132
3,T4,T4,Bryson DeChambeau,45,4.46,615,138
4,T4,3,Brooks Koepka,49,4.46,606,136
5,T4,6,Matt Kuchar,65,4.46,821,184
6,T4,T4,Gary Woodland,63,4.46,887,199
7,8,T7,Martin Kaymer,38,4.48,556,124
8,T9,T9,Paul Casey,51,4.49,728,162
9,T9,T9,Troy Merritt,42,4.49,566,126
10,11,T11,Adam Hadwin,66,4.5,919,204
11,T12,T11,Patrick Cantlay,49,4.51,685,152
12,T12,T18,Wyndham Clark,61,4.51,884,196
13,T12,T11,Sergio Garcia,39,4.51,415,92
14,T12,T23,Sungjae Im,88,4.51,1250,277
15,T12,T18,Dustin Johnson,47,4.51,668,148
16,T12,T11,Luke List,52,4.51,730,162
17,T12,T11,Ian Poulter,49,4.51,632,140
18,T12,T11,Xander Schauffele,55,4.51,811,180
19,T20,T18,Matt Jones,67,4.52,968,214
20,T20,T18,Si Woo Kim,65,4.52,958,212
21,T22,T23,Tony Finau,61,4.53,842,186
22,T22,T23,Cody Gribble,52,4.53,698,154
23,T22,T23,Sung Kang,67,4.53,979,216
24,T22,T38,Rory McIlroy,50,4.53,706,156
25,T26,T23,Bud Cauley,61,4.54,907,200
26,T26,T29,Emiliano Grillo,65,4.54,927,204
27,T26,T29,Marc Leishman,52,4.54,763,168
28,T26,T29,Hideki Matsuyama,59,4.54,853,188
29,T26,T29,Denny McCarthy,63,4.54,881,194
30,T26,T38,Trey Mullinax,67,4.54,918,202
31,T26,T29,Jon Rahm,51,4.54,708,156
