,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Webb Simpson,53,6.77,13,192
1,2,4,Scott Piercy,70,9.3,24,258
2,3,6,Rory McIlroy,50,9.31,19,204
3,4,5,Lucas Glover,62,9.48,20,211
4,5,3,J.J. Spaun,68,10.17,24,236
5,6,9,Chris Thompson,34,10.31,10,97
6,7,22,Matt Kuchar,65,11.2,27,241
7,8,21,Scott Langley,60,11.22,22,196
8,9,7,Ryan Armour,66,11.31,25,221
9,10,10,Russell Knox,65,11.33,23,203
10,11,14,Andrew Landry,56,11.63,20,172
11,12,15,James Hahn,34,11.76,14,119
12,T13,12,Jim Furyk,53,11.88,19,160
13,T13,T16,Adam Long,52,11.88,19,160
14,15,11,Justin Thomas,49,11.96,25,209
15,16,18,Phil Mickelson,41,12.0,18,150
16,17,13,Dustin Johnson,47,12.02,22,183
17,18,24,Paul Casey,51,12.22,22,180
18,19,32,Jonathan Byrd,43,12.23,17,139
19,20,19,Trey Mullinax,67,12.28,28,228
20,21,25,Tommy Fleetwood,43,12.3,15,122
21,22,23,Kramer Hickok,59,12.32,25,203
22,23,20,Nate Lashley,44,12.42,19,153
23,24,8,Cameron Tringale,52,12.43,22,177
24,T25,29,Bud Cauley,61,12.5,30,240
25,T25,26,Brice Garnett,63,12.5,26,208
26,T25,36,Talor Gooch,37,12.5,18,144
27,28,41,Jonas Blixt,66,12.55,30,239
28,29,27,Stewart Cink,33,12.61,15,119
29,30,T16,Harold Varner III,62,12.62,27,214
30,31,999,Shane Lowry,30,12.64,11,87
31,32,30,Michael Thompson,56,12.81,26,203
32,33,31,Adam Scott,41,12.82,20,156
33,T34,39,Wyndham Clark,61,12.99,30,231
34,T34,33,Troy Merritt,42,12.99,20,154
35,36,34,Aaron Baddeley,51,13.02,25,192
36,T37,68,Alex Noren,49,13.19,19,144
37,T37,42,Shawn Stefani,57,13.19,24,182
38,39,38,Abraham Ancer,69,13.22,32,242
39,40,58,Ben Silverman,54,13.41,24,179
40,41,43,Sungjae Im,88,13.43,45,335
41,42,59,Peter Malnati,64,13.49,29,215
42,43,T52,Alex Prugh,54,13.5,22,163
43,44,28,D.J. Trahan,33,13.56,16,118
44,45,44,Anirban Lahiri,54,13.61,23,169
45,46,45,Kevin Streelman,63,13.62,29,213
46,47,47,Tiger Woods,31,13.68,16,117
47,48,48,Emiliano Grillo,65,13.73,32,233
48,49,49,Marc Leishman,52,13.76,26,189
49,50,T50,Sam Ryder,52,13.79,28,203
50,51,T52,Rickie Fowler,54,13.84,31,224
51,52,46,Kevin Tway,62,13.85,27,195
52,53,70,Roberto Castro,54,13.86,23,166
53,54,55,Peter Uihlein,65,13.9,31,223
54,55,57,Max Homa,61,13.92,27,194
55,56,37,Henrik Stenson,46,13.93,17,122
56,57,40,Dominic Bozzelli,53,14.0,28,200
57,58,T50,Brady Schnell,38,14.05,17,121
58,59,63,Ryan Palmer,56,14.08,30,213
59,60,T61,C.T. Pan,64,14.09,31,220
60,T61,79,Alex Cejka,41,14.16,16,113
61,T61,64,Hideki Matsuyama,59,14.16,32,226
62,T63,T66,Patrick Cantlay,49,14.21,27,190
