,Round_4_Scoring_Average_RANK THIS WEEK,Round_4_Scoring_Average_RANK LAST WEEK,Round_4_Scoring_Average_PLAYER NAME,Round_4_Scoring_Average_AVG,Round_4_Scoring_Average_TOTAL STROKES,Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Talor Gooch,67.5,405,6
1,2,2,Ryan Palmer,67.7,677,10
2,3,3,Anders Albertson,68.2,341,5
3,4,4,Justin Thomas,68.36,752,11
4,5,6,Jim Herman,68.5,137,2
5,6,7,Gary Woodland,68.54,891,13
6,7,8,Webb Simpson,68.58,823,12
7,8,5,Brooks Koepka,68.6,686,10
8,9,9,Patrick Rodgers,68.86,482,7
9,10,10,Bryson DeChambeau,68.89,620,9
10,11,11,Patrick Cantlay,68.9,689,10
11,12,12,Ryan Moore,68.91,758,11
12,13,13,Charles Howell III,68.92,896,13
13,T14,T14,Si Woo Kim,69.0,828,12
14,T14,T14,Troy Merritt,69.0,552,8
15,T14,T14,Xander Schauffele,69.0,828,12
16,T14,T14,Tiger Woods,69.0,414,6
17,18,18,Brice Garnett,69.1,691,10
18,19,19,Jason Day,69.11,622,9
19,20,20,Matt Every,69.17,415,6
20,21,21,Ryan Armour,69.18,761,11
21,22,22,Brady Schnell,69.25,277,4
22,23,T28,Rod Pampling,69.33,208,3
23,24,23,Marc Leishman,69.36,763,11
24,25,T36,Sungjae Im,69.38,1110,16
25,T26,T24,Denny McCarthy,69.4,694,10
26,T26,T46,Sebastián Muñoz,69.4,694,10
27,28,26,Hudson Swafford,69.44,625,9
28,T29,27,Byeong Hun An,69.45,764,11
29,T29,T74,Rory McIlroy,69.45,764,11
30,T31,T28,Kyle Stanley,69.5,556,8
31,T31,T28,Chase Wright,69.5,417,6
32,33,31,Sung Kang,69.54,904,13
33,34,32,Brian Stuard,69.6,1044,15
34,T35,T33,Sergio Garcia,69.67,418,6
35,T35,T33,Hunter Mahan,69.67,418,6
36,T35,T33,Seamus Power,69.67,418,6
37,T38,T36,Max Homa,69.73,767,11
38,T38,T36,Scott Piercy,69.73,1046,15
39,40,T71,Stephan Jaeger,69.75,558,8
40,41,39,Rafa Cabrera Bello,69.77,907,13
41,42,40,Corey Conners,69.78,628,9
42,T43,41,Paul Casey,69.8,698,10
43,T43,T64,Cameron Tringale,69.8,698,10
44,T45,T42,Sam Burns,69.82,768,11
45,T45,T42,Bud Cauley,69.82,768,11
46,47,T24,D.J. Trahan,69.83,419,6
47,48,45,Andrew Putnam,69.91,769,11
48,T49,44,Jim Furyk,70.0,700,10
49,T49,T46,Lucas Glover,70.0,910,13
50,T49,T46,David Hearn,70.0,280,4
51,T49,T54,Dustin Johnson,70.0,770,11
52,T49,T46,Adam Long,70.0,420,6
53,T49,T46,Jon Rahm,70.0,700,10
54,T49,T46,Aaron Wise,70.0,630,9
55,56,T68,Jimmy Walker,70.08,911,13
56,57,53,Kevin Streelman,70.09,771,11
57,58,T54,Kevin Na,70.1,701,10
58,59,T56,Kiradech Aphibarnrat,70.11,631,9
59,60,84,José de Jesús Rodríguez,70.13,561,8
60,61,58,Matt Kuchar,70.14,982,14
61,T62,T59,Haotong Li,70.17,421,6
62,T62,T59,Trey Mullinax,70.17,842,12
63,T64,62,Sam Ryder,70.18,772,11
64,T64,T98,Kevin Tway,70.18,772,11
65,T66,63,Cameron Champ,70.2,702,10
66,T66,T64,Tyler Duncan,70.2,702,10
67,T68,T64,Cameron Davis,70.22,632,9
68,T68,T64,Carlos Ortiz,70.22,632,9
69,T70,T68,Ernie Els,70.25,562,8
70,T70,999,Shane Lowry,70.25,281,4
71,T70,T68,Charl Schwartzel,70.25,281,4
72,73,T74,Dylan Frittelli,70.27,773,11
73,T74,T71,Hideki Matsuyama,70.29,984,14
74,T74,T71,Phil Mickelson,70.29,492,7
75,T76,T56,Scott Brown,70.3,703,10
76,T76,T74,Patton Kizzire,70.3,703,10
77,T76,T106,Hank Lebioda,70.3,703,10
78,79,77,Billy Horschel,70.31,1125,16
79,T80,T78,Austin Cook,70.33,422,6
80,T80,T78,Rory Sabbatini,70.33,1055,15
81,T82,T59,Jonas Blixt,70.38,915,13
82,T82,T81,Chez Reavie,70.38,915,13
83,T82,T81,Johnson Wagner,70.38,563,8
84,85,T102,Dominic Bozzelli,70.44,634,9
85,T86,T94,Jonathan Byrd,70.5,564,8
86,T86,T85,Chesson Hadley,70.5,564,8
87,T86,T85,James Hahn,70.5,423,6
88,T86,T85,Russell Henley,70.5,564,8
89,T86,T85,Chris Kirk,70.5,423,6
90,T86,T85,Jason Kokrak,70.5,1128,16
91,T86,T85,Anirban Lahiri,70.5,564,8
92,T86,T85,Keith Mitchell,70.5,846,12
93,94,92,Wyndham Clark,70.55,776,11
94,95,93,Nate Lashley,70.56,635,9
95,96,T94,Abraham Ancer,70.57,988,14
96,97,T78,Scott Langley,70.6,706,10
97,T98,T100,Rickie Fowler,70.62,918,13
98,T98,T100,Russell Knox,70.62,918,13
99,T98,T123,Graeme McDowell,70.62,918,13
100,T101,T94,Jim Knous,70.63,565,8
101,T101,T102,Adam Scott,70.63,565,8
102,T101,T102,Shawn Stefani,70.63,565,8
103,T101,T94,Robert Streb,70.63,565,8
104,105,83,Brian Harman,70.64,777,11
105,T106,T106,Andrew Landry,70.67,636,9
106,T106,T106,Jhonattan Vegas,70.67,848,12
107,T106,T102,Bubba Watson,70.67,636,9
108,109,110,Matt Jones,70.69,919,13
109,110,T129,Zach Johnson,70.7,707,10
110,111,111,Adam Svensson,70.71,495,7
111,T112,125,Brandt Snedeker,70.73,1061,15
112,T112,T98,Peter Uihlein,70.73,778,11
113,T112,141,Harold Varner III,70.73,778,11
114,T115,T112,Stewart Cink,70.75,283,4
115,T115,T112,J.J. Henry,70.75,283,4
116,T115,T112,Kevin Kisner,70.75,849,12
117,T115,T106,Adam Schenk,70.75,1132,16
118,T115,T112,Nick Watney,70.75,849,12
119,T115,T152,Danny Willett,70.75,566,8
120,121,117,C.T. Pan,70.77,920,13
121,122,118,Luke List,70.78,637,9
122,T123,T119,Kramer Hickok,70.8,708,10
123,T123,T119,Richy Werenski,70.8,708,10
124,125,T119,Brian Gay,70.81,1133,16
125,126,122,Michael Thompson,70.82,779,11
126,127,T129,Danny Lee,70.85,921,13
127,T128,126,Justin Rose,70.89,638,9
128,T128,143,Ben Silverman,70.89,638,9
129,T128,T129,Henrik Stenson,70.89,638,9
130,131,T127,Aaron Baddeley,70.9,709,10
131,T132,139,Harris English,70.93,1064,15
132,T132,T129,Adam Hadwin,70.93,993,14
133,T134,T187,Sangmoon Bae,71.0,284,4
134,T134,186,Joey Garber,71.0,355,5
135,T134,T129,Justin Harding,71.0,355,5
136,T134,T129,J.B. Holmes,71.0,497,7
137,T134,T129,Kyle Jones,71.0,284,4
138,T134,T127,Peter Malnati,71.0,781,11
139,T134,999,Martin Piller,71.0,284,4
140,T134,T129,Brendan Steele,71.0,568,8
141,T134,999,Tyrone Van Aswegen,71.0,213,3
142,143,138,Joel Dahmen,71.06,1137,16
143,T144,T146,Joaquin Niemann,71.08,924,13
144,T144,140,Vaughn Taylor,71.08,853,12
145,146,142,Tyrrell Hatton,71.11,640,9
146,T147,T144,Fabián Gómez,71.14,498,7
147,T147,T144,Chris Stroud,71.14,498,7
148,149,T146,Keegan Bradley,71.15,925,13
149,150,T146,Matt Wallace,71.17,427,6
150,T151,149,Ollie Schniederjans,71.2,712,10
151,T151,T129,Roger Sloan,71.2,712,10
152,T153,T150,Ryan Blaum,71.27,784,11
153,T153,T150,Emiliano Grillo,71.27,1069,15
154,T155,T152,Jason Dufner,71.29,499,7
155,T155,T152,Alex Prugh,71.29,499,7
156,T155,T152,Seth Reeves,71.29,499,7
157,T155,183,Wes Roach,71.29,499,7
158,159,156,Tony Finau,71.31,927,13
159,T160,T112,Kelly Kraft,71.33,642,9
160,T160,157,D.A. Points,71.33,214,3
161,162,158,Cameron Smith,71.36,785,11
162,T163,165,Mackenzie Hughes,71.38,571,8
163,T163,T159,Francesco Molinari,71.38,571,8
164,T163,T159,Sam Saunders,71.38,571,8
165,T163,164,J.J. Spaun,71.38,928,13
166,167,T161,Julián Etulain,71.4,714,10
167,T168,T166,Charley Hoffman,71.44,643,9
168,T168,T166,Tom Hoge,71.44,643,9
169,170,T161,Ben Crane,71.5,429,6
170,171,168,"Ted Potter, Jr.",71.56,644,9
171,T172,169,Curtis Luck,71.57,501,7
172,T172,T123,Sepp Straka,71.57,501,7
173,174,170,Whee Kim,71.67,430,6
174,175,171,J.T. Poston,71.73,1076,15
175,176,198,Chris Thompson,71.75,287,4
176,177,T181,Daniel Berger,71.8,718,10
177,178,172,Brandon Harkins,71.82,790,11
178,T179,T173,Lucas Bjerregaard,71.83,431,6
179,T179,T173,Beau Hossler,71.83,862,12
180,T179,T161,Josh Teater,71.83,431,6
181,T179,T173,Martin Trainer,71.83,431,6
182,183,176,Nick Taylor,71.86,1006,14
183,T184,T178,Alex Noren,71.9,719,10
184,T184,177,Ian Poulter,71.9,719,10
185,T186,T178,Roberto Díaz,72.0,576,8
186,T186,T178,Bill Haas,72.0,720,10
187,T188,T181,Roberto Castro,72.1,721,10
188,T188,194,Martin Laird,72.1,721,10
189,T190,T184,Branden Grace,72.18,794,11
190,T190,T184,Patrick Reed,72.18,794,11
191,192,T187,Kyoung-Hoon Lee,72.33,868,12
192,193,189,Pat Perez,72.4,724,10
193,T194,T190,Matthew Fitzpatrick,72.44,652,9
194,T194,T190,Tommy Fleetwood,72.44,652,9
195,T196,T192,Bronson Burgoon,72.5,290,4
196,T196,T192,John Chin,72.5,290,4
197,T198,T195,John Senden,72.6,363,5
198,T198,T195,Scott Stallings,72.6,726,10
199,200,197,Louis Oosthuizen,72.63,581,8
200,201,199,Alex Cejka,72.75,291,4
201,202,200,Grayson Murray,72.8,364,5
202,203,201,Jordan Spieth,72.83,874,12
203,204,202,Satoshi Kodaira,72.89,656,9
204,205,206,Cody Gribble,73.0,511,7
205,206,203,Martin Kaymer,73.25,586,8
206,T207,T204,Freddie Jacobson,73.5,294,4
207,T207,T204,Michael Kim,73.5,294,4
208,209,207,John Huh,74.25,297,4
