,SG_Total_RANK THIS WEEK,SG_Total_RANK LAST WEEK,SG_Total_PLAYER NAME,SG_Total_ROUNDS,SG_Total_AVERAGE,SG_Total_TOTAL SG:T,SG_Total_TOTAL SG:T2G,SG_Total_TOTAL SG:P,SG_Total_MEASURED ROUNDS
0,1,2,Rory McIlroy,50,2.737,101.27799999999999,88.11200000000001,13.165,37
1,2,1,Dustin Johnson,47,2.4290000000000003,82.572,60.465,22.107,34
2,3,3,Patrick Cantlay,49,2.2840000000000003,75.377,61.31,14.067,33
3,4,4,Adam Scott,41,2.061,49.468,36.71,12.758,24
4,5,5,Justin Thomas,49,1.69,57.453,59.996,-2.54,34
5,6,6,Hideki Matsuyama,59,1.662,71.457,76.919,-5.4639999999999995,43
6,7,7,Tiger Woods,31,1.618,33.985,30.684,3.299,21
7,8,8,Tommy Fleetwood,43,1.594,41.45,38.427,3.0210000000000004,26
8,9,12,Matt Kuchar,65,1.558,74.779,57.38399999999999,17.396,48
9,10,9,Justin Rose,42,1.545,44.806999999999995,25.353,19.451,29
10,11,18,Webb Simpson,53,1.474,66.325,51.563,14.761,45
11,12,11,Xander Schauffele,55,1.444,50.53,40.234,10.294,35
12,13,14,Rickie Fowler,54,1.389,62.495,35.093,27.401,45
13,14,10,Brooks Koepka,49,1.358,40.734,39.042,1.692,30
14,15,15,Jason Day,45,1.305,32.623000000000005,15.525,17.096,25
15,16,16,Paul Casey,51,1.296,40.181,48.242,-8.06,31
16,17,17,Lucas Glover,62,1.276,67.64399999999999,55.11600000000001,12.529000000000002,53
17,18,13,Sergio Garcia,39,1.246,34.900999999999996,34.683,0.217,28
18,19,19,Jon Rahm,51,1.2329999999999999,40.687,32.488,8.196,33
19,20,20,Jim Furyk,53,1.199,49.146,39.463,9.684,41
20,21,21,Jason Kokrak,68,1.162,61.592,55.898999999999994,5.692,53
21,22,22,Gary Woodland,63,1.161,49.918,58.99100000000001,-9.074,43
22,23,23,Matt Wallace,31,1.14,25.078000000000003,18.772000000000002,6.305,22
23,24,26,Brandt Snedeker,68,1.136,54.519,21.683000000000003,32.833,48
24,25,24,Bryson DeChambeau,45,1.01,38.368,28.719,9.648,38
25,26,25,Charles Howell III,64,0.986,42.397,31.85,10.546,43
26,27,29,Sungjae Im,88,0.9470000000000001,64.362,54.167,10.193,68
27,28,27,Marc Leishman,52,0.937,32.801,29.64,3.159,35
28,29,28,Ryan Moore,54,0.9329999999999999,40.101,29.557,10.540999999999999,43
29,30,39,Henrik Stenson,46,0.88,29.906999999999996,33.244,-3.3369999999999997,34
30,31,31,Jhonattan Vegas,60,0.79,37.149,40.141999999999996,-2.9939999999999998,47
31,32,32,Rory Sabbatini,71,0.773,41.74,34.631,7.108,54
32,33,33,Matt Jones,67,0.7659999999999999,34.463,27.06,7.402,45
