,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,2,Dustin Johnson,47,69.13,3048,- 6.289,44
1,2,1,Patrick Cantlay,49,69.164,3037,6.212,44
2,3,4,Rory McIlroy,50,69.181,3187,- 4.683,46
3,4,8,Webb Simpson,53,69.475,3465,8.745,50
4,5,3,Brooks Koepka,49,69.532,2917,3.359,42
5,6,7,Matt Kuchar,65,69.539,4007,26.279,58
6,7,11,Justin Thomas,49,69.675,3176,29.067,46
7,8,5,Adam Scott,41,69.686,2724,- 6.244,39
8,9,6,Rickie Fowler,54,69.72,3759,5.877,54
9,10,13,Jim Furyk,53,69.74600000000001,3349,- 1.206,48
10,11,9,Tiger Woods,31,69.756,1813,.643,26
11,12,10,Justin Rose,42,69.76100000000001,2659,- 8.067,38
12,13,12,Sergio Garcia,39,69.875,2109,- 12.762,30
13,14,14,Hideki Matsuyama,59,69.87899999999999,3909,4.249,56
14,15,15,Xander Schauffele,55,69.917,3625,10.683,52
15,16,16,Tommy Fleetwood,43,69.968,2532,- 13.162,36
16,17,17,Lucas Glover,62,69.975,4046,12.571,58
17,18,18,Jason Day,45,70.012,2800,.487,40
18,19,19,Jon Rahm,51,70.01899999999999,3070,10.816,44
19,20,20,Gary Woodland,63,70.068,4174,30.066,60
20,21,21,Tony Finau,61,70.112,3922,4.290,56
21,22,22,Paul Casey,51,70.127,3293,2.951,47
22,23,23,Scott Piercy,70,70.244,4586,50.125,66
23,24,24,Talor Gooch,37,70.267,2584,15.886,37
24,25,43,Henrik Stenson,46,70.342,2681,- 7.995,38
25,26,32,Sungjae Im,88,70.369,5869,42.027,84
26,27,27,Ryan Palmer,56,70.37899999999999,3630,29.694,52
27,28,25,Bryson DeChambeau,45,70.39399999999999,2942,14.546,42
28,29,42,Graeme McDowell,61,70.417,4003,10.779,57
29,30,26,Michael Thompson,56,70.437,3933,11.498,56
30,31,999,Shane Lowry,30,70.485,1775,- 12.865,25
31,32,28,Jordan Spieth,57,70.488,3792,14.340,54
32,33,29,Charles Howell III,64,70.502,4260,40.600,61
33,34,30,Marc Leishman,52,70.507,3359,25.332,48
34,35,31,Chez Reavie,67,70.508,4209,21.453,60
35,36,33,Rory Sabbatini,71,70.528,4690,35.371,67
36,37,56,Adam Hadwin,66,70.53,4365,7.847,62
37,38,34,Jason Kokrak,68,70.541,4496,18.596,64
38,39,T35,Ian Poulter,49,70.544,2957,5.834,42
39,40,T35,Bud Cauley,61,70.56,4275,29.131,61
40,41,37,Emiliano Grillo,65,70.571,4360,15.421,62
41,42,38,Rafa Cabrera Bello,57,70.574,3811,.007,54
42,43,39,Sung Kang,67,70.592,4570,18.498,65
43,44,41,Russell Knox,65,70.59899999999999,4081,13.731,58
44,45,40,Bubba Watson,47,70.611,2819,5.423,40
45,46,54,Daniel Berger,48,70.627,3387,3.077,48
46,47,55,Peter Malnati,64,70.639,4220,18.314,60
47,48,T50,Jonas Blixt,66,70.649,4496,25.557,64
48,49,44,Jhonattan Vegas,60,70.657,4073,25.133,58
49,50,47,Matt Every,38,70.666,2387,15.656,34
50,51,59,Zach Johnson,50,70.67,3531,2.492,50
51,52,T45,Denny McCarthy,63,70.682,4127,43.236,59
52,53,T45,Si Woo Kim,65,70.688,4198,43.289,60
53,54,48,Phil Mickelson,41,70.708,2684,2.916,38
54,55,49,Aaron Baddeley,51,70.712,3584,22.292,51
55,56,52,Vaughn Taylor,69,70.72800000000001,4711,27.750,67
56,57,77,Danny Lee,66,70.74,4512,15.336,64
57,58,T91,Brandt Snedeker,68,70.742,4584,14.215,65
58,59,53,Kevin Kisner,65,70.74600000000001,3800,20.286,54
59,60,69,Keegan Bradley,65,70.75399999999999,4093,10.723,58
60,61,74,Harold Varner III,62,70.759,4224,21.556,60
61,62,T50,Nate Lashley,44,70.765,2944,28.124,42
62,63,57,Byeong Hun An,54,70.774,3607,2.472,51
63,64,58,J.T. Poston,76,70.782,5077,19.287,72
64,65,86,Nick Taylor,70,70.79899999999999,4644,28.743,66
65,66,61,D.J. Trahan,33,70.801,2167,27.843,31
66,67,60,Andrew Putnam,57,70.807,3659,22.969,52
67,68,68,Wyndham Clark,61,70.816,4147,31.118,59
68,69,62,Abraham Ancer,69,70.817,4489,43.315,64
69,70,63,Joel Dahmen,78,70.82,5207,33.693,74
70,71,75,Dylan Frittelli,55,70.824,3728,25.677,53
71,72,64,Max Homa,61,70.827,4171,7.777,59
72,73,65,Keith Mitchell,64,70.832,4291,29.757,61
73,74,66,Kiradech Aphibarnrat,49,70.833,3256,2.327,46
74,75,67,Matt Jones,67,70.842,4426,37.032,63
75,76,70,Tyrrell Hatton,46,70.85300000000001,2990,- 14.163,42
76,77,71,C.T. Pan,64,70.86,4368,25.290,62
77,78,T72,Luke List,52,70.868,3463,9.532,49
78,79,76,Troy Merritt,42,70.877,2655,38.314,38
79,80,T72,Aaron Wise,52,70.89399999999999,3446,27.827,49
80,81,87,Nick Watney,67,70.907,4429,38.119,63
81,82,78,Louis Oosthuizen,43,70.90899999999999,2550,2.708,36
82,T83,79,Kevin Na,54,70.91,3462,12.580,49
83,T83,90,Adam Schenk,80,70.91,5491,39.975,78
84,85,80,Cameron Champ,58,70.911,3947,24.022,56
85,86,81,Billy Horschel,73,70.917,4666,14.514,66
86,87,82,Cameron Smith,55,70.919,3537,8.945,50
87,88,83,Kevin Streelman,63,70.921,4304,22.170,61
88,89,84,Patrick Reed,53,70.92399999999999,3391,13.347,48
89,90,106,Hank Lebioda,55,70.92699999999999,3590,27.266,51
90,91,89,Francesco Molinari,41,70.959,2421,- 8.402,34
91,92,88,Dominic Bozzelli,53,70.971,3576,43.538,51
92,93,T91,Trey Mullinax,67,70.97399999999999,4441,30.378,63
93,94,94,Corey Conners,62,70.986,4094,23.162,58
94,95,93,Brian Stuard,76,70.99,5068,43.302,72
95,96,95,Ryan Armour,66,70.998,4652,33.868,66
96,97,101,Kevin Tway,62,71.006,4088,30.361,58
97,98,105,Scott Brown,66,71.015,4375,27.921,62
98,T99,102,Martin Laird,60,71.02199999999999,3944,33.242,56
99,T99,119,Sebastián Muñoz,58,71.02199999999999,3936,41.219,56
100,101,85,Johnson Wagner,45,71.024,3025,29.024,43
101,102,100,Russell Henley,56,71.04899999999999,3664,30.568,52
102,103,125,Cameron Tringale,52,71.07,3382,29.371,48
103,T104,T96,Sam Burns,66,71.07600000000001,4526,22.894,64
104,T104,T96,Martin Kaymer,38,71.07600000000001,2708,- 7.117,38
105,106,123,Mackenzie Hughes,58,71.077,3822,16.164,54
106,107,98,Matthew Fitzpatrick,42,71.086,2789,- 16.654,39
107,108,112,Joaquin Niemann,68,71.089,4669,22.841,66
108,109,113,J.J. Spaun,68,71.119,4506,45.646,64
109,110,120,Harris English,72,71.126,4932,46.801,70
110,111,103,Sam Ryder,52,71.134,3655,43.957,52
111,112,104,Ryan Moore,54,71.149,3809,33.049,54
112,113,107,Pat Perez,52,71.16199999999999,3541,17.117,50
113,114,108,Patrick Rodgers,44,71.17699999999999,3109,22.790,44
114,115,111,Brian Gay,79,71.195,5293,46.638,75
115,116,127,Roberto Castro,54,71.196,3533,26.777,50
116,117,109,Charley Hoffman,58,71.199,3843,1.744,54
117,118,110,Richy Werenski,63,71.202,4313,30.311,61
118,119,124,Jimmy Walker,61,71.203,4334,9.400,61
119,120,99,Julián Etulain,55,71.223,3610,22.377,51
120,121,114,Kyoung-Hoon Lee,72,71.236,4810,34.038,68
121,122,122,Austin Cook,50,71.238,3258,18.925,46
122,123,134,Ben Silverman,54,71.24600000000001,3825,22.261,54
123,124,148,Danny Willett,47,71.279,3349,1.117,47
124,125,118,Carlos Ortiz,60,71.282,4100,34.332,58
125,126,151,Jonathan Byrd,43,71.293,2892,31.000,41
126,T127,116,Cameron Davis,54,71.295,3674,33.338,52
127,T127,121,Kramer Hickok,59,71.295,4175,31.393,59
128,129,115,Shawn Stefani,57,71.329,3751,29.447,53
129,130,117,Chase Wright,53,71.34,3606,32.326,51
130,131,131,Roger Sloan,62,71.347,4398,25.534,62
131,132,126,Hudson Swafford,59,71.35,4030,36.966,57
132,133,147,Stephan Jaeger,59,71.352,3885,39.380,55
133,134,128,Ernie Els,43,71.392,2901,26.081,41
134,135,129,Bill Haas,58,71.398,3837,18.466,54
135,136,T136,Adam Svensson,51,71.425,3472,27.804,49
136,137,155,Ben Crane,41,71.429,2908,20.594,41
137,138,144,Scott Langley,60,71.434,4109,34.200,58
138,T139,130,Adam Long,52,71.44,3717,- 2.108,52
139,T139,139,Alex Noren,49,71.44,3287,- .742,46
140,141,140,Josh Teater,47,71.453,3185,30.366,45
141,142,167,José de Jesús Rodríguez,51,71.464,3607,37.688,51
142,143,133,Beau Hossler,66,71.46600000000001,4684,32.761,66
143,144,135,Patton Kizzire,58,71.476,3979,23.654,56
144,145,T149,Peter Uihlein,65,71.47800000000001,4458,45.107,63
145,T146,142,Roberto Díaz,51,71.485,3326,33.791,47
146,T146,T136,Brice Garnett,63,71.485,4320,40.612,61
147,148,138,Ryan Blaum,67,71.491,4469,34.943,63
148,149,T153,Jim Knous,55,71.501,3625,21.543,51
149,150,141,Jason Dufner,56,71.525,3840,22.326,54
150,151,143,Chesson Hadley,58,71.542,3988,18.378,56
151,152,132,Kelly Kraft,67,71.544,4489,18.297,63
152,153,T159,Sepp Straka,48,71.555,3271,20.545,46
153,154,177,Wes Roach,45,71.568,3038,39.432,43
154,155,146,Scott Stallings,63,71.594,4194,30.033,59
155,156,T153,Sam Saunders,53,71.607,3767,28.171,53
156,157,T149,Stewart Cink,33,71.61399999999999,2345,18.250,33
157,T158,168,Brian Harman,67,71.62899999999999,4642,13.904,65
158,T158,152,Chris Kirk,47,71.62899999999999,3190,33.327,45
159,160,T159,Alex Prugh,54,71.632,3544,37.618,50
160,161,156,Bronson Burgoon,37,71.64399999999999,2640,10.825,37
161,162,166,J.B. Holmes,54,71.65,3342,25.539,47
162,163,145,Chris Stroud,54,71.652,3558,24.588,50
163,164,158,James Hahn,34,71.655,2391,45.253,34
164,165,161,Kyle Stanley,53,71.66199999999999,3427,12.791,48
165,166,162,Lucas Bjerregaard,37,71.686,2163,- 12.413,30
166,167,169,Brandon Harkins,67,71.706,4476,41.500,63
167,168,163,Anirban Lahiri,54,71.707,3562,23.368,50
168,169,164,Branden Grace,62,71.71300000000001,3858,14.518,54
169,170,171,David Hearn,41,71.737,2628,26.284,37
170,171,170,Hunter Mahan,45,71.777,3200,29.951,45
171,172,165,Anders Albertson,48,71.794,3264,38.546,46
172,173,180,Robert Streb,60,71.797,3981,39.640,56
173,174,174,Tom Hoge,70,71.814,4696,43.701,66
174,175,173,Fabián Gómez,44,71.828,3125,35.414,44
175,176,172,Ollie Schniederjans,63,71.834,4331,50.859,61
176,177,178,Tyler Duncan,66,71.857,4552,46.871,64
177,178,188,Sangmoon Bae,42,71.861,2847,27.451,40
178,179,175,Andrew Landry,56,71.89399999999999,3710,28.470,52
179,180,181,Curtis Luck,51,71.922,3347,33.319,47
180,181,179,J.J. Henry,42,71.936,2721,12.576,38
181,182,176,Brady Schnell,38,71.94,2703,30.703,38
182,183,192,Joey Garber,44,71.99600000000001,2853,26.850,40
183,184,999,Martin Piller,30,72.021,2136,24.633,30
184,185,999,Tyrone Van Aswegen,30,72.07,2152,10.088,30
185,186,182,Seth Reeves,52,72.096,3559,45.798,50
186,187,183,John Huh,35,72.122,2499,25.282,35
187,188,184,John Senden,39,72.15,2647,22.550,37
188,189,189,Seamus Power,58,72.15899999999999,3868,28.602,54
189,190,191,Jim Herman,37,72.167,2645,25.172,37
190,191,187,Martin Trainer,51,72.175,3662,18.924,51
191,T192,T185,Charl Schwartzel,34,72.17699999999999,2295,14.667,32
192,T192,T185,Brendan Steele,50,72.17699999999999,3438,26.509,48
193,194,190,Freddie Jacobson,37,72.242,2522,6.486,35
194,195,197,Cody Gribble,52,72.333,3449,23.007,48
195,196,194,Alex Cejka,41,72.36,2654,23.305,37
196,197,193,Grayson Murray,36,72.37,2588,17.323,36
197,198,195,Kyle Jones,49,72.426,3372,32.000,47
198,199,196,Whee Kim,57,72.464,3801,39.597,53
199,200,199,John Chin,38,72.561,2724,33.322,38
200,201,202,Rod Pampling,40,72.566,2745,12.522,38
201,202,203,Chris Thompson,34,72.567,2444,23.293,34
202,203,198,"Ted Potter, Jr.",56,72.605,3892,28.666,54
203,204,200,Satoshi Kodaira,51,72.899,3482,17.162,48
204,205,201,D.A. Points,33,72.914,2388,18.172,33
205,206,204,Michael Kim,51,73.46,3577,22.561,49
