,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Patrick Cantlay,49,69.02,3037,44
1,2,2,Justin Thomas,49,69.04,3176,46
2,3,3,Matt Kuchar,65,69.09,4007,58
3,4,4,Dustin Johnson,47,69.27,3048,44
4,5,12,Rory McIlroy,50,69.28,3187,46
5,6,T7,Webb Simpson,53,69.3,3465,50
6,7,6,Brooks Koepka,49,69.45,2917,42
7,8,5,Scott Piercy,70,69.48,4586,66
8,9,T7,Gary Woodland,63,69.57,4174,60
9,10,9,Rickie Fowler,54,69.61,3759,54
10,11,10,Xander Schauffele,55,69.71,3625,52
11,12,11,Tiger Woods,31,69.73,1813,26
12,13,13,Lucas Glover,62,69.76,4046,58
13,T14,21,Jim Furyk,53,69.77,3349,48
14,T14,14,Jon Rahm,51,69.77,3070,44
15,16,15,Hideki Matsuyama,59,69.8,3909,56
16,17,20,Ryan Palmer,56,69.81,3630,52
17,T18,22,Talor Gooch,37,69.84,2584,37
18,T18,17,Charles Howell III,64,69.84,4260,61
19,20,18,Adam Scott,41,69.85,2724,39
20,T21,T27,Sungjae Im,88,69.87,5869,84
21,T21,19,Troy Merritt,42,69.87,2655,38
22,23,16,D.J. Trahan,33,69.9,2167,31
23,24,23,Denny McCarthy,63,69.95,4127,59
24,T25,T24,Si Woo Kim,65,69.97,4198,60
25,T25,T24,Justin Rose,42,69.97,2659,38
26,27,26,Marc Leishman,52,69.98,3359,48
27,T28,T27,Jason Day,45,70.0,2800,40
28,T28,T27,Rory Sabbatini,71,70.0,4690,67
29,30,T30,Tony Finau,61,70.04,3922,56
30,31,T32,Bryson DeChambeau,45,70.05,2942,42
31,32,34,Paul Casey,51,70.06,3293,47
32,33,35,Bud Cauley,61,70.08,4275,61
