,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Matt Kuchar,68.48,2123,31
1,2,2,Tommy Fleetwood,68.84,1308,19
2,3,3,Jordan Spieth,68.97,2138,31
3,4,4,Justin Rose,69.1,1451,21
4,5,5,Dustin Johnson,69.13,1590,23
5,6,8,Justin Thomas,69.33,1664,24
6,7,6,Rickie Fowler,69.36,1942,28
7,8,T12,Rory McIlroy,69.42,1666,24
8,9,7,Scott Piercy,69.47,2640,38
9,10,11,Brooks Koepka,69.5,1529,22
10,11,9,Patrick Cantlay,69.52,1738,25
11,12,10,Gary Woodland,69.53,2225,32
12,T13,T12,Ian Poulter,69.68,1533,22
13,T13,T12,Rory Sabbatini,69.68,2648,38
14,15,15,Adam Scott,69.74,1604,23
15,16,T21,Graeme McDowell,69.77,2163,31
16,17,20,Sungjae Im,69.81,3630,52
17,T18,T16,Tony Finau,69.84,2165,31
18,T18,T16,Jon Rahm,69.84,1746,25
19,20,T29,D.J. Trahan,69.85,1397,20
20,21,T25,Jim Furyk,69.93,2028,29
21,T22,T18,Charles Howell III,69.94,2518,36
22,T22,T18,Michael Thompson,69.94,2518,36
23,24,41,Nick Taylor,69.95,2798,40
24,25,35,Jonas Blixt,70.0,2730,39
25,T26,T21,Abraham Ancer,70.03,2591,37
26,T26,T39,Keegan Bradley,70.03,2241,32
27,T26,T21,Lucas Glover,70.03,2381,34
28,T26,T21,Sam Ryder,70.03,2171,31
29,30,T52,Adam Hadwin,70.06,2522,36
30,31,T25,Vaughn Taylor,70.07,2943,42
31,32,T29,Wyndham Clark,70.08,2663,38
32,33,28,J.T. Poston,70.09,3014,43
33,T34,T29,Matt Jones,70.11,2664,38
34,T34,T29,Hideki Matsuyama,70.11,1963,28
35,T36,T33,Joel Dahmen,70.12,2945,42
36,T36,T33,Russell Knox,70.12,2384,34
37,T36,T77,Webb Simpson,70.12,1823,26
38,39,T37,Daniel Berger,70.14,2034,29
39,40,27,Nate Lashley,70.15,1824,26
40,41,T42,Martin Laird,70.19,2527,36
41,42,36,Trey Mullinax,70.2,2808,40
42,43,T61,Peter Malnati,70.21,2668,38
43,T44,T37,Bud Cauley,70.23,2739,39
44,T44,T39,Troy Merritt,70.23,1545,22
45,T44,T42,Nick Watney,70.23,2809,40
46,47,T49,Dominic Bozzelli,70.24,2388,34
47,T48,T42,Jason Day,70.26,1616,23
48,T48,T42,Patrick Reed,70.26,1897,27
49,T50,64,Ryan Palmer,70.28,2249,32
50,T50,46,Chez Reavie,70.28,2530,36
51,T52,T47,Si Woo Kim,70.29,2671,38
52,T52,T47,Tiger Woods,70.29,984,14
53,T54,T49,Emiliano Grillo,70.31,2250,32
54,T54,T49,Kevin Kisner,70.31,2250,32
55,56,T52,James Hahn,70.32,1547,22
56,T57,54,Sung Kang,70.33,2743,39
57,T57,T55,Denny McCarthy,70.33,2743,39
58,59,T75,Dylan Frittelli,70.34,2251,32
59,T60,T55,Phil Mickelson,70.35,1829,26
60,T60,T70,Adam Schenk,70.35,3377,48
61,62,T68,Kevin Tway,70.36,2533,36
62,T63,T58,Pat Perez,70.37,2111,30
63,T63,T58,Jhonattan Vegas,70.37,2463,35
64,T65,T84,Talor Gooch,70.38,1830,26
65,T65,89,Hank Lebioda,70.38,2252,32
66,T65,60,Keith Mitchell,70.38,2604,37
67,T65,T75,Josh Teater,70.38,2393,34
68,T69,T61,Paul Casey,70.39,1971,28
69,T69,T84,Wes Roach,70.39,1971,28
70,T69,T61,Xander Schauffele,70.39,1971,28
71,72,T72,J.J. Spaun,70.41,2746,39
72,T73,T65,Jason Kokrak,70.42,2324,33
73,T73,T65,Marc Leishman,70.42,1831,26
74,T75,T68,Roberto Díaz,70.44,2254,32
75,T75,T72,Brian Gay,70.44,3029,43
76,T75,T81,Sebastián Muñoz,70.44,2536,36
77,78,67,C.T. Pan,70.46,2607,37
78,79,T87,Zach Johnson,70.48,2185,31
79,T80,T70,Billy Horschel,70.5,2397,34
80,T80,T55,Johnson Wagner,70.5,1974,28
81,82,91,Harris English,70.51,2891,41
82,83,T77,Bryson DeChambeau,70.54,1693,24
83,T84,T79,Max Homa,70.55,2681,38
84,T84,T79,Louis Oosthuizen,70.55,1411,20
85,86,T81,Kyoung-Hoon Lee,70.56,3034,43
86,87,83,Brian Stuard,70.57,3105,44
87,88,T110,Ben Silverman,70.58,2541,36
88,89,T87,Aaron Baddeley,70.59,2259,32
89,90,95,Harold Varner III,70.62,2754,39
90,T91,90,Ryan Blaum,70.63,2896,41
91,T91,108,Roberto Castro,70.63,2260,32
92,T91,T84,Scott Stallings,70.63,2825,40
93,T94,T103,Jonathan Byrd,70.65,1837,26
94,T94,T140,Henrik Stenson,70.65,1413,20
95,96,T100,Danny Lee,70.66,2685,38
96,97,T92,Sergio Garcia,70.67,1272,18
97,98,T110,Bubba Watson,70.68,1555,22
98,T99,T92,Cameron Champ,70.69,2545,36
99,T99,T92,Andrew Putnam,70.69,2262,32
100,T99,T130,Brandt Snedeker,70.69,2474,35
101,102,96,Kevin Na,70.71,1980,28
102,T103,T103,Russell Henley,70.72,2546,36
103,T103,109,Joaquin Niemann,70.72,2758,39
104,105,74,Julián Etulain,70.73,2334,33
105,106,97,Beau Hossler,70.74,2971,42
106,T107,T103,Fabián Gómez,70.77,2123,30
107,T107,T98,Martin Kaymer,70.77,1557,22
108,T107,T98,Luke List,70.77,2194,31
109,T110,T100,Ryan Moore,70.78,2265,32
110,T110,T100,Kevin Streelman,70.78,2831,40
111,T110,T110,Adam Svensson,70.78,2548,36
112,113,T137,Scott Brown,70.79,2973,42
113,114,T126,Cameron Tringale,70.8,2124,30
114,115,T103,Aaron Wise,70.81,2195,31
115,116,107,Cameron Smith,70.82,1983,28
116,117,117,Brandon Harkins,70.83,2975,42
117,118,114,Richy Werenski,70.85,2834,40
118,T119,120,Ryan Armour,70.86,3118,44
119,T119,136,José de Jesús Rodríguez,70.86,2551,36
120,121,115,Ernie Els,70.88,1843,26
121,122,T118,Hudson Swafford,70.9,2765,39
122,123,T126,Curtis Luck,70.91,2411,34
123,124,T110,Cameron Davis,70.92,2553,36
124,125,T121,Anirban Lahiri,70.94,2341,33
125,T126,146,Mackenzie Hughes,70.95,2625,37
126,T126,T118,Carlos Ortiz,70.95,2909,41
127,T128,T123,Rafa Cabrera Bello,70.97,2058,29
128,T128,T140,Stephan Jaeger,70.97,2697,38
129,130,T123,Kramer Hickok,70.98,2839,40
130,T131,T126,Jason Dufner,71.0,2627,37
131,T131,142,Scott Langley,71.0,2840,40
132,T131,T126,Francesco Molinari,71.0,1278,18
133,T131,116,Shawn Stefani,71.0,2627,37
134,135,T130,Alex Prugh,71.03,2557,36
135,T136,T137,Corey Conners,71.05,2842,40
136,T136,135,Sam Saunders,71.05,2629,37
137,T138,T130,Patton Kizzire,71.06,2487,35
138,T138,162,Sepp Straka,71.06,2274,32
139,T140,T163,Ben Crane,71.07,1990,28
140,T140,133,Patrick Rodgers,71.07,2061,29
141,T142,134,John Senden,71.08,1848,26
142,T142,T123,Chase Wright,71.08,2701,38
143,144,147,Matt Every,71.09,1635,23
144,145,T143,Roger Sloan,71.1,2986,42
145,T146,139,Sam Burns,71.15,2917,41
146,T146,T155,Jim Knous,71.15,2419,34
147,148,T152,Tyler Duncan,71.16,3131,44
148,149,T143,Ollie Schniederjans,71.17,2989,42
149,150,T152,Austin Cook,71.18,2349,33
150,151,T149,Tom Hoge,71.19,3417,48
151,152,T159,Jimmy Walker,71.2,2492,35
152,T153,145,Bill Haas,71.21,2421,34
153,T153,168,Brian Harman,71.21,3062,43
154,155,148,John Huh,71.25,1995,28
155,156,T149,Andrew Landry,71.26,2494,35
156,157,T163,Peter Uihlein,71.27,2922,41
157,158,151,Bronson Burgoon,71.28,2067,29
158,159,T152,Kiradech Aphibarnrat,71.29,1996,28
159,T160,174,Sangmoon Bae,71.31,2282,32
160,T160,T169,Kelly Kraft,71.31,3209,45
161,162,158,Brice Garnett,71.32,2924,41
162,T163,T159,Byeong Hun An,71.36,1998,28
163,T163,T159,Justin Harding,71.36,999,14
164,T163,T169,David Hearn,71.36,1998,28
165,T166,T163,Stewart Cink,71.38,1713,24
166,T166,T163,Matthew Fitzpatrick,71.38,1499,21
167,T166,179,Alex Noren,71.38,1856,26
168,169,167,Branden Grace,71.39,2356,33
169,T170,180,Robert Streb,71.41,2928,41
