,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,3,Rory McIlroy,50,2.3,69.28,71.58
1,2,1,Patrick Cantlay,49,2.29,69.02,71.31
2,3,2,Dustin Johnson,47,2.21,69.27,71.48
3,4,4,Brooks Koepka,49,1.8,69.45,71.25
4,5,5,Tiger Woods,31,1.78,69.73,71.51
5,6,6,Adam Scott,41,1.77,69.85,71.62
6,7,7,Justin Rose,42,1.72,69.97,71.69
7,8,8,Jason Day,45,1.71,70.0,71.71
8,9,11,Matt Kuchar,65,1.68,69.09,70.77
9,10,9,Justin Thomas,49,1.63,69.04,70.67
10,11,10,Xander Schauffele,55,1.62,69.71,71.33
11,12,16,Webb Simpson,53,1.56,69.3,70.86
12,13,12,Rickie Fowler,54,1.54,69.61,71.15
13,14,13,Jon Rahm,51,1.53,69.77,71.3
14,15,14,Hideki Matsuyama,59,1.48,69.8,71.28
15,16,15,Tommy Fleetwood,43,1.45,70.33,71.78
16,17,17,Lucas Glover,62,1.35,69.76,71.11
17,18,18,Paul Casey,51,1.3,70.06,71.36
18,T19,20,Jim Furyk,53,1.28,69.77,71.05
19,T19,19,Gary Woodland,63,1.28,69.57,70.85
20,21,22,Tony Finau,61,1.19,70.04,71.23
21,22,24,Marc Leishman,52,1.08,69.98,71.06
22,23,21,Sergio Garcia,39,1.06,70.3,71.36
23,24,23,Scott Piercy,70,1.02,69.48,70.5
24,25,25,Bryson DeChambeau,45,0.98,70.05,71.03
25,26,26,Charles Howell III,64,0.95,69.84,70.79
26,T27,T28,Rafa Cabrera Bello,57,0.89,70.57,71.46
27,T27,T28,Ian Poulter,49,0.89,70.4,71.29
28,29,36,Sungjae Im,88,0.87,69.87,70.74
29,T30,32,Aaron Baddeley,51,0.84,70.27,71.11
30,T30,T30,Talor Gooch,37,0.84,69.84,70.68
31,T32,T33,Si Woo Kim,65,0.83,69.97,70.8
32,T32,T33,Jason Kokrak,68,0.83,70.25,71.08
33,34,T47,Henrik Stenson,46,0.82,70.55,71.37
34,35,35,Michael Thompson,56,0.8,70.23,71.03
35,36,37,Ryan Palmer,56,0.75,69.81,70.56
36,T37,T38,Phil Mickelson,41,0.74,70.63,71.37
37,T37,T38,Chez Reavie,67,0.74,70.15,70.89
38,T37,T38,Rory Sabbatini,71,0.74,70.0,70.74
39,T40,T42,Emiliano Grillo,65,0.72,70.32,71.04
40,T40,T55,Adam Hadwin,66,0.72,70.4,71.12
41,T40,T42,Jordan Spieth,57,0.72,70.22,70.94
42,T40,27,D.J. Trahan,33,0.72,69.9,70.62
43,T44,T38,Bud Cauley,61,0.69,70.08,70.77
44,T44,T55,Graeme McDowell,61,0.69,70.23,70.92
45,T44,45,Jhonattan Vegas,60,0.69,70.22,70.91
46,47,T30,Bubba Watson,47,0.68,70.48,71.16
47,48,46,Andrew Putnam,57,0.67,70.37,71.04
48,49,T47,Sung Kang,67,0.65,70.31,70.96
49,50,T70,Brandt Snedeker,68,0.63,70.52,71.15
50,51,50,Keegan Bradley,65,0.62,70.57,71.19
51,T52,49,Matt Every,38,0.59,70.21,70.8
52,T52,T51,Russell Knox,65,0.59,70.36,70.95
53,T52,44,Nate Lashley,44,0.59,70.1,70.69
54,T52,T51,Louis Oosthuizen,43,0.59,70.83,71.42
55,T52,T51,Patrick Reed,53,0.59,70.65,71.24
56,57,T55,Byeong Hun An,54,0.57,70.73,71.3
57,T58,T55,Denny McCarthy,63,0.54,69.95,70.49
58,T58,59,Troy Merritt,42,0.54,69.87,70.41
59,60,60,Billy Horschel,73,0.53,70.7,71.23
60,61,61,Kiradech Aphibarnrat,49,0.52,70.78,71.3
61,T62,999,Shane Lowry,30,0.51,71.0,71.51
62,T62,T62,Francesco Molinari,41,0.51,71.21,71.72
63,T62,T62,Vaughn Taylor,69,0.51,70.31,70.82
64,T65,T64,Haotong Li,32,0.5,71.46,71.96
65,T65,T64,Matt Wallace,31,0.5,71.39,71.89
66,T67,T66,Jonas Blixt,66,0.49,70.25,70.74
67,T67,T66,Kevin Kisner,65,0.49,70.37,70.86
68,T67,54,Aaron Wise,52,0.49,70.33,70.82
69,T70,T68,Tyrrell Hatton,46,0.48,71.19,71.67
70,T70,T68,Matt Jones,67,0.48,70.25,70.73
71,T72,T70,Keith Mitchell,64,0.47,70.34,70.81
72,T72,T70,J.T. Poston,76,0.47,70.51,70.98
73,T74,82,Peter Malnati,64,0.46,70.33,70.79
74,T74,74,C.T. Pan,64,0.46,70.45,70.91
75,76,T75,Joel Dahmen,78,0.45,70.36,70.81
76,T77,T77,Luke List,52,0.44,70.67,71.11
77,T77,T77,Kevin Streelman,63,0.44,70.56,71.0
78,T79,T79,Abraham Ancer,69,0.43,70.14,70.57
79,T79,87,Nick Taylor,70,0.43,70.36,70.79
80,T81,86,Daniel Berger,48,0.42,70.56,70.98
81,T81,T79,Wyndham Clark,61,0.42,70.29,70.71
82,83,T79,Adam Schenk,80,0.41,70.4,70.81
83,T84,T75,Dylan Frittelli,55,0.4,70.34,70.74
84,T84,T83,Kevin Na,54,0.4,70.65,71.05
85,T84,T83,Sam Ryder,52,0.4,70.29,70.69
86,T84,T83,Cameron Smith,55,0.4,70.74,71.14
87,T88,88,Ryan Moore,54,0.37,70.54,70.91
88,T88,T100,Cameron Tringale,52,0.37,70.46,70.83
89,T88,T90,Harold Varner III,62,0.37,70.4,70.77
90,T91,T90,Max Homa,61,0.35,70.69,71.04
91,T91,89,Nick Watney,67,0.35,70.3,70.65
92,93,92,Cameron Champ,58,0.32,70.48,70.8
93,T94,T93,Corey Conners,62,0.3,70.59,70.89
94,T94,95,Brian Stuard,76,0.3,70.39,70.69
95,T94,T70,Johnson Wagner,45,0.3,70.35,70.65
96,T97,T96,Matthew Fitzpatrick,42,0.28,71.51,71.79
97,T97,T96,Martin Laird,60,0.28,70.43,70.71
98,T99,110,Hank Lebioda,55,0.27,70.39,70.66
99,T99,99,Kevin Tway,62,0.27,70.48,70.75
100,101,107,Danny Lee,66,0.26,70.5,70.76
101,102,102,Zach Johnson,50,0.25,70.62,70.87
102,103,T100,Pat Perez,52,0.22,70.82,71.04
103,104,103,Ryan Armour,66,0.2,70.48,70.68
104,T105,T104,Justin Harding,31,0.19,71.08,71.27
105,T105,T104,Charley Hoffman,58,0.19,71.17,71.36
106,T105,T104,Martin Kaymer,38,0.19,71.26,71.45
107,108,T93,Dominic Bozzelli,53,0.18,70.12,70.3
108,T109,T118,Sebastián Muñoz,58,0.17,70.29,70.46
109,T109,109,J.J. Spaun,68,0.17,70.41,70.58
110,111,108,Trey Mullinax,67,0.15,70.49,70.64
111,112,122,Jonathan Byrd,43,0.14,70.54,70.68
112,113,112,Sam Burns,66,0.11,70.72,70.83
113,T114,T118,Scott Brown,66,0.1,70.56,70.66
114,T114,113,Kyoung-Hoon Lee,72,0.1,70.74,70.84
115,116,T96,Julián Etulain,55,0.09,70.78,70.87
116,T117,121,Joaquin Niemann,68,0.07,70.74,70.81
117,T117,T115,Patrick Rodgers,44,0.07,70.66,70.73
118,T119,111,Cameron Davis,54,0.04,70.65,70.69
119,T119,T123,Harris English,72,0.04,70.46,70.5
120,T119,T141,Danny Willett,47,0.04,71.26,71.3
121,122,T115,Richy Werenski,63,0.03,70.7,70.73
122,123,T123,Roberto Castro,54,0.02,70.66,70.68
123,T124,120,Russell Henley,56,0.01,70.46,70.47
124,T124,T135,Mackenzie Hughes,58,0.01,70.78,70.79
125,126,T115,Carlos Ortiz,60,-0.01,70.69,70.68
126,T127,114,Shawn Stefani,57,-0.04,70.77,70.73
127,T127,129,Jimmy Walker,61,-0.04,71.05,71.01
128,129,T126,Austin Cook,50,-0.05,70.83,70.78
129,130,149,Ben Silverman,54,-0.08,70.83,70.75
130,131,T123,Kramer Hickok,59,-0.09,70.76,70.67
131,T132,T130,Ernie Els,43,-0.1,70.76,70.66
132,T132,T130,Adam Svensson,51,-0.1,70.86,70.76
133,T134,128,Brian Gay,79,-0.11,70.57,70.46
134,T134,T126,Scott Stallings,63,-0.11,71.08,70.97
135,T136,T133,J.B. Holmes,54,-0.12,71.11,70.99
136,T136,T133,Beau Hossler,66,-0.12,70.97,70.85
137,T138,T135,Roberto Díaz,51,-0.15,70.77,70.62
138,T138,T139,James Hahn,34,-0.15,70.32,70.17
139,T138,T139,Adam Long,52,-0.15,71.48,71.33
140,141,T160,Stephan Jaeger,59,-0.17,70.64,70.47
141,T142,138,Brice Garnett,63,-0.19,70.82,70.63
142,T142,146,Patton Kizzire,58,-0.19,71.05,70.86
143,T142,T147,Jim Knous,55,-0.19,71.08,70.89
144,T142,167,José de Jesús Rodríguez,51,-0.19,70.73,70.54
145,T142,T141,Sepp Straka,48,-0.19,71.11,70.92
146,T142,T141,Hudson Swafford,59,-0.19,70.7,70.51
147,T142,T135,Josh Teater,47,-0.19,70.78,70.59
148,T142,T152,Peter Uihlein,65,-0.19,70.76,70.57
149,150,T156,Ben Crane,41,-0.21,70.93,70.72
150,T151,150,Ryan Blaum,67,-0.22,70.94,70.72
151,T151,T152,Roger Sloan,62,-0.22,70.94,70.72
152,T153,151,Chesson Hadley,58,-0.23,71.21,70.98
153,T153,T144,Alex Noren,49,-0.23,71.46,71.23
154,155,T144,Bill Haas,58,-0.24,71.06,70.82
155,T156,154,Kyle Stanley,53,-0.25,71.4,71.15
156,T156,132,Chase Wright,53,-0.25,70.71,70.46
157,158,T174,Wes Roach,45,-0.26,70.65,70.39
158,159,T160,Scott Langley,60,-0.27,70.84,70.57
159,160,T156,Hunter Mahan,45,-0.29,71.11,70.82
160,161,159,Chris Kirk,47,-0.3,70.89,70.59
161,162,T156,Alex Prugh,54,-0.31,70.88,70.57
162,163,T160,Branden Grace,62,-0.32,71.44,71.12
163,164,T147,Chris Stroud,54,-0.33,71.16,70.83
164,T165,T164,Stewart Cink,33,-0.34,71.06,70.72
165,T165,T164,Jason Dufner,56,-0.34,71.11,70.77
166,167,T164,Sam Saunders,53,-0.37,71.08,70.71
167,168,169,Bronson Burgoon,37,-0.4,71.35,70.95
168,169,155,Kelly Kraft,67,-0.41,71.25,70.84
169,170,168,David Hearn,41,-0.42,71.03,70.61
170,171,170,Fabián Gómez,44,-0.44,71.02,70.58
171,T172,163,Anders Albertson,48,-0.47,70.96,70.49
172,T172,172,Andrew Landry,56,-0.47,71.35,70.88
173,174,T182,Robert Streb,60,-0.48,71.09,70.61
174,T175,T174,Brandon Harkins,67,-0.49,71.05,70.56
175,T175,177,Curtis Luck,51,-0.49,71.21,70.72
176,177,178,Brian Harman,67,-0.5,71.42,70.92
177,178,999,Martin Piller,30,-0.52,71.2,70.68
178,179,171,Brady Schnell,38,-0.54,71.13,70.59
179,T180,173,Lucas Bjerregaard,37,-0.55,72.1,71.55
180,T180,T182,Tom Hoge,70,-0.55,71.15,70.6
181,T180,T179,Anirban Lahiri,54,-0.55,71.24,70.69
182,T180,T179,John Senden,39,-0.55,71.54,70.99
183,184,181,Ollie Schniederjans,63,-0.57,71.0,70.43
184,185,184,Brendan Steele,50,-0.6,71.63,71.03
185,186,185,Tyler Duncan,66,-0.63,71.13,70.5
186,187,191,Sangmoon Bae,42,-0.64,71.18,70.54
187,188,T186,Charl Schwartzel,34,-0.65,71.72,71.07
188,T189,T186,J.J. Henry,42,-0.7,71.61,70.91
189,T189,999,Tyrone Van Aswegen,30,-0.7,71.73,71.03
190,191,194,Joey Garber,44,-0.73,71.33,70.6
