,Sub-Par_Rounds_RANK THIS WEEK,Sub-Par_Rounds_RANK LAST WEEK,Sub-Par_Rounds_PLAYER NAME,Sub-Par_Rounds_EVENTS
0,1,1,Sungjae Im,26
1,2,2,Adam Schenk,24
2,3,3,Rory Sabbatini,19
3,4,4,Joel Dahmen,22
4,5,5,Brian Stuard,22
5,T6,T9,Matt Kuchar,16
6,T6,6,Scott Piercy,19
7,T8,T19,Harris English,21
8,T8,7,Vaughn Taylor,21
9,10,8,Charles Howell III,19
10,T11,T9,Matt Jones,19
11,T11,T9,Kyoung-Hoon Lee,22
12,T11,T9,Hideki Matsuyama,15
13,T14,T19,Brian Gay,22
14,T14,T13,Lucas Glover,17
15,T14,T13,Billy Horschel,19
16,T14,T13,Sung Kang,20
17,T14,T13,J.T. Poston,22
18,T14,T13,Chez Reavie,19
19,T14,T13,Xander Schauffele,15
20,T21,T19,Tony Finau,17
21,T21,T19,Si Woo Kim,20
22,T21,T19,Jason Kokrak,17
23,T21,T38,Brandt Snedeker,18
24,T25,T24,Abraham Ancer,20
25,T25,T34,Jonas Blixt,20
26,T25,T24,Rickie Fowler,14
27,T25,T38,Peter Malnati,19
28,T25,T43,Webb Simpson,14
29,T25,T34,J.J. Spaun,20
30,T25,T34,Nick Taylor,20
31,T25,T27,Nick Watney,20
32,T25,T24,Gary Woodland,17
33,T34,T27,Bud Cauley,19
34,T34,T27,Beau Hossler,20
35,T34,T27,C.T. Pan,19
36,T34,T27,Kevin Streelman,20
37,T34,T27,Michael Thompson,17
38,T34,T38,Harold Varner III,20
39,T34,T27,Jhonattan Vegas,18
40,T41,T38,Ryan Armour,21
41,T41,T53,Dustin Johnson,12
42,T41,T34,Denny McCarthy,20
43,T41,T61,Rory McIlroy,13
44,T41,T53,Justin Thomas,13
45,T41,T43,Kevin Tway,19
46,T47,T43,Wyndham Clark,20
47,T47,T53,Tyler Duncan,22
48,T47,T43,Brice Garnett,21
49,T47,T43,Brandon Harkins,21
50,T47,T38,Kevin Kisner,17
51,T47,T61,Hank Lebioda,16
52,T53,T77,Dominic Bozzelli,17
53,T53,T61,Scott Brown,21
54,T53,T43,Patrick Cantlay,14
55,T53,T43,Emiliano Grillo,17
56,T53,T53,Tom Hoge,24
57,T53,T61,Scott Langley,20
58,T53,T43,Marc Leishman,14
59,T53,T43,Carlos Ortiz,21
60,T53,T77,Ryan Palmer,16
61,T53,T43,Andrew Putnam,17
62,T63,T53,Kiradech Aphibarnrat,15
63,T63,T53,Aaron Baddeley,15
64,T63,T61,Keegan Bradley,18
65,T63,T61,Corey Conners,20
66,T63,T53,Russell Knox,18
67,T63,T87,Martin Laird,18
68,T63,T87,Graeme McDowell,16
69,T63,T61,Trey Mullinax,20
70,T63,T53,Ollie Schniederjans,22
71,T63,T61,Scott Stallings,20
72,T63,T97,Cameron Tringale,15
73,T74,T61,Ryan Blaum,21
74,T74,T61,Sam Burns,22
75,T74,T61,Rafa Cabrera Bello,15
76,T74,T61,Cameron Champ,19
77,T74,T87,Dylan Frittelli,16
78,T74,T97,Jim Furyk,16
79,T74,T87,Stephan Jaeger,19
80,T74,T61,Patton Kizzire,18
81,T74,T97,Danny Lee,20
82,T74,T61,Keith Mitchell,19
83,T74,T87,Joaquin Niemann,20
84,T74,T97,José de Jesús Rodríguez,17
85,T74,T61,Sam Ryder,16
86,T74,T87,Peter Uihlein,22
87,T74,T61,Richy Werenski,20
88,T89,T77,Paul Casey,15
89,T89,T77,Julián Etulain,17
90,T89,T110,Adam Hadwin,18
91,T89,T97,Brian Harman,22
92,T89,T87,Kramer Hickok,19
93,T89,T77,Max Homa,19
94,T89,T110,Mackenzie Hughes,19
95,T89,T77,Luke List,16
96,T89,T77,Ryan Moore,16
97,T89,T77,Jon Rahm,14
98,T89,T77,Patrick Reed,15
99,T89,T77,Jordan Spieth,16
100,T101,T87,Byeong Hun An,15
101,T101,T97,Russell Henley,18
102,T101,T110,Jim Knous,17
103,T101,T110,Sebastián Muñoz,18
104,T101,T87,Ian Poulter,13
105,T101,T126,Wes Roach,14
106,T101,T110,Roger Sloan,20
107,T101,T87,Cameron Smith,16
108,T101,T97,Hudson Swafford,20
109,T110,T120,Roberto Castro,16
110,T110,T97,Jason Day,14
111,T110,T97,Bryson DeChambeau,13
112,T110,T110,Bill Haas,18
113,T110,T97,Charley Hoffman,18
114,T110,T110,J.B. Holmes,18
115,T110,T110,Brooks Koepka,13
116,T110,T97,Kevin Na,15
117,T110,T97,Pat Perez,16
118,T110,T97,Shawn Stefani,19
119,T110,T120,Jimmy Walker,17
120,T121,T110,Cameron Davis,18
121,T121,T110,Chesson Hadley,20
122,T121,T120,Kelly Kraft,23
123,T121,T126,Josh Teater,17
124,T121,T120,Aaron Wise,16
125,T126,T148,Daniel Berger,14
126,T126,T120,Andrew Landry,18
127,T126,T126,Curtis Luck,17
128,T126,T120,Justin Rose,11
129,T126,T138,Ben Silverman,17
130,T126,T148,Robert Streb,21
131,T126,T126,Adam Svensson,18
132,T133,T138,Roberto Díaz,16
133,T133,T126,James Hahn,10
134,T133,T126,Anirban Lahiri,17
135,T133,T126,Nate Lashley,13
136,T133,T126,Troy Merritt,12
137,T133,T126,Seth Reeves,18
138,T133,T126,Patrick Rodgers,14
139,T133,T126,Sam Saunders,18
140,T133,T126,Adam Scott,12
141,T142,T154,Ben Crane,13
142,T142,T148,Matt Every,12
143,T142,T138,Tommy Fleetwood,11
144,T142,T138,Fabián Gómez,14
145,T142,T154,Zach Johnson,15
146,T142,T138,Hunter Mahan,15
147,T142,T138,"Ted Potter, Jr.",18
148,T142,T138,Alex Prugh,18
149,T142,T138,Brendan Steele,17
150,T142,T154,Sepp Straka,16
151,T142,T138,Chris Stroud,19
152,T142,T138,Johnson Wagner,14
153,T154,T162,Jonathan Byrd,13
154,T154,T148,Jason Dufner,19
155,T154,T162,Talor Gooch,12
156,T154,T148,Seamus Power,21
157,T154,T154,Bubba Watson,13
158,T154,T175,Danny Willett,15
159,T154,T148,Chase Wright,19
160,T161,T154,Anders Albertson,18
161,T161,T154,Chris Kirk,17
162,T161,T154,Louis Oosthuizen,12
163,T161,T175,Henrik Stenson,12
164,T161,T169,D.J. Trahan,11
165,T161,T154,Martin Trainer,19
166,T167,T169,Austin Cook,17
167,T167,T162,Matthew Fitzpatrick,11
168,T167,T162,Branden Grace,18
169,T167,T162,Whee Kim,21
170,T167,T162,Adam Long,19
171,T167,T162,Phil Mickelson,13
172,T173,T181,Sangmoon Bae,16
173,T173,T169,Ernie Els,14
174,T173,T169,Tyrrell Hatton,13
175,T173,T175,David Hearn,14
176,T173,T175,Alex Noren,14
177,T173,T169,Kyle Stanley,18
178,T173,T169,Tiger Woods,8
179,180,T175,Brady Schnell,14
180,T181,180,John Chin,14
181,T181,T185,Joey Garber,15
182,T181,T191,Cody Gribble,18
183,T181,T181,J.J. Henry,15
184,T181,T181,Jim Herman,16
185,T181,T181,Kyle Jones,19
186,187,T185,Nicholas Lindheim,10
187,T188,T185,Stewart Cink,12
188,T188,T185,Jamie Lovemark,7
189,T188,T185,Grayson Murray,14
190,T188,T185,Brendon Todd,7
191,T192,T197,Alex Cejka,16
192,T192,T191,Sergio Garcia,11
193,T192,T191,Martin Kaymer,11
194,T192,T191,Satoshi Kodaira,16
195,T192,T211,Shane Lowry,10
196,T192,T197,Martin Piller,10
197,T192,T191,John Senden,13
198,T192,T191,Matt Wallace,9
199,T200,T197,Bronson Burgoon,14
200,T200,T197,John Huh,13
201,T200,T197,Michael Kim,21
202,T200,T197,Davis Love III,9
203,T200,T205,Tom Lovelady,10
204,T200,T197,Francesco Molinari,10
205,T200,T219,Rod Pampling,16
206,T200,T197,Charl Schwartzel,13
