,Tenth_Tee_Early_Lowest_Round_RANK THIS WEEK,Tenth_Tee_Early_Lowest_Round_RANK LAST WEEK,Tenth_Tee_Early_Lowest_Round_PLAYER NAME,Tenth_Tee_Early_Lowest_Round_ROUNDS,Tenth_Tee_Early_Lowest_Round_LOW RND
0,1,T98,Brandt Snedeker,68,60
1,T2,T1,Lucas Glover,62,61
2,T2,T98,Ben Silverman,54,61
3,T2,T1,Gary Woodland,63,61
4,T5,T3,Cameron Champ,58,62
5,T5,T3,Marc Leishman,52,62
6,T5,T3,Nicholas Lindheim,26,62
7,T5,T3,Jon Rahm,51,62
8,T5,T3,Justin Thomas,49,62
9,T10,T8,Bronson Burgoon,37,63
10,T10,T8,Bryson DeChambeau,45,63
11,T10,T8,J.B. Holmes,54,63
12,T10,T8,Max Homa,61,63
13,T10,T8,Brooks Koepka,49,63
14,T10,T8,Matt Kuchar,65,63
15,T10,T8,Rory McIlroy,50,63
16,T10,T8,Charles Reiter,3,63
17,T10,T8,Justin Rose,42,63
18,T10,T8,Adam Scott,41,63
19,T10,T8,Peter Uihlein,65,63
20,T10,T8,Aaron Wise,52,63
21,T22,T20,Dominic Bozzelli,53,64
22,T22,T20,Bud Cauley,61,64
23,T22,T20,Corey Conners,62,64
24,T22,T20,Jason Dufner,56,64
25,T22,T20,Tyler Duncan,66,64
26,T22,T20,Rickie Fowler,54,64
27,T22,T20,Justin Harding,31,64
28,T22,T20,Brandon Harkins,67,64
29,T22,T20,Brian Harman,67,64
30,T22,T20,Tom Hoge,70,64
31,T22,T20,Charles Howell III,64,64
32,T22,T20,Sungjae Im,88,64
33,T22,T45,Stephan Jaeger,59,64
34,T22,T20,Dustin Johnson,47,64
35,T22,T20,Steve Marino,12,64
36,T22,T20,Troy Merritt,42,64
37,T22,T20,C.T. Pan,64,64
38,T22,T20,Pat Perez,52,64
39,T22,T20,Thomas Pieters,16,64
40,T22,T20,Chez Reavie,67,64
41,T22,T20,Patrick Reed,53,64
42,T22,T20,José de Jesús Rodríguez,51,64
43,T22,T20,Brady Schnell,38,64
44,T22,T20,Shubhankar Sharma,24,64
45,T22,T20,Adam Svensson,51,64
46,T22,T150,Nick Taylor,70,64
47,T22,T20,Jhonattan Vegas,60,64
48,T49,T45,Anders Albertson,48,65
49,T49,T45,Abraham Ancer,69,65
50,T49,T45,Stuart Appleby,12,65
51,T49,T45,Sangmoon Bae,42,65
52,T49,T45,Gaganjeet Bhullar,8,65
53,T49,T45,Rafa Cabrera Bello,57,65
54,T49,T45,Paul Casey,51,65
55,T49,T45,John Catlin,19,65
56,T49,T45,Austin Cook,50,65
57,T49,T45,Jason Day,45,65
58,T49,T45,Matt Every,38,65
59,T49,T45,Tony Finau,61,65
60,T49,T45,Matthew Fitzpatrick,42,65
61,T49,T45,Tommy Fleetwood,43,65
62,T49,T45,Emiliano Grillo,65,65
63,T49,T45,Chesson Hadley,58,65
64,T49,T98,Adam Hadwin,66,65
65,T49,T45,Billy Horschel,73,65
66,T49,T45,Matt Jones,67,65
67,T49,T45,Kyle Jones,49,65
68,T49,T45,Sung Kang,67,65
69,T49,T45,Martin Kaymer,38,65
70,T49,T45,Jason Kokrak,68,65
71,T49,T45,Kelly Kraft,67,65
72,T49,T45,Anirban Lahiri,54,65
73,T49,T45,Martin Laird,60,65
74,T49,T45,Nate Lashley,44,65
75,T49,T45,Hank Lebioda,55,65
76,T49,T45,Shane Lowry,30,65
77,T49,T45,Keith Mitchell,64,65
78,T49,T45,Ryan Moore,54,65
79,T49,T45,Sebastián Muñoz,58,65
80,T49,T45,Trey Mullinax,67,65
81,T49,T45,Martin Piller,30,65
82,T49,T45,J.T. Poston,76,65
83,T49,T45,"Ted Potter, Jr.",56,65
84,T49,T45,Xander Schauffele,55,65
85,T49,T45,Roger Sloan,62,65
86,T49,T45,Cameron Smith,55,65
87,T49,T45,J.J. Spaun,68,65
88,T49,T45,Jordan Spieth,57,65
89,T49,T45,Kyle Stanley,53,65
90,T49,T45,Brendan Steele,50,65
91,T49,T45,Shawn Stefani,57,65
92,T49,T150,Sepp Straka,48,65
93,T49,T45,Kevin Streelman,63,65
94,T49,T45,Vaughn Taylor,69,65
95,T49,T45,Michael Thompson,56,65
96,T49,T45,Cameron Tringale,52,65
97,T49,T45,Harold Varner III,62,65
98,T49,T45,Nick Watney,67,65
99,T49,T45,Lee Westwood,9,65
100,T49,T45,Danny Willett,47,65
101,T49,T45,Tiger Woods,31,65
102,T103,T98,Byeong Hun An,54,66
103,T103,T98,Ryan Armour,66,66
104,T103,T98,Daniel Berger,48,66
105,T103,T98,Ryan Blaum,67,66
106,T103,T98,Jonas Blixt,66,66
107,T103,T98,Keegan Bradley,65,66
108,T103,T98,Scott Brown,66,66
109,T103,T98,Sam Burns,66,66
110,T103,T98,Jonathan Byrd,43,66
111,T103,T98,Patrick Cantlay,49,66
112,T103,T98,John Chin,38,66
113,T103,T98,George Cunningham,7,66
114,T103,T98,Joel Dahmen,78,66
115,T103,T98,Ernie Els,43,66
116,T103,T98,Julián Etulain,55,66
117,T103,T98,Derek Fathauer,28,66
118,T103,T98,Zack Fischer,6,66
119,T103,T98,Jim Furyk,53,66
120,T103,T98,Brice Garnett,63,66
121,T103,T98,Brian Gay,79,66
122,T103,T98,Fabián Gómez,44,66
123,T103,T98,Branden Grace,62,66
