,Tenth_Tee_Early_Par_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_3_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_3_Scoring_Average_AVG,Tenth_Tee_Early_Par_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Anirban Lahiri,54,2.75,77,28
1,2,2,Aaron Wise,52,2.78,111,40
2,T3,T3,Tyrrell Hatton,46,2.8,56,20
3,T3,T3,John Huh,35,2.8,112,40
4,5,5,Dominic Bozzelli,53,2.81,101,36
5,6,999,Tyrone Van Aswegen,30,2.83,68,24
6,7,7,Justin Harding,31,2.85,57,20
7,8,6,Bud Cauley,61,2.87,149,52
8,T9,T9,Keegan Bradley,65,2.88,95,33
9,T9,8,Martin Laird,60,2.88,184,64
10,T9,T9,Scott Langley,60,2.88,207,72
11,T9,T9,Kevin Streelman,63,2.88,138,48
12,T13,T14,Jason Kokrak,68,2.89,165,57
13,T13,T14,Justin Rose,42,2.89,81,28
14,T13,T14,Vaughn Taylor,69,2.89,153,53
15,T13,T14,Jhonattan Vegas,60,2.89,127,44
16,T17,T19,Ryan Armour,66,2.9,139,48
17,T17,T19,Jonathan Byrd,43,2.9,119,41
18,T17,T19,Lucas Glover,62,2.9,142,49
19,T17,T9,Graeme McDowell,61,2.9,84,29
20,T17,T19,D.J. Trahan,33,2.9,58,20
21,T22,26,Freddie Jacobson,37,2.91,131,45
22,T22,T27,Ben Silverman,54,2.91,163,56
23,T22,T14,Sepp Straka,48,2.91,93,32
24,T25,T27,Joel Dahmen,78,2.92,213,73
25,T25,T19,Talor Gooch,37,2.92,73,25
26,T25,T27,Zach Johnson,50,2.92,70,24
27,T25,T27,Jordan Spieth,57,2.92,140,48
28,T29,T31,Julián Etulain,55,2.93,129,44
29,T29,T31,Charles Howell III,64,2.93,129,44
30,T29,T9,Danny Lee,66,2.93,179,61
31,T29,T31,Keith Mitchell,64,2.93,176,60
32,T29,T19,J.J. Spaun,68,2.93,129,44
33,T34,T34,Patrick Cantlay,49,2.94,94,32
34,T34,T34,Jim Herman,37,2.94,47,16
35,T34,T34,Hank Lebioda,55,2.94,144,49
36,T34,T34,Grayson Murray,36,2.94,94,32
37,T34,T34,Patrick Reed,53,2.94,156,53
38,T39,T69,Lucas Bjerregaard,37,2.95,59,20
