,Tenth_Tee_Early_Round_1_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_1_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_1_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_1_Scoring_Average_AVG,Tenth_Tee_Early_Round_1_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Troy Merritt,65.0,65,1
1,2,T2,Daniel Berger,66.5,133,2
2,3,T4,Matt Kuchar,66.71,467,7
3,T4,T4,Keegan Bradley,67.0,201,3
4,T4,T4,Rafa Cabrera Bello,67.0,134,2
5,T4,T4,Marc Leishman,67.0,67,1
6,T7,T8,J.J. Spaun,67.5,270,4
7,T7,T8,Michael Thompson,67.5,135,2
8,T7,T8,Jhonattan Vegas,67.5,270,4
9,10,11,Jordan Spieth,67.67,406,6
10,11,12,Brooks Koepka,67.8,339,5
11,12,13,Billy Horschel,67.83,407,6
12,T13,T14,Jim Herman,68.0,68,1
13,T13,T2,Dustin Johnson,68.0,204,3
14,T13,T17,Rory McIlroy,68.0,272,4
15,T13,T14,C.T. Pan,68.0,272,4
16,T13,T14,D.J. Trahan,68.0,68,1
17,18,T32,Nick Taylor,68.17,409,6
18,19,T17,Charles Howell III,68.33,205,3
19,20,19,Emiliano Grillo,68.4,342,5
20,T21,T20,Bronson Burgoon,68.5,274,4
21,T21,T20,Jason Day,68.5,274,4
22,T21,T20,Keith Mitchell,68.5,411,6
23,T21,T20,Justin Thomas,68.5,411,6
24,T25,T25,Abraham Ancer,68.6,343,5
25,T25,T25,Chris Stroud,68.6,343,5
26,T27,T20,J.J. Henry,68.67,206,3
27,T27,27,Trey Mullinax,68.67,412,6
28,T29,T28,Austin Cook,68.75,275,4
29,T29,T28,Hank Lebioda,68.75,275,4
30,T29,T28,Ryan Palmer,68.75,275,4
31,T29,T28,Jon Rahm,68.75,275,4
32,T29,T61,Webb Simpson,68.75,275,4
33,T34,T32,Paul Casey,69.0,69,1
34,T34,T32,Joel Dahmen,69.0,483,7
35,T34,T49,Adam Schenk,69.0,483,7
36,T34,T32,Kevin Tway,69.0,207,3
37,T38,T38,Rickie Fowler,69.17,415,6
38,T38,T38,J.T. Poston,69.17,415,6
39,T40,T40,Tommy Fleetwood,69.2,346,5
40,T40,T49,Bill Haas,69.2,346,5
41,T40,T40,Matt Jones,69.2,346,5
42,T40,T40,Seth Reeves,69.2,346,5
43,44,43,Anirban Lahiri,69.25,277,4
44,T45,T44,Cody Gribble,69.33,208,3
45,T45,T139,Adam Hadwin,69.33,208,3
46,T45,T44,Tyrrell Hatton,69.33,208,3
47,T45,T112,David Hearn,69.33,208,3
48,T45,T44,Louis Oosthuizen,69.33,208,3
