,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
0,1,1,Daniel Berger,48,66.5,399,6
1,2,2,Paul Casey,51,67.75,542,8
2,T3,5,Justin Thomas,49,68.0,748,11
3,T3,3,Jhonattan Vegas,60,68.0,748,11
4,5,6,Matt Kuchar,65,68.07,953,14
5,6,4,Charles Howell III,64,68.27,751,11
6,T7,T7,Keith Mitchell,64,68.33,1025,15
7,T7,T7,Jordan Spieth,57,68.33,820,12
8,9,9,Keegan Bradley,65,68.38,547,8
9,T10,T10,Tyrrell Hatton,46,68.4,342,5
10,T10,T10,Troy Merritt,42,68.4,342,5
11,T12,13,Austin Cook,50,68.44,616,9
12,T12,15,Rory McIlroy,50,68.44,616,9
13,14,12,Bud Cauley,61,68.62,892,13
14,15,14,J.J. Spaun,68,68.64,755,11
15,16,16,Lucas Glover,62,68.75,825,12
16,17,17,Martin Laird,60,68.81,1101,16
17,18,19,Dominic Bozzelli,53,68.89,620,9
18,T19,29,Brooks Koepka,49,68.9,689,10
19,T19,20,Adam Scott,41,68.9,689,10
20,T21,T21,Rickie Fowler,54,69.0,966,14
21,T21,T21,Zach Johnson,50,69.0,414,6
22,T21,T21,D.J. Trahan,33,69.0,345,5
23,24,25,C.T. Pan,64,69.06,1105,16
24,T25,18,Dustin Johnson,47,69.11,622,9
25,T25,T21,Scott Piercy,70,69.11,622,9
26,27,26,Anirban Lahiri,54,69.14,484,7
27,28,27,Matthew Fitzpatrick,42,69.17,415,6
28,29,30,Gary Woodland,63,69.23,900,13
29,30,31,Chez Reavie,67,69.25,831,12
30,31,32,Matt Jones,67,69.27,1039,15
31,32,33,Emiliano Grillo,65,69.29,970,14
32,T33,28,Talor Gooch,37,69.33,416,6
33,T33,T34,Hank Lebioda,55,69.33,832,12
34,T33,T34,Kevin Streelman,63,69.33,832,12
35,T33,T34,Tiger Woods,31,69.33,624,9
36,T37,T38,Patrick Reed,53,69.38,902,13
37,T37,T38,Michael Thompson,56,69.38,902,13
38,39,T50,Sungjae Im,88,69.39,1596,23
39,40,40,Aaron Wise,52,69.4,694,10
40,41,41,Ryan Armour,66,69.42,833,12
41,42,T34,Denny McCarthy,63,69.43,486,7
42,T43,46,Jim Furyk,53,69.5,695,10
43,T43,999,Shane Lowry,30,69.5,278,4
44,45,44,Hideki Matsuyama,59,69.53,1043,15
45,46,43,Joaquin Niemann,68,69.54,904,13
46,47,45,Andrew Putnam,57,69.55,765,11
47,48,T59,Sangmoon Bae,42,69.56,626,9
48,49,47,Justin Rose,42,69.57,487,7
49,T50,48,Rafa Cabrera Bello,57,69.58,835,12
50,T50,70,Webb Simpson,53,69.58,835,12
51,52,49,Patrick Cantlay,49,69.63,557,8
52,53,T50,Jason Kokrak,68,69.64,975,14
53,T54,T52,Joel Dahmen,78,69.67,1254,18
54,T54,T52,Xander Schauffele,55,69.67,836,12
55,56,82,Nick Taylor,70,69.69,1115,16
56,T57,T54,Roberto Castro,54,69.7,697,10
57,T57,T54,Marc Leishman,52,69.7,697,10
58,T59,T56,Billy Horschel,73,69.71,976,14
59,T59,T88,Graeme McDowell,61,69.71,488,7
60,61,58,Julián Etulain,55,69.73,767,11
61,T62,T59,Tommy Fleetwood,43,69.75,558,8
62,T62,T59,Kevin Kisner,65,69.75,837,12
63,T62,42,Jimmy Walker,61,69.75,558,8
64,T62,T59,Nick Watney,67,69.75,1116,16
65,T66,T73,Adam Schenk,80,69.76,1186,17
66,T66,T104,Brandt Snedeker,68,69.76,1186,17
67,68,63,Si Woo Kim,65,69.78,628,9
68,69,T64,Tony Finau,61,69.79,977,14
69,70,66,Danny Willett,47,69.83,419,6
70,71,T109,Ben Silverman,54,69.86,978,14
71,T72,T67,Abraham Ancer,69,69.88,1188,17
72,T72,T67,Ian Poulter,49,69.88,559,8
73,T72,113,Sepp Straka,48,69.88,559,8
74,75,69,Ben Crane,41,69.89,629,9
75,76,T73,Ryan Palmer,56,69.91,769,11
