,Tenth_Tee_Late_Lowest_Round_RANK THIS WEEK,Tenth_Tee_Late_Lowest_Round_RANK LAST WEEK,Tenth_Tee_Late_Lowest_Round_PLAYER NAME,Tenth_Tee_Late_Lowest_Round_ROUNDS,Tenth_Tee_Late_Lowest_Round_LOW RND
0,T1,T1,Ricky Barnes,19,61
1,T1,T1,Patrick Rodgers,44,61
2,3,3,Carlos Ortiz,60,62
3,T4,T108,Scott Brown,66,63
4,T4,T4,Emiliano Grillo,65,63
5,T4,T4,Kevin Kisner,65,63
6,T4,T4,Patton Kizzire,58,63
7,T4,T4,Rory McIlroy,50,63
8,T4,T4,Peter Uihlein,65,63
9,T4,T4,Richy Werenski,63,63
10,T11,T10,Byeong Hun An,54,64
11,T11,T10,Ryan Armour,66,64
12,T11,T10,Dominic Bozzelli,53,64
13,T11,T10,Paul Casey,51,64
14,T11,T108,Roberto Castro,54,64
15,T11,T10,Austin Cook,50,64
16,T11,T10,Ernie Els,43,64
17,T11,T10,Dylan Frittelli,55,64
18,T11,T10,Brice Garnett,63,64
19,T11,T10,Brian Harman,67,64
20,T11,T10,Satoshi Kodaira,51,64
21,T11,T10,Kelly Kraft,67,64
22,T11,T10,Scott Langley,60,64
23,T11,T10,Dru Love,13,64
24,T11,T10,Trey Mullinax,67,64
25,T11,T10,J.T. Poston,76,64
26,T11,T10,Seth Reeves,52,64
27,T11,T10,Shubhankar Sharma,24,64
28,T11,T10,Jordan Spieth,57,64
29,T30,T28,Aaron Baddeley,51,65
30,T30,T28,Jonas Blixt,66,65
31,T30,T28,Jason Bohn,8,65
32,T30,T28,Keegan Bradley,65,65
33,T30,T28,Kevin Chappell,12,65
34,T30,T28,Wyndham Clark,61,65
35,T30,T220,Ben Crane,41,65
36,T30,T28,Harris English,72,65
37,T30,T28,Matt Every,38,65
38,T30,T28,Brian Gay,79,65
39,T30,T28,Adam Hadwin,66,65
40,T30,T72,Russell Henley,56,65
41,T30,T28,Beau Hossler,66,65
42,T30,T28,Sungjae Im,88,65
43,T30,T28,Stephan Jaeger,59,65
44,T30,T28,Matt Jones,67,65
45,T30,T28,Sung Kang,67,65
46,T30,T28,Whee Kim,57,65
47,T30,T28,Jason Kokrak,68,65
48,T30,T28,Nate Lashley,44,65
49,T30,T28,David Lingmerth,25,65
50,T30,T28,Denny McCarthy,63,65
51,T30,T28,George McNeill,16,65
52,T30,T28,Grayson Murray,36,65
53,T30,T28,Alex Noren,49,65
54,T30,T28,Henrik Norlander,4,65
55,T30,T28,Ryan Palmer,56,65
56,T30,T28,C.T. Pan,64,65
57,T30,T28,Scott Piercy,70,65
58,T30,T28,Alex Prugh,54,65
59,T30,T28,Andrew Putnam,57,65
60,T30,T28,Sam Ryder,52,65
61,T30,T28,Rory Sabbatini,71,65
62,T30,T28,Xander Schauffele,55,65
63,T30,T28,Adam Scott,41,65
64,T30,T28,Ben Silverman,54,65
65,T30,T28,Webb Simpson,53,65
66,T30,T28,Roger Sloan,62,65
67,T30,T28,Cameron Smith,55,65
68,T30,T28,Sepp Straka,48,65
69,T30,T28,Hudson Swafford,59,65
70,T30,T28,Nick Taylor,70,65
71,T30,T28,Justin Thomas,49,65
72,T30,T28,Michael Thompson,56,65
73,T30,T28,Jimmy Walker,61,65
74,T30,T28,Gary Woodland,63,65
75,T76,T72,Abraham Ancer,69,66
76,T76,T72,Sam Burns,66,66
77,T76,T72,Rafa Cabrera Bello,57,66
78,T76,T72,Joel Dahmen,78,66
79,T76,T72,Thomas Detry,4,66
80,T76,T72,Jason Dufner,56,66
81,T76,T72,Tyler Duncan,66,66
82,T76,T72,Paul Dunne,4,66
83,T76,T72,Tony Finau,61,66
84,T76,T72,Doug Ghim,19,66
85,T76,T72,Lucas Glover,62,66
86,T76,T72,Justin Harding,31,66
87,T76,T72,Brandon Harkins,67,66
88,T76,T72,Lee Hodges,4,66
89,T76,T72,Chris Kirk,47,66
90,T76,T72,Russell Knox,65,66
91,T76,T72,Anirban Lahiri,54,66
92,T76,T72,Kyoung-Hoon Lee,72,66
93,T76,T72,David Lipsky,16,66
94,T76,T72,Luke List,52,66
95,T76,T72,Curtis Luck,51,66
96,T76,T72,Ryan Moore,54,66
97,T76,T72,Kevin Na,54,66
98,T76,T72,Joaquin Niemann,68,66
99,T76,T72,"Ted Potter, Jr.",56,66
100,T76,T72,Ian Poulter,49,66
101,T76,T72,Jon Rahm,51,66
102,T76,T164,José de Jesús Rodríguez,51,66
103,T76,T72,Sam Saunders,53,66
104,T76,T72,Brendan Steele,50,66
105,T76,T258,Henrik Stenson,46,66
106,T76,T72,Robert Streb,60,66
107,T76,T72,Kevin Streelman,63,66
108,T76,T72,Chris Stroud,54,66
109,T76,T72,Chris Thompson,34,66
110,T76,T72,Aaron Wise,52,66
111,T76,T72,Y.E. Yang,6,66
112,T113,T108,Anders Albertson,48,67
113,T113,T108,Sangmoon Bae,42,67
114,T113,T108,Alexander Björk,10,67
115,T113,T108,Hayden Buckley,4,67
116,T113,T108,Bronson Burgoon,37,67
117,T113,T108,Patrick Cantlay,49,67
118,T113,T108,Bud Cauley,61,67
119,T113,T108,Minchel Choi,8,67
120,T113,T108,Corey Conners,62,67
121,T113,T108,Roberto Díaz,51,67
122,T113,T108,Eric Dugas,3,67
123,T113,T108,Julián Etulain,55,67
124,T113,T108,Matthew Fitzpatrick,42,67
125,T113,T108,Joey Garber,44,67
126,T113,T108,Fabián Gómez,44,67
127,T113,T108,Talor Gooch,37,67
128,T113,T108,Branden Grace,62,67
129,T113,T108,Brandon Hagy,27,67
130,T113,T108,James Hahn,34,67
131,T113,T108,Jim Herman,37,67
132,T113,T108,Kramer Hickok,59,67
133,T113,T108,Charley Hoffman,58,67
134,T113,T108,J.B. Holmes,54,67
135,T113,T108,Billy Horschel,73,67
136,T113,T108,Charles Howell III,64,67
137,T113,T108,Mackenzie Hughes,58,67
138,T113,T108,John Huh,35,67
139,T113,T108,Shugo Imahira,12,67
140,T113,T108,Freddie Jacobson,37,67
141,T113,T108,Kyle Jones,49,67
142,T113,T108,Andrew Landry,56,67
143,T113,T164,Hank Lebioda,55,67
144,T113,T108,Danny Lee,66,67
145,T113,T108,Davis Love III,29,67
146,T113,T108,Joost Luiten,16,67
147,T113,T108,Peter Malnati,64,67
148,T113,T108,Steve Marino,12,67
149,T113,T108,Graeme McDowell,61,67
150,T113,T108,Troy Merritt,42,67
151,T113,T108,Sebastián Muñoz,58,67
152,T113,T108,Martin Piller,30,67
153,T113,T108,Seamus Power,58,67
154,T113,T108,Jonathan Randolph,4,67
155,T113,T108,Adam Schenk,80,67
156,T113,T108,Ollie Schniederjans,63,67
157,T113,T108,Scott Stallings,63,67
158,T113,T108,Shawn Stefani,57,67
159,T113,T108,Brian Stuard,76,67
160,T113,T108,Vaughn Taylor,69,67
161,T113,T108,Josh Teater,47,67
162,T113,T108,D.J. Trahan,33,67
163,T113,T164,Kevin Tway,62,67
164,T113,T108,Harold Varner III,62,67
165,T113,T108,Jhonattan Vegas,60,67
166,T113,T108,Johnson Wagner,45,67
167,T113,T108,Matt Wallace,31,67
168,T169,T164,Kiradech Aphibarnrat,49,68
169,T169,T164,Shintaro Ban,6,68
170,T169,T164,Jonathan Byrd,43,68
171,T169,T164,Rafael Campos,6,68
172,T169,T164,John Catlin,19,68
173,T169,T164,Alex Cejka,41,68
174,T169,T164,Cameron Champ,58,68
175,T169,T164,Stewart Cink,33,68
176,T169,T164,Jon Curran,12,68
177,T169,T164,Cameron Davis,54,68
178,T169,T164,Bryson DeChambeau,45,68
179,T169,T164,Derek Fathauer,28,68
180,T169,T164,Tommy Fleetwood,43,68
181,T169,T164,Jason Gore,10,68
182,T169,T164,Bill Haas,58,68
183,T169,T164,Seungsu Han,4,68
184,T169,T164,David Hearn,41,68
185,T169,T164,Tim Herron,18,68
186,T169,T164,Tom Hoge,70,68
187,T169,T164,Max Homa,61,68
188,T169,T164,Billy Hurley III,24,68
189,T169,T164,Yuki Inamori,8,68
190,T169,T164,Zach Johnson,50,68
191,T169,T164,Martin Kaymer,38,68
192,T169,T164,Sihwan Kim,8,68
193,T169,T164,Si Woo Kim,65,68
194,T169,T164,Michael Kim,51,68
195,T169,T164,Tae Hee Lee,8,68
196,T169,T164,Marc Leishman,52,68
197,T169,T164,Ben Leong,4,68
198,T169,T164,Haotong Li,32,68
199,T169,T164,Tom Lovelady,27,68
200,T169,T164,Jamie Lovemark,22,68
201,T169,T258,Shane Lowry,30,68
202,T169,T164,Hunter Mahan,45,68
203,T169,T164,Ben Martin,2,68
204,T169,T164,Doyeob Mun,4,68
205,T169,T164,Sean O'Hair,23,68
206,T169,T164,Thorbjørn Olesen,27,68
207,T169,T164,Rod Pampling,40,68
208,T169,T164,Sanghyun Park,15,68
209,T169,T164,Eddie Pepperell,25,68
210,T169,T164,Pat Perez,52,68
211,T169,T164,Chez Reavie,67,68
212,T169,T164,Wes Roach,45,68
213,T169,T164,Justin Rose,42,68
214,T169,T164,Charl Schwartzel,34,68
215,T169,T164,John Senden,39,68
216,T169,T164,Brandt Snedeker,68,68
217,T169,T164,Kyle Stanley,53,68
218,T169,T164,Adam Svensson,51,68
219,T169,T164,Brendon Todd,23,68
220,T169,T164,Cameron Tringale,52,68
221,T169,T220,Danny Willett,47,68
222,T169,T164,Chase Wright,53,68
223,T224,T220,Brad Adamonis,2,69
224,T224,T220,Charlie Beljan,6,69
225,T224,T220,Daniel Berger,48,69
226,T224,T220,Lucas Bjerregaard,37,69
227,T224,T220,Ryan Blaum,67,69
228,T224,,Etienne Brault,2,69
229,T224,T220,Wesley Bryan,9,69
230,T224,T220,John Chin,38,69
231,T224,T258,Chad Collins,25,69
232,T224,,Austin Connelly,4,69
233,T224,T220,Brendon de Jonge,9,69
234,T224,,JC Deacon,2,69
235,T224,T220,Brett Drewitt,4,69
236,T224,T220,Sergio Garcia,39,69
237,T224,T220,Robert Garrigus,20,69
238,T224,T220,Retief Goosen,6,69
239,T224,T220,Cody Gribble,52,69
240,T224,T220,Nick Hardy,6,69
241,T224,T220,Padraig Harrington,17,69
242,T224,T220,Tyrrell Hatton,46,69
243,T224,T220,J.J. Henry,42,69
244,T224,T220,Rikuya Hoshino,4,69
245,T224,T220,Trevor Immelman,12,69
246,T224,T220,Colt Knost,20,69
247,T224,T220,Jim Knous,55,69
248,T224,T220,Rob Labritz,4,69
249,T224,T220,Martin Laird,60,69
250,T224,T220,Will MacKenzie,11,69
251,T224,T220,Parker McLachlin,17,69
252,T224,T220,Maverick McNealy,6,69
253,T224,T220,Francesco Molinari,41,69
254,T224,T220,Thomas Pieters,16,69
255,T224,T220,Davis Riley,4,69
256,T224,T220,Brady Schnell,38,69
257,T224,T220,J.J. Spaun,68,69
258,T224,T220,Richard Sterne,6,69
259,T224,T220,Steve Stricker,20,69
260,T224,T220,Tyrone Van Aswegen,30,69
261,T224,T220,Kristoffer Ventura,8,69
262,T224,T220,Scott Vincent,8,69
263,T224,T258,Nick Watney,67,69
264,T265,T258,Zach Bauchou,4,70
265,T265,T258,Chad Campbell,24,70
266,T265,T258,Daniel Chopra,10,70
267,T265,T258,Chris Couch,8,70
268,T265,T258,Luke Donald,22,70
269,T265,T258,Ben Griffin,6,70
270,T265,T258,Chesson Hadley,58,70
271,T265,T258,Morgan Hoffmann,24,70
