,Tenth_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_4_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_4_Scoring_Average_AVG,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Adam Scott,41,3.55,39,11
1,2,2,Ian Poulter,49,3.76,124,33
2,3,3,Peter Malnati,64,3.81,202,53
3,T4,T4,Tommy Fleetwood,43,3.87,120,31
4,T4,T4,Scott Piercy,70,3.87,526,136
5,T4,T4,Webb Simpson,53,3.87,89,23
6,T7,7,Jordan Spieth,57,3.88,167,43
7,T7,T21,Henrik Stenson,46,3.88,128,33
8,9,8,Rafa Cabrera Bello,57,3.89,315,81
9,T10,T9,Brooks Koepka,49,3.9,39,10
10,T10,T9,Justin Rose,42,3.9,78,20
11,T10,T9,Cameron Smith,55,3.9,339,87
12,T13,T12,Nate Lashley,44,3.91,458,117
13,T13,T12,Sepp Straka,48,3.91,438,112
14,T13,T12,Justin Thomas,49,3.91,43,11
15,T13,T12,Matt Wallace,31,3.91,172,44
16,T17,16,Kevin Kisner,65,3.92,427,109
17,T17,17,Chris Thompson,34,3.92,400,102
18,T19,T18,Aaron Baddeley,51,3.94,501,127
19,T19,T18,Dylan Frittelli,55,3.94,461,117
20,T19,T18,Jon Rahm,51,3.94,122,31
21,T22,T21,Brian Gay,79,3.95,897,227
22,T22,T21,Rory McIlroy,50,3.95,162,41
23,T22,T21,Sam Ryder,52,3.95,375,95
24,T25,T21,Dominic Bozzelli,53,3.96,495,125
25,T25,T26,Patrick Cantlay,49,3.96,210,53
26,T25,T26,Wyndham Clark,61,3.96,634,160
27,T25,T26,Lucas Glover,62,3.96,289,73
28,T25,T26,Charl Schwartzel,34,3.96,285,72
29,T30,T30,Abraham Ancer,69,3.97,389,98
30,T30,T30,Paul Casey,51,3.97,155,39
31,T30,T52,Roberto Castro,54,3.97,540,136
32,T30,T30,Bryson DeChambeau,45,3.97,131,33
33,T30,T30,Talor Gooch,37,3.97,294,74
34,T30,T30,Hideki Matsuyama,59,3.97,123,31
35,T30,T30,Vaughn Taylor,69,3.97,469,118
36,T30,T30,Johnson Wagner,45,3.97,469,118
37,T38,T30,Brice Garnett,63,3.98,773,194
38,T38,T38,Justin Harding,31,3.98,175,44
39,T38,T38,Jason Kokrak,68,3.98,545,137
40,T38,T44,Curtis Luck,51,3.98,581,146
41,T38,T38,Carlos Ortiz,60,3.98,621,156
42,T38,T38,J.T. Poston,76,3.98,513,129
43,T38,T52,D.J. Trahan,33,3.98,326,82
44,T38,T38,Harold Varner III,62,3.98,342,86
45,T46,T44,Roberto Díaz,51,3.99,631,158
46,T46,T44,Joey Garber,44,3.99,427,107
47,T46,T44,Emiliano Grillo,65,3.99,475,119
48,T46,T52,J.B. Holmes,54,3.99,351,88
49,T46,T44,Andrew Landry,56,3.99,427,107
50,T46,T44,Ryan Palmer,56,3.99,335,84
51,T46,T44,Nick Taylor,70,3.99,627,157
52,T53,T83,Scott Brown,66,4.0,432,108
53,T53,T52,Corey Conners,62,4.0,344,86
54,T53,T52,Joel Dahmen,78,4.0,512,128
55,T53,T52,Matt Every,38,4.0,200,50
