,Tenth_Tee_Late_Round_1_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_1_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_1_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_1_Scoring_Average_AVG,Tenth_Tee_Late_Round_1_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Jordan Spieth,64.0,64,1
1,2,2,Matt Every,65.0,130,2
2,T3,T3,Byeong Hun An,66.0,66,1
3,T3,T3,Tony Finau,66.0,66,1
4,T3,T3,Lucas Glover,66.0,66,1
5,T3,,Henrik Stenson,66.0,66,1
6,7,6,J.B. Holmes,67.0,67,1
7,T8,8,Scott Langley,67.25,269,4
8,T8,7,Seth Reeves,67.25,269,4
9,10,9,Marc Leishman,68.0,68,1
10,T11,T10,Dylan Frittelli,68.33,205,3
11,T11,T10,Nate Lashley,68.33,205,3
12,13,12,Rory Sabbatini,68.5,137,2
13,T14,T13,Dominic Bozzelli,68.6,343,5
14,T14,T13,Vaughn Taylor,68.6,343,5
15,T16,T15,Matt Jones,68.67,206,3
16,T16,T15,Chez Reavie,68.67,206,3
17,T18,17,Peter Malnati,68.75,275,4
18,T18,T26,D.J. Trahan,68.75,275,4
19,T20,T18,Keegan Bradley,69.0,345,5
20,T20,T18,Tommy Fleetwood,69.0,207,3
21,T20,T18,Sergio Garcia,69.0,69,1
22,T20,T18,Justin Rose,69.0,69,1
23,T20,T18,Johnson Wagner,69.0,207,3
24,25,23,Ryan Moore,69.17,415,6
25,T26,T24,John Huh,69.25,277,4
26,T26,T24,Troy Merritt,69.25,277,4
27,28,T33,Robert Streb,69.29,485,7
28,29,T26,Kevin Kisner,69.33,208,3
29,T30,T28,Patrick Cantlay,69.5,278,4
30,T30,T28,Corey Conners,69.5,278,4
31,T30,T28,Billy Horschel,69.5,139,2
32,T30,T28,Mackenzie Hughes,69.5,278,4
33,T30,T28,Cameron Smith,69.5,278,4
34,T35,T33,Bronson Burgoon,69.67,209,3
35,T35,T33,Sung Kang,69.67,418,6
36,T35,T33,Hunter Mahan,69.67,209,3
37,T35,T33,Xander Schauffele,69.67,209,3
38,T39,T73,Roberto Castro,69.83,419,6
39,T39,39,Joaquin Niemann,69.83,419,6
40,T39,T58,Kevin Tway,69.83,419,6
41,42,40,Trey Mullinax,69.86,489,7
42,T43,T41,Bud Cauley,70.0,490,7
43,T43,T41,Justin Harding,70.0,140,2
44,T43,T41,David Hearn,70.0,140,2
45,T43,T41,Russell Knox,70.0,350,5
46,T43,T41,Scott Piercy,70.0,210,3
47,T43,T41,Cameron Tringale,70.0,70,1
48,T43,T41,Bubba Watson,70.0,70,1
49,50,49,Brian Gay,70.13,561,8
50,51,50,Roberto Díaz,70.17,421,6
51,T52,T51,Alex Noren,70.25,281,4
52,T52,T51,"Ted Potter, Jr.",70.25,281,4
53,T54,T53,Aaron Baddeley,70.33,211,3
54,T54,T53,Wyndham Clark,70.33,422,6
55,T54,T53,Max Homa,70.33,211,3
56,T54,T53,Stephan Jaeger,70.33,211,3
57,T54,T53,Curtis Luck,70.33,211,3
58,59,T58,Graeme McDowell,70.4,352,5
59,T60,T60,Rafa Cabrera Bello,70.5,141,2
60,T60,T60,Joel Dahmen,70.5,564,8
61,T60,T60,Kyoung-Hoon Lee,70.5,282,4
62,T60,T60,J.T. Poston,70.5,423,6
63,64,64,Sungjae Im,70.57,494,7
64,T65,T65,Branden Grace,70.67,424,6
65,T65,T65,Charl Schwartzel,70.67,212,3
66,T65,T65,John Senden,70.67,212,3
67,T65,T65,Scott Stallings,70.67,636,9
68,T69,T73,Alex Cejka,70.75,283,4
69,T69,T69,Matthew Fitzpatrick,70.75,283,4
70,71,71,Jonas Blixt,70.8,354,5
