,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,T1,T1,Adam Scott,41,65.0,65,1
1,T1,T1,Justin Thomas,49,65.0,65,1
2,3,3,Ian Poulter,49,66.67,200,3
3,4,4,Jordan Spieth,57,67.5,270,4
4,5,5,Jon Rahm,51,68.33,205,3
5,T6,T6,Justin Rose,42,68.5,137,2
6,T6,T6,Webb Simpson,53,68.5,137,2
7,8,8,Scott Piercy,70,68.54,891,13
8,9,9,Cameron Smith,55,68.63,549,8
9,10,10,Peter Malnati,64,68.8,344,5
10,11,11,Dominic Bozzelli,53,68.83,826,12
11,12,12,Xander Schauffele,55,68.88,551,8
12,T13,T13,Tommy Fleetwood,43,69.0,207,3
13,T13,T72,Henrik Stenson,46,69.0,207,3
14,T15,15,Rafa Cabrera Bello,57,69.13,553,8
15,T15,T13,Trey Mullinax,67,69.13,1106,16
16,17,16,Matt Every,38,69.2,346,5
17,18,17,Vaughn Taylor,69,69.27,762,11
18,T19,T18,Dylan Frittelli,55,69.36,763,11
19,T19,T18,Nate Lashley,44,69.36,763,11
20,21,20,Wyndham Clark,61,69.4,1041,15
21,22,21,Rory Sabbatini,71,69.42,833,12
22,23,22,Abraham Ancer,69,69.44,625,9
23,T24,T36,J.B. Holmes,54,69.5,556,8
24,T24,T36,D.J. Trahan,33,69.5,556,8
25,26,23,Lucas Glover,62,69.57,487,7
26,27,24,Aaron Baddeley,51,69.58,835,12
27,28,25,Kevin Kisner,65,69.6,696,10
28,29,26,Kyoung-Hoon Lee,72,69.63,1114,16
29,30,27,Sergio Garcia,39,69.67,209,3
