,Top_5_Final_Round_Performance_RANK THIS WEEK,Top_5_Final_Round_Performance_RANK LAST WEEK,Top_5_Final_Round_Performance_PLAYER NAME,Top_5_Final_Round_Performance_EVENTS,Top_5_Final_Round_Performance_% TIMES IMPROVED,Top_5_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Ryan Blaum,21,100.0,1.0
1,T1,T1,Bronson Burgoon,14,100.0,1.0
2,T1,T1,Sam Burns,22,100.0,1.0
3,T1,T1,Rafa Cabrera Bello,15,100.0,1.0
4,T1,T1,Paul Casey,15,100.0,2.0
5,T1,T1,Corey Conners,20,100.0,3.0
6,T1,T1,Joel Dahmen,22,100.0,1.0
7,T1,T1,Jason Dufner,19,100.0,1.0
8,T1,T1,Tyler Duncan,22,100.0,1.0
9,T1,T1,Tony Finau,17,100.0,3.0
10,T1,T1,Matthew Fitzpatrick,11,100.0,1.0
11,T1,T1,Rickie Fowler,14,100.0,2.0
12,T1,T1,Talor Gooch,12,100.0,1.0
13,T1,T1,Charley Hoffman,18,100.0,1.0
14,T1,T1,J.B. Holmes,18,100.0,1.0
15,T1,T1,Max Homa,19,100.0,1.0
16,T1,T1,Matt Jones,19,100.0,1.0
17,T1,T1,Sung Kang,20,100.0,1.0
18,T1,T1,Martin Kaymer,11,100.0,1.0
19,T1,T1,Si Woo Kim,20,100.0,1.0
20,T1,T1,Brooks Koepka,13,100.0,4.0
21,T1,T1,Jason Kokrak,17,100.0,1.0
22,T1,T1,Kelly Kraft,23,100.0,1.0
23,T1,T1,Matt Kuchar,16,100.0,4.0
24,T1,T1,Danny Lee,20,100.0,1.0
25,T1,T1,Marc Leishman,14,100.0,3.0
26,T1,T1,Adam Long,19,100.0,1.0
27,T1,999,Shane Lowry,10,100.0,2.0
28,T1,T1,Graeme McDowell,16,100.0,1.0
29,T1,T1,Phil Mickelson,13,100.0,2.0
30,T1,T1,Francesco Molinari,10,100.0,1.0
31,T1,T1,Kevin Na,15,100.0,1.0
32,T1,T1,Louis Oosthuizen,12,100.0,1.0
33,T1,T1,Ryan Palmer,16,100.0,1.0
34,T1,T1,C.T. Pan,19,100.0,2.0
35,T1,T1,Andrew Putnam,17,100.0,2.0
36,T1,T1,Justin Rose,11,100.0,2.0
37,T1,T1,Sam Ryder,16,100.0,1.0
38,T1,T1,Xander Schauffele,15,100.0,2.0
39,T1,T1,Webb Simpson,14,100.0,3.0
40,T1,T1,Brandt Snedeker,18,100.0,2.0
41,T1,T1,J.J. Spaun,20,100.0,1.0
42,T1,T1,Robert Streb,21,100.0,1.0
