,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Sungjae Im,88,343
1,2,3,Adam Schenk,80,295
2,3,2,Joel Dahmen,78,291
3,4,4,Gary Woodland,63,280
4,5,8,Brian Gay,79,272
5,6,5,Rory Sabbatini,71,271
6,7,T6,Scott Piercy,70,270
7,8,T6,Si Woo Kim,65,266
8,9,9,Jason Kokrak,68,261
9,10,10,Vaughn Taylor,69,259
10,11,11,Brian Stuard,76,257
11,T12,T12,Kyoung-Hoon Lee,72,256
12,T12,T12,J.T. Poston,76,256
13,14,14,Beau Hossler,66,255
14,T15,15,Abraham Ancer,69,253
15,T15,17,Brandon Harkins,67,253
16,17,16,Sung Kang,67,250
17,18,T30,Matt Kuchar,65,249
18,19,T18,Wyndham Clark,61,248
19,T20,T30,Danny Lee,66,247
20,T20,22,Nick Watney,67,247
21,22,T34,Brandt Snedeker,68,245
22,T23,T23,Bud Cauley,61,244
23,T23,T30,Adam Hadwin,66,244
24,T23,41,J.J. Spaun,68,244
25,T23,38,Nick Taylor,70,244
26,27,T18,Keith Mitchell,64,243
27,T28,T39,Jonas Blixt,66,242
28,T28,T34,Harris English,72,242
29,T28,T20,Charles Howell III,64,242
30,T28,T20,Matt Jones,67,242
31,32,T23,Cameron Champ,58,239
32,T33,T25,Emiliano Grillo,65,238
33,T33,T25,Hideki Matsuyama,59,238
34,T35,T34,Trey Mullinax,67,233
35,T35,27,Chez Reavie,67,233
36,37,28,Sam Burns,66,232
37,T38,29,Ryan Blaum,67,231
38,T38,T42,Denny McCarthy,63,231
39,T38,T51,Peter Uihlein,65,231
40,41,T30,Jordan Spieth,57,230
41,T42,T34,C.T. Pan,64,229
42,T42,T55,Roger Sloan,62,229
43,T44,T51,Ryan Armour,66,227
44,T44,T39,Rickie Fowler,54,227
45,46,T61,Peter Malnati,64,226
46,T47,T42,Billy Horschel,73,225
47,T47,T47,Ollie Schniederjans,63,225
48,T49,T63,Ryan Palmer,56,224
49,T49,T44,Kevin Streelman,63,224
50,T49,T44,Jhonattan Vegas,60,224
51,T52,T51,Tom Hoge,70,223
52,T52,T55,Richy Werenski,63,223
53,T54,58,Kelly Kraft,67,222
54,T54,46,Xander Schauffele,55,222
55,T56,T69,Scott Brown,66,221
56,T56,T63,Harold Varner III,62,221
57,T58,T47,Tony Finau,61,220
58,T58,T47,Lucas Glover,62,220
59,T58,75,Sebastián Muñoz,58,220
60,T58,T47,Andrew Putnam,57,220
61,T58,54,Scott Stallings,63,220
62,63,T61,Brice Garnett,63,218
63,64,74,Justin Thomas,49,217
64,65,T55,Rafa Cabrera Bello,57,216
65,T66,T66,Corey Conners,62,215
66,T66,T72,Tyler Duncan,66,215
67,T68,T76,Keegan Bradley,65,214
68,T68,71,Joaquin Niemann,68,214
69,T70,59,Michael Thompson,56,213
70,T70,T66,Aaron Wise,52,213
71,72,60,Russell Knox,65,212
72,T73,81,Dominic Bozzelli,53,210
73,T73,T90,Graeme McDowell,61,210
74,75,T72,Kramer Hickok,59,209
75,T76,T93,Brian Harman,67,208
76,T76,65,Sam Ryder,52,208
77,T78,T66,Byeong Hun An,54,207
78,T78,T87,Martin Laird,60,207
79,T78,97,Hank Lebioda,55,207
80,T78,T90,Kevin Tway,62,207
81,82,T69,Ryan Moore,54,206
82,83,T78,Hudson Swafford,59,204
83,T84,T83,Cameron Davis,54,201
84,T84,T76,Kevin Kisner,65,201
85,T84,T114,Rory McIlroy,50,201
86,T87,T78,Patton Kizzire,58,200
87,T87,T78,Marc Leishman,52,200
88,89,T101,Scott Langley,60,199
89,90,82,Max Homa,61,197
90,T91,T83,Aaron Baddeley,51,196
91,T91,T83,Jason Dufner,56,196
92,T91,T83,Chesson Hadley,58,196
93,T91,T93,Carlos Ortiz,60,196
94,T91,100,Jimmy Walker,61,196
95,T96,T87,Patrick Cantlay,49,195
96,T96,T106,Stephan Jaeger,59,195
97,T96,T87,"Ted Potter, Jr.",56,195
98,99,T90,Luke List,52,194
99,T100,T93,Charley Hoffman,58,193
100,T100,T114,Webb Simpson,53,193
101,102,96,Cameron Smith,55,192
102,103,T123,Dustin Johnson,47,190
103,T104,T106,Whee Kim,57,188
104,T104,98,Jon Rahm,51,188
105,T104,103,Shawn Stefani,57,188
106,T104,T101,Chase Wright,53,188
107,T108,99,Bryson DeChambeau,45,187
108,T108,T123,José de Jesús Rodríguez,51,187
109,T108,T120,Robert Streb,60,187
110,T111,T120,Brooks Koepka,49,186
111,T111,T118,Ben Silverman,54,186
112,113,T134,Cameron Tringale,52,185
113,114,T129,Mackenzie Hughes,58,184
114,T115,T131,Jim Knous,55,182
115,T115,T104,Pat Perez,52,182
116,T115,T104,Patrick Reed,53,182
117,T115,T110,Seth Reeves,52,182
118,T119,T114,Julián Etulain,55,180
119,T119,T108,Branden Grace,62,180
120,T119,T108,Andrew Landry,56,180
121,T122,T123,Austin Cook,50,179
122,T122,137,Dylan Frittelli,55,179
123,T122,T120,J.B. Holmes,54,179
124,T122,T118,Martin Trainer,51,179
125,T126,T110,Paul Casey,51,178
126,T126,T123,Bill Haas,58,178
127,T126,T138,Sepp Straka,48,178
128,T129,112,Jason Day,45,177
129,T129,T123,Sam Saunders,53,177
130,T129,T131,Adam Svensson,51,177
131,132,113,Anirban Lahiri,54,176
132,T133,T114,Kiradech Aphibarnrat,49,175
133,T133,T148,Daniel Berger,48,175
134,T133,T131,Russell Henley,56,175
135,T136,T148,Roberto Castro,54,173
136,T136,T138,Curtis Luck,51,173
137,T138,T148,Jim Furyk,53,172
138,T138,T123,Brendan Steele,50,172
139,T140,T129,Kevin Na,54,171
140,T140,T138,Seamus Power,58,171
141,142,T138,Alex Prugh,54,168
142,T143,T145,Roberto Díaz,51,167
143,T143,T134,Ian Poulter,49,167
144,T145,136,Adam Scott,41,166
145,T145,142,Chris Stroud,54,166
146,T145,164,Danny Willett,47,166
147,T148,162,Cody Gribble,52,163
148,T148,T148,Johnson Wagner,45,163
149,150,163,Zach Johnson,50,162
150,T151,T157,Anders Albertson,48,161
151,T151,T143,Satoshi Kodaira,51,161
152,T151,T143,Patrick Rodgers,44,161
153,T154,T145,Tyrrell Hatton,46,160
154,T154,156,Nate Lashley,44,160
155,T154,T145,Adam Long,52,160
156,T154,T159,Josh Teater,47,160
157,T158,T148,Hunter Mahan,45,159
158,T158,T148,Phil Mickelson,41,159
159,160,154,Justin Rose,42,158
160,161,155,Troy Merritt,42,157
161,162,T157,Chris Kirk,47,154
162,163,T167,Talor Gooch,37,153
163,164,T170,Jonathan Byrd,43,152
164,T165,T159,Michael Kim,51,151
165,T165,T159,Kyle Stanley,53,151
166,167,166,Alex Noren,49,150
167,T168,165,Matt Every,38,146
168,T168,T172,Bubba Watson,47,146
169,170,T167,Fabián Gómez,44,144
170,171,179,Wes Roach,45,143
171,172,T172,Kyle Jones,49,142
172,173,180,Ben Crane,41,141
173,174,169,Martin Kaymer,38,136
174,T175,T185,Sangmoon Bae,42,135
175,T175,T170,Matthew Fitzpatrick,42,135
176,177,178,John Chin,38,134
177,T178,T174,Ernie Els,43,132
178,T178,T174,Grayson Murray,36,132
