,Total_Eagles_RANK THIS WEEK,Total_Eagles_RANK LAST WEEK,Total_Eagles_PLAYER NAME,Total_Eagles_ROUNDS,Total_Eagles_TOTAL
0,T1,T1,Sam Burns,66,13
1,T1,T1,Keith Mitchell,64,13
2,T3,3,Paul Casey,51,12
3,T3,T4,Rory McIlroy,50,12
4,T5,T32,Sungjae Im,88,11
5,T5,T4,J.T. Poston,76,11
6,T5,T6,Justin Thomas,49,11
7,T8,T6,Rickie Fowler,54,10
8,T8,T6,Dylan Frittelli,55,10
9,T8,T6,Emiliano Grillo,65,10
10,T8,T6,Max Homa,61,10
11,T12,T11,Harris English,72,9
12,T12,T11,Brooks Koepka,49,9
13,T12,T11,Kevin Na,54,9
14,T12,T11,Adam Schenk,80,9
15,T12,T11,Jhonattan Vegas,60,9
16,T17,T16,Tony Finau,61,8
17,T17,T16,Tommy Fleetwood,43,8
18,T17,T16,Branden Grace,62,8
19,T17,T16,Cody Gribble,52,8
20,T17,T50,Adam Hadwin,66,8
21,T17,T16,James Hahn,34,8
22,T17,T16,Sung Kang,67,8
23,T17,T16,Marc Leishman,52,8
24,T17,T16,Luke List,52,8
25,T17,T16,Adam Long,52,8
26,T17,T32,Joaquin Niemann,68,8
27,T17,T16,Carlos Ortiz,60,8
28,T17,T16,Scott Piercy,70,8
29,T17,T16,Seamus Power,58,8
30,T17,T16,Chez Reavie,67,8
31,T17,T16,Sam Ryder,52,8
32,T17,T16,Xander Schauffele,55,8
33,T17,T16,Gary Woodland,63,8
34,T35,T32,Keegan Bradley,65,7
35,T35,T32,Rafa Cabrera Bello,57,7
36,T35,T32,Cameron Champ,58,7
37,T35,T32,Tyler Duncan,66,7
38,T35,T32,Charles Howell III,64,7
39,T35,T32,Zach Johnson,50,7
40,T35,T32,Matt Jones,67,7
41,T35,T50,Martin Laird,60,7
42,T35,T32,Danny Lee,66,7
43,T35,T32,Ryan Moore,54,7
44,T35,T32,Jon Rahm,51,7
45,T35,T32,Seth Reeves,52,7
46,T35,T32,Patrick Rodgers,44,7
47,T35,T32,Roger Sloan,62,7
48,T35,T32,Kyle Stanley,53,7
49,T35,T32,Adam Svensson,51,7
50,T35,T32,Hudson Swafford,59,7
51,T52,T72,Jonas Blixt,66,6
52,T52,T72,Scott Brown,66,6
53,T52,T50,Joel Dahmen,78,6
54,T52,T50,Jason Day,45,6
55,T52,T50,Matthew Fitzpatrick,42,6
56,T52,T50,Chris Kirk,47,6
57,T52,T50,Patton Kizzire,58,6
58,T52,T50,Troy Merritt,42,6
59,T52,T50,Sebastián Muñoz,58,6
60,T52,T50,Trey Mullinax,67,6
61,T52,T50,Grayson Murray,36,6
62,T52,T50,Pat Perez,52,6
63,T52,T50,Patrick Reed,53,6
64,T52,T50,Justin Rose,42,6
65,T52,T50,Ollie Schniederjans,63,6
66,T52,T50,Adam Scott,41,6
67,T52,T50,Webb Simpson,53,6
68,T52,T50,Scott Stallings,63,6
69,T52,T50,Chris Stroud,54,6
70,T52,T72,Nick Taylor,70,6
71,T52,T50,Michael Thompson,56,6
72,T52,T50,Nick Watney,67,6
73,T52,T72,Bubba Watson,47,6
74,T52,T50,Richy Werenski,63,6
75,T76,T72,Abraham Ancer,69,5
76,T76,T100,Sangmoon Bae,42,5
77,T76,T72,Lucas Bjerregaard,37,5
78,T76,T72,Ryan Blaum,67,5
79,T76,T72,Patrick Cantlay,49,5
80,T76,T72,Bud Cauley,61,5
81,T76,T72,Julián Etulain,55,5
82,T76,T72,Brice Garnett,63,5
83,T76,T72,Brian Gay,79,5
84,T76,T72,Lucas Glover,62,5
85,T76,T72,Fabián Gómez,44,5
86,T76,T72,Bill Haas,58,5
87,T76,T72,Chesson Hadley,58,5
88,T76,T72,Charley Hoffman,58,5
89,T76,T72,Billy Horschel,73,5
90,T76,T72,Mackenzie Hughes,58,5
91,T76,T72,Freddie Jacobson,37,5
92,T76,T72,Si Woo Kim,65,5
93,T76,T72,Kelly Kraft,67,5
94,T76,T72,Matt Kuchar,65,5
95,T76,T72,Scott Langley,60,5
96,T76,T72,C.T. Pan,64,5
97,T76,T72,Alex Prugh,54,5
98,T76,T100,Wes Roach,45,5
99,T76,T72,Rory Sabbatini,71,5
100,T76,T72,Vaughn Taylor,69,5
101,T76,T126,Peter Uihlein,65,5
102,T76,999,Tyrone Van Aswegen,30,5
103,T104,T100,Byeong Hun An,54,4
104,T104,T126,Dominic Bozzelli,53,4
105,T104,T100,Jonathan Byrd,43,4
106,T104,T126,Wyndham Clark,61,4
107,T104,T100,Roberto Díaz,51,4
108,T104,T100,Bryson DeChambeau,45,4
109,T104,T100,Jason Dufner,56,4
110,T104,T100,Matt Every,38,4
111,T104,T126,Joey Garber,44,4
112,T104,T100,Brandon Harkins,67,4
113,T104,T100,Brian Harman,67,4
114,T104,T100,Russell Henley,56,4
115,T104,T126,Kramer Hickok,59,4
116,T104,T126,Tom Hoge,70,4
117,T104,T100,Beau Hossler,66,4
118,T104,T100,Stephan Jaeger,59,4
119,T104,T100,Jim Knous,55,4
