,Best_Rounds_in_60s_Streak_RANK THIS WEEK,Best_Rounds_in_60s_Streak_RANK LAST WEEK,Best_Rounds_in_60s_Streak_PLAYER NAME,Best_Rounds_in_60s_Streak_CAREER BEST STREAK,Best_Rounds_in_60s_Streak_BEST YTD STREAK,Best_Rounds_in_60s_Streak_CURRENT STREAK
0,1,1,Bob Estes,17,,
1,T2,T2,Tony Finau,16,11.0,
2,T2,T2,Charles Howell III,16,9.0,
3,T4,T4,Chris DiMarco,14,,
4,T4,T4,Scott Hoch,14,,
5,T4,T4,Dustin Johnson,14,14.0,
6,T4,T4,Luke List,14,4.0,
7,T4,T4,Johnson Wagner,14,4.0,
8,T4,T4,Tiger Woods,14,2.0,
9,T10,T10,Brendon de Jonge,13,2.0,
10,T10,T10,Harrison Frazar,13,,
11,T10,T10,Chris Kirk,13,3.0,
12,T10,T10,Danny Lee,13,5.0,
13,T10,T10,Davis Love III,13,5.0,
14,T10,T10,Hideki Matsuyama,13,5.0,
15,T10,T10,Scott Piercy,13,7.0,
16,T10,T10,Webb Simpson,13,8.0,
17,T18,T18,Briny Baird,12,,
18,T18,T18,Joe Durant,12,,
19,T18,T18,Billy Horschel,12,3.0,
20,T18,T18,Shigeki Maruyama,12,,
21,T18,T18,Sean O'Hair,12,4.0,
22,T18,T18,Mark O'Meara,12,,
23,T18,T18,Tim Petrovic,12,,
24,T18,T18,Chez Reavie,12,12.0,
25,T18,T18,Chris Riley,12,,
26,T18,T18,Kevin Sutherland,12,,
27,T18,T18,Justin Thomas,12,8.0,
28,T18,T18,David Toms,12,1.0,
29,T30,T30,Brian Bateman,11,,
30,T30,T30,Steven Bowditch,11,,
31,T30,T30,Jonathan Byrd,11,3.0,
32,T30,T30,Ben Crane,11,3.0,
33,T30,T30,Jason Day,11,4.0,
34,T30,T30,David Edwards,11,,
35,T30,T30,Jim Furyk,11,4.0,
36,T30,T30,J.P. Hayes,11,,
37,T30,T30,Jerry Kelly,11,1.0,
38,T30,T30,Bernhard Langer,11,,
39,T30,T30,Jamie Lovemark,11,4.0,
40,T30,T30,Mark McCumber,11,,
41,T30,T30,Rory McIlroy,11,4.0,
42,T30,T30,Jerry Pate,11,,
43,T30,T30,Kenny Perry,11,1.0,
44,T30,T30,John Senden,11,1.0,
45,T30,T30,J.J. Spaun,11,11.0,
46,T30,T30,Scott Verplank,11,,
47,T48,T48,Woody Austin,10,,
48,T48,T48,Chad Campbell,10,1.0,
49,T48,T48,Fred Couples,10,1.0,
50,T48,T48,Brian Davis,10,1.0,
51,T48,T48,Steve Flesch,10,,
52,T48,T48,Carlos Franco,10,,
53,T48,T48,David Frost,10,,
54,T48,T48,Fred Funk,10,,
55,T48,T48,Robert Gamez,10,,
56,T48,T48,Lucas Glover,10,8.0,
57,T48,T48,Retief Goosen,10,1.0,
58,T48,T48,Bill Haas,10,3.0,
59,T48,T48,Zach Johnson,10,3.0,
60,T48,T48,Brooks Koepka,10,6.0,
61,T48,T48,Matt Kuchar,10,8.0,
62,T48,T48,Rocco Mediate,10,,
63,T48,T48,Ryan Moore,10,3.0,
64,T48,T48,Corey Pavin,10,,
65,T48,T48,David Peoples,10,,
66,T48,T48,Pat Perez,10,5.0,
67,T48,T48,Tom Pernice Jr.,10,,
68,T48,T48,Carl Pettersson,10,,
69,T48,T48,Mike Reid,10,,
70,T48,T48,Loren Roberts,10,,
71,T48,T48,Gene Sauers,10,,
72,T48,T48,Tom Sieckmann,10,,
73,T48,T48,Joey Sindelar,10,,
74,T48,T48,Chris Smith,10,,
75,T48,T48,Brandt Snedeker,10,7.0,
76,T48,T48,Kevin Streelman,10,7.0,
77,T48,T48,Jhonattan Vegas,10,6.0,
78,T48,T48,Grant Waite,10,,
79,T48,T48,Richy Werenski,10,7.0,
80,T81,T81,Billy Andrade,9,,
81,T81,T81,Stuart Appleby,9,2.0,
82,T81,T81,Tommy Armour III,9,,
83,T81,T81,Aaron Baddeley,9,4.0,
84,T81,T81,Cameron Beckman,9,,
85,T81,T81,Notah Begay III,9,,
86,T81,T81,Bart Bryant,9,,
87,T81,T81,Brad Bryant,9,,
88,T81,T81,Mark Calcavecchia,9,,
89,T81,T81,Bud Cauley,9,5.0,
90,T81,T81,K.J. Choi,9,2.0,
91,T81,T81,Stewart Cink,9,3.0,
92,T81,T81,Lennie Clements,9,,
93,T81,T81,Jason Dufner,9,3.0,
94,T81,T81,Ernie Els,9,3.0,
95,T81,T81,Rickie Fowler,9,8.0,
96,T81,T81,Sergio Garcia,9,3.0,
97,T81,T81,Brian Gay,9,9.0,
98,T81,T81,Talor Gooch,9,9.0,
99,T81,T81,Paul Goydos,9,,
100,T81,T81,Jay Haas,9,,
101,T81,T81,Brian Harman,9,3.0,
102,T81,T81,Padraig Harrington,9,4.0,
103,T81,T81,Russell Henley,9,4.0,
104,T81,T81,Charley Hoffman,9,3.0,
105,T81,T81,John Huston,9,,
106,T81,T81,Tom Lehman,9,,
107,T81,T81,Justin Leonard,9,,
108,T81,T81,Steve Marino,9,3.0,
109,T81,T81,Ben Martin,9,1.0,
110,T81,T81,Troy Matteson,9,,
111,T81,T81,Blaine McCallister,9,,
112,T81,T81,Phil Mickelson,9,5.0,
113,T81,T81,Francesco Molinari,9,2.0,
114,T81,T81,Gil Morgan,9,,
115,T81,T81,Kevin Na,9,4.0,
116,T81,T81,Henrik Norlander,9,1.0,
117,T81,T81,Greg Norman,9,,
118,T81,T81,Jesper Parnevik,9,,
119,T81,T81,Cameron Percy,9,,
120,T81,T81,Chris Perry,9,,
121,T81,T81,J.T. Poston,9,9.0,
122,T81,T81,Justin Rose,9,4.0,
