,Best_Sub-Par_Rounds_Streak_RANK THIS WEEK,Best_Sub-Par_Rounds_Streak_RANK LAST WEEK,Best_Sub-Par_Rounds_Streak_PLAYER NAME,Best_Sub-Par_Rounds_Streak_CAREER BEST STREAK,Best_Sub-Par_Rounds_Streak_BEST YTD STREAK,Best_Sub-Par_Rounds_Streak_CURRENT STREAK
0,1,1,Tim Petrovic,26,,
1,2,2,Jeff Sluman,23,,
2,T3,T3,Tim Clark,22,,
3,T3,T3,Fred Couples,22,2.0,
4,T3,T3,Scott McCarron,22,,
5,T6,T6,Stuart Appleby,21,5.0,
6,T6,T6,Bob Estes,21,,
7,T6,T6,Hideki Matsuyama,21,7.0,
8,T6,T6,Scott Verplank,21,,
9,T10,T10,Jay Don Blake,20,,
10,T10,T10,Harris English,20,13.0,
11,T10,T10,Joey Sindelar,20,,
12,T13,T13,Ben Crane,19,5.0,
13,T13,T13,Joe Durant,19,,
14,T13,T13,Bill Haas,19,6.0,
15,T13,T13,Jesper Parnevik,19,,
16,T13,T13,Dan Pohl,19,,
17,T13,T13,Jordan Spieth,19,3.0,
18,T19,T19,Glen Day,18,,
19,T19,T19,Chris DiMarco,18,,
20,T19,T19,Retief Goosen,18,1.0,
21,T19,T19,Charles Howell III,18,13.0,
22,T19,T19,Martin Laird,18,5.0,
23,T19,T19,Ryan Moore,18,5.0,
24,T19,T19,Craig Parry,18,,
25,T19,T19,Pat Perez,18,5.0,
26,T19,T19,Webb Simpson,18,16.0,
27,T19,T19,Henrik Stenson,18,7.0,
28,T29,T29,Ronnie Black,17,,
29,T29,T29,Jonathan Byrd,17,6.0,
30,T29,T29,Brendon de Jonge,17,3.0,
31,T29,T29,Bryson DeChambeau,17,15.0,
32,T29,T29,Luke Donald,17,4.0,
33,T29,T29,Ed Fiori,17,,
34,T29,T29,Donnie Hammond,17,,
35,T29,T29,Jerry Kelly,17,1.0,
36,T29,T29,Chris Kirk,17,5.0,
37,T29,T29,Russell Knox,17,6.0,
38,T29,T29,Roger Maltbie,17,,
39,T29,T29,Shigeki Maruyama,17,,
40,T29,T29,Mark O'Meara,17,,
41,T29,T29,Chez Reavie,17,12.0,
42,T29,T29,Vijay Singh,17,2.0,
43,T29,T29,Kirk Triplett,17,,
44,T29,T29,Harold Varner III,17,17.0,
45,T29,T29,Tiger Woods,17,5.0,
46,T47,T47,Ryan Blaum,16,6.0,
47,T47,T47,Tony Finau,16,16.0,
48,T47,T47,Ken Green,16,,
49,T47,T47,Lee Janzen,16,,
50,T47,T47,Matt Kuchar,16,9.0,
51,T47,T47,Luke List,16,10.0,
52,T47,T47,Troy Matteson,16,,
53,T47,T47,Blaine McCallister,16,,
54,T47,T47,Rory McIlroy,16,8.0,
55,T47,T47,Steve Pate,16,,
56,T47,T47,Corey Pavin,16,,
57,T47,T47,Kenny Perry,16,2.0,
58,T47,T47,D.A. Points,16,1.0,
59,T47,T47,Chris Riley,16,,
60,T47,T47,Patrick Rodgers,16,12.0,
61,T47,T47,Jimmy Walker,16,5.0,
62,T47,T47,Mike Weir,16,2.0,
63,T47,T47,Richy Werenski,16,8.0,
64,T65,T65,Stephen Ames,15,,
65,T65,T65,Brian Davis,15,1.0,
66,T65,T65,Carlos Franco,15,,
67,T65,T65,Jim Furyk,15,7.0,
68,T65,T65,Scott Hoch,15,,
69,T65,T65,Kevin Kisner,15,10.0,
70,T65,T65,Tom Kite,15,,
71,T65,T65,Marc Leishman,15,12.0,
72,T65,T65,Davis Love III,15,5.0,
73,T65,T65,Andrew Magee,15,,
74,T65,T65,Graeme McDowell,15,15.0,
75,T65,T65,Patrick Reed,15,10.0,
76,T65,T65,Xander Schauffele,15,15.0,
77,T65,T65,Scott Simpson,15,,
78,T65,T65,Chris Smith,15,,
79,T65,T65,Craig Stadler,15,,
80,T65,T65,Kevin Streelman,15,7.0,
81,T65,T65,Bob Tway,15,,
82,T65,T65,Johnson Wagner,15,4.0,
83,T84,T84,Robert Allenby,14,1.0,
84,T84,T84,Woody Austin,14,,
85,T84,T84,Brian Bateman,14,,
86,T84,T84,Chad Campbell,14,1.0,
87,T84,T84,Russ Cochran,14,,
88,T84,T84,Marco Dawson,14,,
89,T84,T84,Steve Flesch,14,,
90,T84,T84,Rickie Fowler,14,8.0,
91,T84,T84,Brent Geiberger,14,,
92,T84,T84,Mathew Goggin,14,,
93,T84,T84,John Huston,14,,
94,T84,T84,Freddie Jacobson,14,2.0,
95,T84,T84,Zach Johnson,14,5.0,
96,T84,T84,Dustin Johnson,14,14.0,
97,T84,T84,Kent Jones,14,,
98,T84,T84,Danny Lee,14,5.0,
99,T84,T84,Justin Leonard,14,,
100,T84,T84,Frank Lickliter II,14,1.0,
101,T84,T84,Peter Lonard,14,,
102,T84,T84,Jeff Maggert,14,,
103,T84,T84,Rocco Mediate,14,,
104,T84,T84,Joe Ogilvie,14,,
105,T84,T84,Loren Roberts,14,,
106,T84,T84,Bo Van Pelt,14,,
107,T84,T84,Grant Waite,14,,
108,T84,T84,Mark Wilson,14,2.0,
109,T110,T110,Billy Andrade,13,,
110,T110,T110,Paul Azinger,13,,
111,T110,T110,Briny Baird,13,,
112,T110,T110,Cameron Beckman,13,,
113,T110,T110,Jason Bohn,13,1.0,
114,T110,T110,Bart Bryant,13,,
115,T110,T110,Brad Bryant,13,,
116,T110,T110,Rex Caldwell,13,,
117,T110,T110,John Cook,13,,
118,T110,T110,Ben Curtis,13,,
119,T110,T110,Jason Day,13,7.0,
120,T110,T110,Jay Delsing,13,,
121,T110,T110,David Duval,13,1.0,
122,T110,T110,Steve Elkington,13,,
123,T110,T110,Julián Etulain,13,7.0,
124,T110,T110,Rick Fehr,13,,
125,T110,T110,Dan Forsman,13,,
126,T110,T110,Harrison Frazar,13,,
127,T110,T110,David Frost,13,,
128,T110,T110,Fred Funk,13,,
129,T110,T110,Buddy Gardner,13,,
130,T110,T110,Brian Gay,13,10.0,
131,T110,T110,Jim Herman,13,6.0,
132,T110,T110,Tim Herron,13,2.0,
133,T110,T110,Charley Hoffman,13,8.0,
134,T110,T110,J.B. Holmes,13,8.0,
135,T110,T110,Peter Jacobsen,13,,
136,T110,T110,Neal Lancaster,13,,
137,T110,T110,Bernhard Langer,13,1.0,
138,T110,T110,Tom Lehman,13,,
139,T110,T110,Mark McCumber,13,,
140,T110,T110,Phil Mickelson,13,5.0,
141,T110,T110,Bryce Molder,13,,
142,T110,T110,Francesco Molinari,13,5.0,
143,T110,T110,Henrik Norlander,13,1.0,
144,T110,T110,David Peoples,13,,
145,T110,T110,Scott Piercy,13,9.0,
146,T110,T110,Seamus Power,13,6.0,
147,T110,T110,Ted Purdy,13,,
148,T110,T110,Mike Reid,13,,
149,T110,T110,Dave Rummells,13,,
150,T110,T110,Tom Sieckmann,13,,
151,T110,T110,Tony Sills,13,,
152,T110,T110,Brandt Snedeker,13,8.0,
153,T110,T110,J.J. Spaun,13,13.0,
154,T110,T110,Curtis Strange,13,,
155,T110,T110,Robert Streb,13,6.0,
156,T110,T110,Mike Sullivan,13,,
157,T110,T110,David Toms,13,1.0,
158,T110,T110,Cameron Tringale,13,8.0,
159,T110,T110,Duffy Waldorf,13,,
160,T110,T110,Bubba Watson,13,3.0,
161,T110,T110,Tim Wilkinson,13,1.0,
162,T163,T163,Aaron Baddeley,12,8.0,
163,T163,T163,Ricky Barnes,12,2.0,
164,T163,T163,Dave Barr,12,,
165,T163,T163,Mark Brooks,12,,
166,T163,T163,Mark Calcavecchia,12,,
167,T163,T163,Greg Chalmers,12,,
168,T163,T163,Stewart Cink,12,4.0,
169,T163,T163,Danny Edwards,12,,
170,T163,T163,David Edwards,12,,
171,T163,T163,Joel Edwards,12,,
172,T163,T163,Brad Faxon,12,,
173,T163,T163,Robert Gamez,12,,
174,T163,T163,Lucas Glover,12,8.0,
175,T163,T163,Paul Goydos,12,,
176,T163,T163,Nathan Green,12,,
177,T163,T163,Jay Haas,12,,
178,T163,T163,Mike Heinen,12,,
179,T163,T163,Tom Hoge,12,4.0,
180,T163,T163,Billy Horschel,12,7.0,
181,T163,T163,Richard Johnson,12,,
182,T163,T163,Jonathan Kaye,12,,
183,T163,T163,Skip Kendall,12,,
184,T163,T163,Si Woo Kim,12,6.0,
185,T163,T163,Gary Koch,12,,
186,T163,T163,Jason Kokrak,12,8.0,
187,T163,T163,Greg Kraft,12,,
188,T163,T163,Scott Langley,12,8.0,
189,T163,T163,Bill Lunde,12,,
190,T163,T163,Jim McGovern,12,,
191,T163,T163,Larry Mize,12,,
192,T163,T163,Gil Morgan,12,,
193,T163,T163,Kevin Na,12,5.0,
194,T163,T163,Frank Nobilo,12,,
195,T163,T163,Sean O'Hair,12,6.0,
196,T163,T163,José María Olazábal,12,,
197,T163,T163,Jeff Overton,12,,
198,T163,T163,Don Pooley,12,,
