,Best_YTD_1-Putt_or_Better_Streak_RANK THIS WEEK,Best_YTD_1-Putt_or_Better_Streak_RANK LAST WEEK,Best_YTD_1-Putt_or_Better_Streak_PLAYER NAME,Best_YTD_1-Putt_or_Better_Streak_EVENTS,Best_YTD_1-Putt_or_Better_Streak_VALUE
0,1,1,Brian Stuard,22,17
1,T2,T2,Graeme McDowell,16,15
2,T2,T2,Ollie Schniederjans,22,15
3,4,4,Adam Svensson,18,14
4,5,5,Adam Long,19,13
5,T6,T6,David Hearn,14,11
6,T6,T6,Jhonattan Vegas,18,11
7,T6,T6,Gary Woodland,17,11
8,T9,T9,Aaron Baddeley,15,10
9,T9,T9,Daniel Berger,14,10
10,T9,T9,Sam Burns,22,10
11,T9,T9,Jonathan Byrd,13,10
12,T9,T9,K.J. Choi,7,10
13,T9,T9,Luke Donald,8,10
14,T9,T9,Lucas Glover,17,10
15,T9,T9,Billy Horschel,19,10
16,T9,T9,Sungjae Im,26,10
17,T9,T9,Si Woo Kim,20,10
18,T9,T9,Alex Prugh,18,10
19,T9,T9,Brady Schnell,14,10
20,T9,T9,Cameron Smith,16,10
21,T22,T22,Anders Albertson,18,9
22,T22,T22,Kiradech Aphibarnrat,15,9
23,T22,T22,Dominic Bozzelli,17,9
24,T22,T22,Wyndham Clark,20,9
25,T22,T22,Cameron Davis,18,9
26,T22,T22,Matthew Fitzpatrick,11,9
27,T22,T22,Chesson Hadley,20,9
28,T22,T22,Matt Hutchins,1,9
29,T22,T43,Zach Johnson,15,9
30,T22,T22,Martin Kaymer,11,9
31,T22,T22,Kevin Kisner,17,9
32,T22,T22,Patton Kizzire,18,9
33,T22,T22,Kelly Kraft,23,9
34,T22,T22,Scott Langley,20,9
35,T22,T22,Nate Lashley,13,9
36,T22,T22,Curtis Luck,17,9
37,T22,T22,Thomas Pieters,4,9
38,T22,T22,Seth Reeves,18,9
39,T22,T22,Sam Ryder,16,9
40,T22,T22,Rory Sabbatini,19,9
41,T22,T22,Webb Simpson,14,9
42,T22,T22,Kyle Stanley,18,9
43,T44,T43,Rafa Cabrera Bello,15,8
44,T44,T43,John Chin,14,8
45,T44,T43,Daniel Chopra,3,8
46,T44,T43,Corey Conners,20,8
47,T44,T43,Joel Dahmen,22,8
48,T44,T43,Tyler Duncan,22,8
49,T44,T43,Ernie Els,14,8
50,T44,T43,Julián Etulain,17,8
51,T44,T43,Brian Gay,22,8
52,T44,T43,Andres Gonzales,1,8
53,T44,T43,Adam Hadwin,18,8
54,T44,T43,Brian Harman,22,8
55,T44,T43,Morgan Hoffmann,8,8
56,T44,T43,Beau Hossler,20,8
57,T44,T43,Yuta Ikeda,2,8
58,T44,T43,Freddie Jacobson,14,8
59,T44,T43,Stephan Jaeger,19,8
60,T44,T43,Matt Jones,19,8
61,T44,T43,Sihwan Kim,2,8
62,T44,T43,Whee Kim,21,8
63,T44,T43,Russell Knox,18,8
64,T44,T43,Satoshi Kodaira,16,8
65,T44,T91,Brooks Koepka,13,8
66,T44,T43,Anirban Lahiri,17,8
67,T44,T43,Martin Laird,18,8
68,T44,T43,Kyoung-Hoon Lee,22,8
69,T44,T43,Marc Leishman,14,8
70,T44,T43,Davis Love III,9,8
71,T44,T43,Peter Malnati,19,8
72,T44,T43,Denny McCarthy,20,8
73,T44,T43,Chip McDaniel,3,8
74,T44,T43,Phil Mickelson,13,8
75,T44,T43,Louis Oosthuizen,12,8
76,T44,T43,Carlos Ortiz,21,8
77,T44,T43,Ryan Palmer,16,8
78,T44,T43,Andrew Putnam,17,8
79,T44,T91,José de Jesús Rodríguez,17,8
80,T44,T43,Roger Sloan,20,8
81,T44,T43,Chris Stroud,19,8
82,T44,T43,Vaughn Taylor,21,8
83,T44,T43,Nick Taylor,20,8
84,T44,T43,D.J. Trahan,11,8
85,T44,T43,Martin Trainer,19,8
86,T44,T43,Tyrone Van Aswegen,11,8
