,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
0,1,2,Wyndham Clark,20,281,281.0
1,2,1,Sam Burns,22,259,4.0
2,3,3,Kevin Kisner,17,239,17.0
3,4,4,Brice Garnett,21,234,34.0
4,5,5,Dominic Bozzelli,17,226,
5,6,6,Curtis Luck,17,218,7.0
6,7,7,Anirban Lahiri,17,210,
7,T8,T8,Abraham Ancer,20,207,12.0
8,T8,T8,Si Woo Kim,20,207,29.0
9,T8,T8,Nick Taylor,20,207,2.0
10,11,11,C.T. Pan,19,203,91.0
11,T12,T12,Joel Dahmen,22,202,30.0
12,T12,T12,Tony Finau,17,202,26.0
13,14,14,Sebastián Muñoz,18,200,25.0
14,15,15,Andrew Putnam,17,194,92.0
15,16,16,Alex Cejka,16,193,40.0
16,17,17,Harris English,21,191,79.0
17,T18,T18,Rory McIlroy,13,190,58.0
18,T18,T18,Justin Thomas,13,190,23.0
19,T20,T20,Vaughn Taylor,21,187,3.0
20,T20,T20,Peter Uihlein,22,187,15.0
21,22,22,Carlos Ortiz,21,184,32.0
22,23,23,Chris Kirk,17,179,3.0
23,24,24,Kevin Streelman,20,177,85.0
24,25,25,José de Jesús Rodríguez,17,176,28.0
25,26,26,Kyle Stanley,18,175,9.0
26,T27,27,Jonas Blixt,20,174,28.0
27,T27,T63,Graeme McDowell,16,174,41.0
28,29,28,Beau Hossler,20,172,172.0
29,30,29,Roberto Castro,16,171,6.0
30,31,30,Ben Crane,13,170,62.0
31,T32,T31,Patton Kizzire,18,167,23.0
32,T32,T31,Ian Poulter,13,167,24.0
33,T32,T31,Brian Stuard,22,167,57.0
34,T35,T34,Tyrrell Hatton,13,164,148.0
