,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
0,T1,T1,Jason Dufner,19,7
1,T1,T1,Ryan Palmer,16,7
2,T1,T1,Xander Schauffele,15,7
3,T4,T4,Jonas Blixt,20,6
4,T4,T4,Roberto Castro,16,6
5,T4,T4,Corey Conners,20,6
6,T4,T4,Sung Kang,20,6
7,T4,T4,Si Woo Kim,20,6
8,T4,T4,Chip McDaniel,3,6
9,T4,T4,Phil Mickelson,13,6
10,T4,T4,Peter Uihlein,22,6
11,T12,T12,Aaron Baddeley,15,5
12,T12,T12,Ricky Barnes,8,5
13,T12,T12,Ryan Blaum,21,5
14,T12,T12,Dominic Bozzelli,17,5
15,T12,T12,Keegan Bradley,18,5
16,T12,T51,Scott Brown,21,5
17,T12,T12,Cameron Champ,19,5
18,T12,T12,Jason Day,14,5
19,T12,T12,Derek Fathauer,10,5
20,T12,T12,Matthew Fitzpatrick,11,5
21,T12,T12,Rickie Fowler,14,5
22,T12,T12,Brian Gay,22,5
23,T12,T12,Doug Ghim,6,5
24,T12,T12,Adam Hadwin,18,5
25,T12,T12,J.B. Holmes,18,5
26,T12,T12,Dustin Johnson,12,5
27,T12,T12,Kyle Jones,19,5
28,T12,T12,Sihwan Kim,2,5
29,T12,T12,Russell Knox,18,5
30,T12,T12,Jason Kokrak,17,5
31,T12,T12,Matt Kuchar,16,5
32,T12,T12,Martin Laird,18,5
33,T12,T12,Luke List,16,5
34,T12,T12,Adam Long,19,5
35,T12,T12,Denny McCarthy,20,5
36,T12,T12,Sebastián Muñoz,18,5
37,T12,T12,Carlos Ortiz,21,5
38,T12,T12,Scott Piercy,19,5
39,T12,T12,Patrick Rodgers,14,5
40,T12,T12,Andres Romero,6,5
41,T12,T12,Adam Schenk,24,5
42,T12,T12,Brady Schnell,14,5
43,T12,T12,Ben Silverman,17,5
44,T12,T12,Scott Stallings,20,5
45,T12,T12,Brandon Stone,2,5
46,T12,T12,Justin Thomas,13,5
47,T12,T12,Michael Thompson,17,5
48,T12,T12,Martin Trainer,19,5
49,T12,T12,Cameron Tringale,15,5
50,T12,T12,Gary Woodland,17,5
51,T52,T51,Anders Albertson,18,4
52,T52,T51,Byeong Hun An,15,4
53,T52,T51,Abraham Ancer,20,4
54,T52,T51,Kiradech Aphibarnrat,15,4
55,T52,T51,Ryan Armour,21,4
56,T52,T51,Daniel Berger,14,4
57,T52,T51,Gaganjeet Bhullar,2,4
58,T52,T51,Bronson Burgoon,14,4
59,T52,T51,Sam Burns,22,4
60,T52,T51,Jonathan Byrd,13,4
61,T52,T51,Rafa Cabrera Bello,15,4
62,T52,T51,Rafael Campos,2,4
63,T52,T51,Will Cannon,1,4
64,T52,T51,Patrick Cantlay,14,4
65,T52,T51,John Chin,14,4
66,T52,T51,K.J. Choi,7,4
67,T52,T51,Daniel Chopra,3,4
68,T52,T51,Wyndham Clark,20,4
69,T52,T51,Austin Cook,17,4
70,T52,T51,Ben Crane,13,4
71,T52,T51,Roberto Díaz,16,4
72,T52,T51,Joel Dahmen,22,4
73,T52,T51,Cameron Davis,18,4
74,T52,T51,Bryson DeChambeau,13,4
75,T52,T51,Thomas Detry,1,4
76,T52,T51,Harris English,21,4
77,T52,T51,Matt Every,12,4
78,T52,T51,Tony Finau,17,4
79,T52,T51,Tommy Fleetwood,11,4
80,T52,T51,Oscar Fraustro,1,4
81,T52,T51,Dylan Frittelli,16,4
82,T52,T51,Jim Furyk,16,4
83,T52,T51,Joey Garber,15,4
84,T52,T51,Brice Garnett,21,4
85,T52,T51,Lucas Glover,17,4
86,T52,T51,Talor Gooch,12,4
87,T52,T51,Jason Gore,4,4
88,T52,T51,Cody Gribble,18,4
89,T52,T51,Emiliano Grillo,17,4
90,T52,T51,Chesson Hadley,20,4
91,T52,T51,Brandon Hagy,12,4
92,T52,T51,James Hahn,10,4
93,T52,T51,Seungsu Han,1,4
94,T52,T51,Justin Harding,9,4
95,T52,T51,Brandon Harkins,21,4
96,T52,T51,Brian Harman,22,4
97,T52,T51,Padraig Harrington,7,4
98,T52,T51,David Hearn,14,4
99,T52,T51,Russell Henley,18,4
100,T52,T51,Billy Horschel,19,4
101,T52,T51,Beau Hossler,20,4
102,T52,T51,Sungjae Im,26,4
103,T52,T51,Stephan Jaeger,19,4
104,T52,T51,Martin Kaymer,11,4
105,T52,T51,Whee Kim,21,4
106,T52,T51,Chris Kirk,17,4
107,T52,T51,Patton Kizzire,18,4
108,T52,T51,Satoshi Kodaira,16,4
109,T52,T51,Brooks Koepka,13,4
110,T52,T51,Kelly Kraft,23,4
111,T52,T51,Scott Langley,20,4
112,T52,T51,Hank Lebioda,16,4
113,T52,T51,Danny Lee,20,4
114,T52,T51,Kyoung-Hoon Lee,22,4
115,T52,T51,Marc Leishman,14,4
116,T52,T51,Haotong Li,9,4
117,T52,T51,Nicholas Lindheim,10,4
118,T52,T51,Tom Lovelady,10,4
119,T52,T51,Joost Luiten,4,4
120,T52,T51,Hunter Mahan,15,4
121,T52,T51,Steve Marino,4,4
122,T52,T51,Hideki Matsuyama,15,4
123,T52,T51,Graeme McDowell,16,4
124,T52,T51,Rory McIlroy,13,4
125,T52,T51,Troy Merritt,12,4
126,T52,T51,Keith Mitchell,19,4
127,T52,T51,Francesco Molinari,10,4
128,T52,T51,Ryan Moore,16,4
129,T52,T51,Kevin Na,15,4
130,T52,T51,Joaquin Niemann,20,4
131,T52,T51,Alex Noren,14,4
132,T52,T51,Thorbjørn Olesen,8,4
133,T52,T51,C.T. Pan,19,4
134,T52,T51,Sanghyun Park,4,4
135,T52,T51,Thomas Pieters,4,4
136,T52,T51,Martin Piller,10,4
137,T52,T51,J.T. Poston,22,4
138,T52,T51,"Ted Potter, Jr.",18,4
139,T52,T51,Andrew Putnam,17,4
140,T52,T51,Jon Rahm,14,4
141,T52,T51,Chez Reavie,19,4
142,T52,T51,Seth Reeves,18,4
143,T52,T51,Sam Ryder,16,4
144,T52,T51,Rory Sabbatini,19,4
145,T52,T51,Ollie Schniederjans,22,4
146,T52,T51,Adam Scott,12,4
147,T52,T51,John Senden,13,4
148,T52,T51,Shubhankar Sharma,6,4
149,T52,T51,Webb Simpson,14,4
150,T52,T51,Cameron Smith,16,4
151,T52,T51,Brandt Snedeker,18,4
152,T52,T51,J.J. Spaun,20,4
153,T52,T51,Jordan Spieth,16,4
154,T52,T51,Kyle Stanley,18,4
155,T52,T51,Brendan Steele,17,4
156,T52,T51,Sepp Straka,16,4
157,T52,T51,Robert Streb,21,4
158,T52,T51,Kevin Streelman,20,4
159,T52,T51,Chris Stroud,19,4
160,T52,T51,Brian Stuard,22,4
161,T52,T51,Adam Svensson,18,4
162,T52,T51,Hudson Swafford,20,4
163,T52,T51,Vaughn Taylor,21,4
164,T52,T51,Nick Taylor,20,4
165,T52,T51,Brendon Todd,7,4
166,T52,T51,D.J. Trahan,11,4
167,T52,T51,Kevin Tway,19,4
168,T52,T51,Harold Varner III,20,4
169,T52,T51,Jhonattan Vegas,18,4
170,T52,T51,Jimmy Walker,17,4
171,T52,T51,Matt Wallace,9,4
172,T52,T51,Nick Watney,20,4
173,T52,T51,Bubba Watson,13,4
174,T52,T51,Tiger Woods,8,4
175,T52,T51,Chase Wright,19,4
176,T52,T51,Norman Xiong,3,4
177,T178,,Matthew Anderson,1,3
178,T178,T178,Stuart Appleby,3,3
179,T178,T178,Sangmoon Bae,16,3
180,T178,T178,Garrett Barber,1,3
181,T178,T178,Rich Beem,1,3
182,T178,T178,Lucas Bjerregaard,10,3
183,T178,T178,Alexander Björk,3,3
184,T178,,Etienne Brault,1,3
185,T178,T178,Wesley Bryan,5,3
186,T178,,Marc-Étienne Bussières,1,3
187,T178,T178,Chad Campbell,9,3
188,T178,T178,Paul Casey,15,3
189,T178,T178,John Catlin,5,3
190,T178,T178,Bud Cauley,19,3
191,T178,T178,Alex Cejka,16,3
192,T178,T178,Kevin Chappell,3,3
193,T178,T178,Stewart Cink,12,3
194,T178,T178,Chad Collins,9,3
195,T178,T178,Chris Couch,2,3
196,T178,T178,George Cunningham,2,3
197,T178,T178,Jon Curran,4,3
198,T178,T178,Brian Davis,5,3
199,T178,T178,Luke Donald,8,3
200,T178,T178,Bruce Doucett,1,3
201,T178,T178,Tyler Duncan,22,3
202,T178,T178,Paul Dunne,1,3
203,T178,T178,Ernie Els,14,3
204,T178,T178,Julián Etulain,17,3
205,T178,T178,Armando Favela,1,3
206,T178,T178,Ross Fisher,1,3
207,T178,T178,Rahil Gangjee,1,3
208,T178,T178,Sergio Garcia,11,3
209,T178,T178,Robert Garrigus,7,3
210,T178,T178,Fabián Gómez,14,3
211,T178,T178,Retief Goosen,3,3
212,T178,T178,Branden Grace,18,3
213,T178,T178,Ben Griffin,2,3
214,T178,T178,Bill Haas,18,3
215,T178,T178,Hunter Hamrick,1,3
216,T178,T178,Tyrrell Hatton,13,3
217,T178,T178,Jim Herman,16,3
218,T178,T178,Kramer Hickok,19,3
219,T178,T178,Charley Hoffman,18,3
220,T178,T178,Morgan Hoffmann,8,3
221,T178,T178,Tom Hoge,24,3
222,T178,T178,Max Homa,19,3
223,T178,T178,Viktor Hovland,4,3
