,Consecutive_Cuts_RANK THIS WEEK,Consecutive_Cuts_RANK LAST WEEK,Consecutive_Cuts_PLAYER NAME,Consecutive_Cuts_TOTAL,Consecutive_Cuts_START TOURNAMENT ID
0,1,1,Jason Kokrak,23,2018430
1,2,2,Hideki Matsuyama,22,2018450
2,3,3,Tommy Fleetwood,21,2018310
3,4,4,Dustin Johnson,19,2018430
4,5,5,Graeme McDowell,13,2019080
5,6,6,Rory Sabbatini,11,2019200
6,T7,7,Matthew Fitzpatrick,9,2019190
7,T7,T8,Henrik Stenson,9,2019230
8,T9,T8,Lanto Griffin,8,2018370
9,T9,T8,Kyoung-Hoon Lee,8,2019240
10,T9,T8,Jordan Spieth,8,2019250
11,T12,T12,Rafa Cabrera Bello,7,2019230
12,T12,T12,SSP Chawrasia,7,2008140
13,T12,T12,Ross Fisher,7,2018300
14,T12,T12,Emiliano Grillo,7,2019220
15,T12,T18,Brooks Koepka,7,2019220
16,T12,T12,David Lipsky,7,2018020
17,T12,T18,Alex Noren,7,2019250
18,T19,T28,Daniel Berger,6,2019280
19,T19,T18,Danny Chia,6,2010310
20,T19,T28,Adam Hadwin,6,2019280
21,T19,T18,Billy Horschel,6,2019270
22,T19,T18,K.T. Kim,6,2017040
23,T19,T18,Thomas Pieters,6,2018420
24,T19,T18,Shubhankar Sharma,6,2019020
25,T19,T28,Webb Simpson,6,2019250
26,T19,T18,Brian Stuard,6,2019260
27,T19,T18,Doug Tewell,6,1999230
28,T19,T28,Kevin Tway,6,2019270
29,T30,T28,Ashun Wu,5,2015060
30,T30,T28,Gaganjeet Bhullar,5,2014030
31,T30,T28,Andrew Dodt,5,2015430
32,T30,T28,Gavin Kyle Green,5,2018020
33,T30,T28,Seungsu Han,5,2010300
34,T30,T28,Tyrrell Hatton,5,2019250
35,T30,T42,Martin Laird,5,2019290
36,T30,T28,Wayne Levi,5,2001300
37,T30,T28,Haotong Li,5,2019250
38,T30,T28,Joost Luiten,5,2018200
39,T30,T42,Erik van Rooyen,5,2018420
40,T30,T28,Gary Woodland,5,2019250
41,T42,T42,Abraham Ancer,4,2019310
42,T42,T42,Dean Burmester,4,2016210
43,T42,T42,Kevin Chappell,4,2018490
44,T42,T42,Graham DeLaet,4,2017480
45,T42,T42,Martin Flores,4,2018430
46,T42,,Marcus Fraser,4,2016420
47,T42,T42,Lucas Glover,4,2019290
48,T42,T42,Max Homa,4,2019300
49,T42,T42,Michael Lorenzo-Vera,4,2017410
50,T42,T59,Peter Malnati,4,2019310
51,T42,T42,Sanghyun Park,4,2019020
52,T42,T42,Justin Rose,4,2019300
53,T42,T42,Brett Rumford,4,2015390
54,T42,T59,Brandt Snedeker,4,2019280
55,T42,T42,Vaughn Taylor,4,2019300
56,T57,T59,Stuart Appleby,3,2019040
57,T57,T82,Jonas Blixt,3,2019310
58,T57,T59,Ryan Brehm,3,2017430
59,T57,T82,Ben Crane,3,2019310
60,T57,T82,Harris English,3,2019300
61,T57,T59,Oscar Fraustro,3,2017060
62,T57,T59,Nicholas Fung,3,2014030
63,T57,T82,Jim Furyk,3,2019330
64,T57,T59,Justin Harding,3,2019290
65,T57,T82,Brian Harman,3,2019330
