,Consecutive_Fairways_Hit_RANK THIS WEEK,Consecutive_Fairways_Hit_RANK LAST WEEK,Consecutive_Fairways_Hit_PLAYER NAME,Consecutive_Fairways_Hit_EVENTS,Consecutive_Fairways_Hit_BEST STREAK,Consecutive_Fairways_Hit_CURRENT STREAK
0,1,1,Ryan Armour,21,53,2.0
1,2,2,Martin Laird,18,40,2.0
2,3,3,Brice Garnett,21,34,1.0
3,4,4,Shubhankar Sharma,6,33,
4,T5,T5,Tyler Duncan,22,32,
5,T5,T5,Dong Seop Maeng,1,32,4.0
6,T5,T5,Hideki Matsuyama,15,32,5.0
7,T5,T5,Vaughn Taylor,21,32,6.0
8,T9,T9,Joel Dahmen,22,30,
9,T9,T9,Jim Furyk,16,30,
10,11,11,Ryan Palmer,16,29,9.0
11,T12,T12,Matthew Fitzpatrick,11,28,
12,T12,T12,Sanghyun Park,4,28,1.0
13,T12,T12,Scott Piercy,19,28,
14,T15,T15,Russell Knox,18,27,2.0
15,T15,T15,Tae Hee Lee,2,27,1.0
16,T17,T17,Satoshi Kodaira,16,26,3.0
17,T17,T17,Nate Lashley,13,26,
18,T17,T17,Cameron Smith,16,26,4.0
19,T20,T20,Bill Haas,18,25,
20,T20,T20,J.J. Henry,15,25,2.0
21,T20,T20,Kevin Streelman,20,25,1.0
22,T23,T23,Jonas Blixt,20,24,
23,T23,T23,James Hahn,10,24,
24,T23,T23,Beau Hossler,20,24,1.0
25,T23,T23,Justin Thomas,13,24,
26,T23,T23,Johnson Wagner,14,24,1.0
27,T23,T23,Aaron Wise,16,24,
28,T29,T29,Brian Harman,22,23,5.0
29,T29,T29,Kelly Kraft,23,23,2.0
30,T29,T29,Scott Langley,20,23,2.0
31,T29,T29,David Lingmerth,9,23,2.0
32,T29,T29,Davis Love III,9,23,2.0
33,T29,T29,"Ted Potter, Jr.",18,23,
34,T35,T35,Keegan Bradley,18,22,
35,T35,T35,Morgan Hoffmann,8,22,15.0
36,T35,T35,Ryan Moore,16,22,2.0
37,T35,T35,C.T. Pan,19,22,2.0
38,T35,T35,Wes Roach,14,22,2.0
39,T35,T35,Henrik Stenson,12,22,3.0
40,T35,T35,Brendon Todd,7,22,1.0
41,T35,T35,Nick Watney,20,22,2.0
42,T43,T43,Jason Dufner,19,21,4.0
43,T43,T43,Russell Henley,18,21,4.0
44,T43,T43,Hank Lebioda,16,21,
45,T43,T43,Keith Mitchell,19,21,
46,T43,T43,Seamus Power,21,21,
47,T43,T43,Andrew Putnam,17,21,2.0
48,T43,T43,Chez Reavie,19,21,1.0
49,T43,T43,Steve Stricker,7,21,
50,T51,T51,Doug Ghim,6,20,
51,T51,T51,Emiliano Grillo,17,20,16.0
52,T51,T51,Patton Kizzire,18,20,
53,T51,T51,Xander Schauffele,15,20,1.0
54,T51,T51,Webb Simpson,14,20,2.0
55,T56,T56,Austin Cook,17,19,5.0
56,T56,T56,Luke Donald,8,19,2.0
57,T56,T56,David Hearn,14,19,1.0
58,T56,T56,J.B. Holmes,18,19,2.0
59,T56,T56,Matt Kuchar,16,19,3.0
60,T56,T56,Kevin Na,15,19,5.0
61,T56,T56,Brady Schnell,14,19,
62,T56,T65,Ben Silverman,17,19,1.0
63,T56,T56,J.J. Spaun,20,19,
64,T56,T56,Brendan Steele,17,19,11.0
65,T66,T65,Robert Allenby,2,18,
66,T66,T65,Byeong Hun An,15,18,4.0
67,T66,T65,Daniel Berger,14,18,2.0
68,T66,T65,Lucas Bjerregaard,10,18,
69,T66,T65,Brian Gay,22,18,4.0
70,T66,T65,Padraig Harrington,7,18,
71,T66,T65,Tom Hoge,24,18,
72,T66,T65,Freddie Jacobson,14,18,
73,T66,T65,Jamie Lovemark,7,18,7.0
74,T66,T65,Pat Perez,16,18,6.0
75,T66,T65,Patrick Reed,15,18,
76,T66,T65,Robert Streb,21,18,1.0
77,T66,T65,Josh Teater,17,18,
78,T66,T65,Michael Thompson,17,18,13.0
79,T80,T80,Paul Casey,15,17,1.0
80,T80,T80,Bryson DeChambeau,13,17,
81,T80,T80,Adam Hadwin,18,17,3.0
82,T80,T80,Kramer Hickok,19,17,2.0
83,T80,T80,Billy Horschel,19,17,4.0
84,T80,T80,Larry Mize,1,17,
85,T80,T80,Davis Riley,1,17,
86,T80,T80,Roger Sloan,20,17,1.0
87,T80,T80,Brandt Snedeker,18,17,4.0
88,T80,T80,Kyle Stanley,18,17,
89,T80,T80,Jimmy Walker,17,17,
90,T91,T91,Todd Balkin,1,16,
91,T91,T91,Bud Cauley,19,16,2.0
92,T91,T91,Chad Collins,9,16,
93,T91,T91,John Huh,13,16,2.0
94,T91,T91,Andrew Landry,18,16,13.0
95,T91,T91,Bernhard Langer,1,16,
96,T91,T91,Phil Mickelson,13,16,
97,T91,T91,Rod Pampling,16,16,
98,T91,T91,Rory Sabbatini,19,16,3.0
99,T91,T91,Scottie Scheffler,3,16,2.0
100,T91,T91,Brian Stuard,22,16,4.0
101,T91,T91,Hudson Swafford,20,16,1.0
102,T91,T91,D.J. Trahan,11,16,
103,T91,T91,Richy Werenski,20,16,
104,T91,T91,Bowen Xiao,1,16,1.0
105,T106,T106,Bronson Burgoon,14,15,
106,T106,T106,Sam Burns,22,15,
107,T106,T106,Patrick Cantlay,14,15,4.0
108,T106,T106,John Catlin,5,15,1.0
109,T106,T106,Cameron Champ,19,15,
110,T106,T106,Ben Crane,13,15,4.0
111,T106,T106,Paul Dunne,1,15,
112,T106,T106,Ernie Els,14,15,1.0
113,T106,T106,Dylan Frittelli,16,15,
114,T106,T106,Joey Garber,15,15,1.0
115,T106,T106,Justin Harding,9,15,
116,T106,T106,Charles Howell III,19,15,
117,T106,T106,Mackenzie Hughes,19,15,3.0
118,T106,T106,Matt Jones,19,15,
119,T106,T106,Kyle Jones,19,15,1.0
120,T106,T106,Sung Kang,20,15,1.0
121,T106,T106,Whee Kim,21,15,
122,T106,T106,Si Woo Kim,20,15,6.0
123,T106,T106,Chris Kirk,17,15,
124,T106,T106,Kevin Kisner,17,15,1.0
125,T106,T106,Jim Knous,17,15,1.0
126,T106,T106,Jason Kokrak,17,15,
127,T106,T106,Adam Long,19,15,3.0
128,T106,T106,Shane Lowry,10,15,
129,T106,T106,Denny McCarthy,20,15,3.0
130,T106,T106,Parker McLachlin,5,15,3.0
131,T106,T106,Sebastián Muñoz,18,15,
132,T106,T106,Louis Oosthuizen,12,15,4.0
133,T106,T106,J.T. Poston,22,15,
134,T106,T106,Seth Reeves,18,15,
135,T106,T106,Shawn Stefani,19,15,1.0
136,T106,T106,Danny Willett,15,15,3.0
137,T138,T138,Abraham Ancer,20,14,4.0
138,T138,T138,Ryan Blaum,21,14,
139,T138,T138,Scott Brown,21,14,
140,T138,T138,Rafa Cabrera Bello,15,14,10.0
141,T138,T138,Chad Campbell,9,14,1.0
142,T138,T138,Roberto Castro,16,14,3.0
143,T138,T138,K.J. Choi,7,14,1.0
144,T138,T138,Harris English,21,14,
145,T138,T138,Matt Every,12,14,1.0
146,T138,T138,Tommy Gainey,3,14,
147,T138,T138,Robert Garrigus,7,14,
148,T138,T138,Fabián Gómez,14,14,
149,T138,T138,Steve Jones,1,14,2.0
150,T138,T138,Michael Kim,21,14,
151,T138,T138,Hunter Mahan,15,14,
152,T138,T138,Peter Malnati,19,14,
153,T138,T138,Joaquin Niemann,20,14,5.0
154,T138,T138,Alex Noren,14,14,3.0
155,T138,T138,Henrik Norlander,1,14,3.0
