,Consecutive_GIR_RANK THIS WEEK,Consecutive_GIR_RANK LAST WEEK,Consecutive_GIR_PLAYER NAME,Consecutive_GIR_EVENTS,Consecutive_GIR_STREAK,Consecutive_GIR_CURRENT STREAK,Consecutive_GIR_ROUND,Consecutive_GIR_HOLE,Consecutive_GIR_YEAR/TOURN#
0,1,1,Gary Woodland,17,36,,2,10,2019030
1,2,2,Charles Howell III,19,35,3.0,2,16,2019020
2,3,3,Billy Horschel,19,31,,3,2,2019070
3,4,4,Ernie Els,14,29,,2,18,2019030
4,T5,T5,Sungjae Im,26,28,,2,14,2019260
5,T5,T5,Martin Laird,18,28,10.0,2,4,2019140
6,T5,T5,Chase Wright,19,28,,1,1,2019010
7,8,8,Corey Conners,20,27,2.0,3,11,2019080
8,T9,T9,Dylan Frittelli,16,24,,2,16,2019310
9,T9,T9,Robert Garrigus,7,24,3.0,2,3,2019130
10,T9,T9,Louis Oosthuizen,12,24,,1,14,2019020
11,T9,T62,Jimmy Walker,17,24,,4,12,2019330
12,T13,T29,Roberto Castro,16,23,,2,5,2019330
13,T13,T101,Jim Furyk,16,23,,1,3,2019350
14,T13,T12,Branden Grace,18,23,1.0,3,14,2019030
15,T13,T12,Whee Kim,21,23,,1,12,2019060
16,T13,T12,Peter Malnati,19,23,,2,15,2019130
17,T18,T15,Scott Brown,21,22,,1,15,2019130
18,T18,T15,Adam Hadwin,18,22,2.0,4,8,2019120
19,T18,T15,Marc Leishman,14,22,1.0,3,18,2019030
20,T18,T15,Ryan Moore,16,22,,3,4,2019060
21,T18,T15,Robert Streb,21,22,5.0,3,10,2019080
22,T18,T15,Kevin Streelman,20,22,5.0,1,11,2019160
23,T18,T15,Cameron Tringale,15,22,6.0,2,14,2019310
24,T25,T22,Michael Kim,21,21,,1,11,2019160
25,T25,T22,Kevin Kisner,17,21,1.0,2,15,2019080
26,T25,T22,Matt Kuchar,16,21,2.0,4,6,2019120
27,T25,T22,Danny Lee,20,21,2.0,2,2,2019060
28,T25,T22,Chez Reavie,19,21,1.0,1,3,2019030
29,T25,T22,Patrick Reed,15,21,,1,10,2019050
30,T25,T22,Kevin Tway,19,21,,3,9,2019020
31,T32,T29,Ryan Armour,21,20,,3,14,2019080
32,T32,T29,Cameron Champ,19,20,,3,18,2019110
33,T32,T29,Emiliano Grillo,17,20,1.0,1,17,2019070
34,T32,T29,Nate Lashley,13,20,,3,16,2019130
35,T32,T29,Graeme McDowell,16,20,,2,18,2019030
36,T32,T29,Carlos Ortiz,21,20,1.0,1,5,2019150
37,T32,T29,J.T. Poston,22,20,6.0,2,10,2019070
38,T32,T29,Jordan Spieth,16,20,,1,12,2019160
39,T32,T29,Justin Thomas,13,20,3.0,4,13,2019110
40,T32,T29,Jhonattan Vegas,18,20,5.0,2,7,2019060
41,T32,T29,Johnson Wagner,14,20,,2,16,2019080
42,T43,T41,Aaron Baddeley,15,19,,3,17,2019080
43,T43,T41,Bronson Burgoon,14,19,,3,8,2019020
44,T43,T41,Sam Burns,22,19,,1,9,2019140
45,T43,T41,Rafa Cabrera Bello,15,19,,2,5,2019030
46,T43,T41,Joey Garber,15,19,,2,8,2019310
47,T43,T41,Doug Ghim,6,19,,3,17,2019310
48,T43,T41,Brian Harman,22,19,4.0,3,8,2019220
49,T43,T41,Alex Kang,2,19,2.0,2,9,2019080
50,T43,T41,Hideki Matsuyama,15,19,,3,10,2019030
51,T43,T41,Kevin Na,15,19,7.0,2,16,2019020
52,T43,T41,C.T. Pan,19,19,1.0,3,1,2019070
53,T43,T41,Scott Piercy,19,19,1.0,2,12,2019120
54,T43,T41,Sam Ryder,16,19,,3,11,2019060
55,T43,T41,Cameron Smith,16,19,8.0,3,12,2019120
56,T43,T41,Brendan Steele,17,19,1.0,2,14,2019030
57,T43,T41,Shawn Stefani,19,19,,3,1,2019310
58,T43,T41,Steve Stricker,7,19,1.0,1,8,2019160
59,T43,T41,Vaughn Taylor,21,19,,3,8,2019310
60,T43,T41,Nick Watney,20,19,1.0,1,4,2019080
61,T43,T41,Richy Werenski,20,19,,3,13,2019080
62,T43,T41,Tiger Woods,8,19,,1,3,2019170
