,Consecutive_Holes_Below_Par_RANK THIS WEEK,Consecutive_Holes_Below_Par_RANK LAST WEEK,Consecutive_Holes_Below_Par_PLAYER NAME,Consecutive_Holes_Below_Par_EVENTS,Consecutive_Holes_Below_Par_NUMBER OF HOLES
0,T1,T1,Jason Dufner,19,7
1,T1,T1,Ryan Palmer,16,7
2,T1,T1,Xander Schauffele,15,7
3,T4,T4,Jonas Blixt,20,6
4,T4,T4,Roberto Castro,16,6
5,T4,T4,Corey Conners,20,6
6,T4,T4,Tommy Fleetwood,11,6
7,T4,T4,Sung Kang,20,6
8,T4,T4,Si Woo Kim,20,6
9,T4,T4,Chip McDaniel,3,6
10,T4,T4,Phil Mickelson,13,6
11,T4,T4,Carlos Ortiz,21,6
12,T4,T4,Peter Uihlein,22,6
13,T14,T14,Aaron Baddeley,15,5
14,T14,T14,Ricky Barnes,8,5
15,T14,T14,Ryan Blaum,21,5
16,T14,T14,Dominic Bozzelli,17,5
17,T14,T14,Keegan Bradley,18,5
18,T14,T56,Scott Brown,21,5
19,T14,T14,Paul Casey,15,5
20,T14,T14,Cameron Champ,19,5
21,T14,T14,Jason Day,14,5
22,T14,T14,Derek Fathauer,10,5
23,T14,T14,Matthew Fitzpatrick,11,5
24,T14,T14,Rickie Fowler,14,5
25,T14,T14,Brian Gay,22,5
26,T14,T14,Doug Ghim,6,5
27,T14,T14,Adam Hadwin,18,5
28,T14,T14,J.B. Holmes,18,5
29,T14,T14,Dustin Johnson,12,5
30,T14,T14,Kyle Jones,19,5
31,T14,T14,Sihwan Kim,2,5
32,T14,T14,Russell Knox,18,5
33,T14,T14,Jason Kokrak,17,5
34,T14,T14,Matt Kuchar,16,5
35,T14,T14,Martin Laird,18,5
36,T14,T14,Luke List,16,5
37,T14,T14,Adam Long,19,5
38,T14,T14,Denny McCarthy,20,5
39,T14,T14,Keith Mitchell,19,5
40,T14,T14,Sebastián Muñoz,18,5
41,T14,T14,Joaquin Niemann,20,5
42,T14,T14,Scott Piercy,19,5
43,T14,T14,Patrick Rodgers,14,5
44,T14,T14,Andres Romero,6,5
45,T14,T14,Adam Schenk,24,5
46,T14,T14,Brady Schnell,14,5
47,T14,T14,Ben Silverman,17,5
48,T14,T14,Scott Stallings,20,5
49,T14,T14,Brandon Stone,2,5
50,T14,T14,Justin Thomas,13,5
51,T14,T14,Michael Thompson,17,5
52,T14,T14,Martin Trainer,19,5
53,T14,T14,Cameron Tringale,15,5
54,T14,T14,Gary Woodland,17,5
55,T14,T14,Tiger Woods,8,5
56,T57,T56,Anders Albertson,18,4
57,T57,T56,Byeong Hun An,15,4
58,T57,T56,Abraham Ancer,20,4
59,T57,T56,Kiradech Aphibarnrat,15,4
60,T57,T56,Ryan Armour,21,4
61,T57,T56,Daniel Berger,14,4
62,T57,T56,Gaganjeet Bhullar,2,4
63,T57,T56,Bronson Burgoon,14,4
64,T57,T56,Sam Burns,22,4
65,T57,T56,Jonathan Byrd,13,4
66,T57,T56,Rafa Cabrera Bello,15,4
67,T57,T56,Rafael Campos,2,4
68,T57,T56,Will Cannon,1,4
69,T57,T56,Patrick Cantlay,14,4
70,T57,T56,John Chin,14,4
71,T57,T56,K.J. Choi,7,4
72,T57,T56,Daniel Chopra,3,4
73,T57,T56,Wyndham Clark,20,4
74,T57,T56,Austin Cook,17,4
75,T57,T56,Ben Crane,13,4
76,T57,T56,Roberto Díaz,16,4
77,T57,T56,Joel Dahmen,22,4
78,T57,T56,Cameron Davis,18,4
79,T57,T56,Bryson DeChambeau,13,4
80,T57,T56,Thomas Detry,1,4
81,T57,T56,Harris English,21,4
82,T57,T56,Matt Every,12,4
83,T57,T56,Tony Finau,17,4
84,T57,T56,Oscar Fraustro,1,4
85,T57,T56,Dylan Frittelli,16,4
86,T57,T56,Jim Furyk,16,4
87,T57,T56,Joey Garber,15,4
88,T57,T56,Brice Garnett,21,4
89,T57,T56,Lucas Glover,17,4
90,T57,T56,Fabián Gómez,14,4
91,T57,T56,Talor Gooch,12,4
92,T57,T56,Jason Gore,4,4
93,T57,T56,Cody Gribble,18,4
94,T57,T56,Emiliano Grillo,17,4
95,T57,T56,Chesson Hadley,20,4
96,T57,T56,Brandon Hagy,12,4
97,T57,T56,James Hahn,10,4
98,T57,T56,Seungsu Han,1,4
99,T57,T56,Justin Harding,9,4
100,T57,T56,Brandon Harkins,21,4
101,T57,T56,Brian Harman,22,4
102,T57,T56,Padraig Harrington,7,4
103,T57,T56,David Hearn,14,4
104,T57,T56,Russell Henley,18,4
105,T57,T56,Charley Hoffman,18,4
106,T57,T56,Billy Horschel,19,4
107,T57,T56,Beau Hossler,20,4
108,T57,T56,Sungjae Im,26,4
109,T57,T56,Stephan Jaeger,19,4
110,T57,T56,Martin Kaymer,11,4
111,T57,T56,Whee Kim,21,4
112,T57,T56,Chris Kirk,17,4
113,T57,T56,Patton Kizzire,18,4
114,T57,T56,Satoshi Kodaira,16,4
115,T57,T56,Brooks Koepka,13,4
116,T57,T56,Kelly Kraft,23,4
117,T57,T56,Scott Langley,20,4
118,T57,T56,Hank Lebioda,16,4
119,T57,T56,Danny Lee,20,4
120,T57,T56,Kyoung-Hoon Lee,22,4
121,T57,T56,Marc Leishman,14,4
122,T57,T56,Haotong Li,9,4
123,T57,T56,Nicholas Lindheim,10,4
124,T57,T56,Tom Lovelady,10,4
125,T57,T56,Joost Luiten,4,4
126,T57,T56,Hunter Mahan,15,4
127,T57,T56,Steve Marino,4,4
128,T57,T56,Hideki Matsuyama,15,4
129,T57,T56,Graeme McDowell,16,4
130,T57,T56,Rory McIlroy,13,4
131,T57,T56,Troy Merritt,12,4
132,T57,T56,Francesco Molinari,10,4
133,T57,T56,Ryan Moore,16,4
134,T57,T56,Kevin Na,15,4
135,T57,T56,Alex Noren,14,4
136,T57,T56,Thorbjørn Olesen,8,4
137,T57,T56,C.T. Pan,19,4
138,T57,T56,Sanghyun Park,4,4
139,T57,T56,Thomas Pieters,4,4
140,T57,T56,Martin Piller,10,4
141,T57,T56,J.T. Poston,22,4
142,T57,T56,"Ted Potter, Jr.",18,4
143,T57,T56,Andrew Putnam,17,4
144,T57,T56,Jon Rahm,14,4
145,T57,T56,Chez Reavie,19,4
146,T57,T56,Seth Reeves,18,4
147,T57,T56,Sam Ryder,16,4
148,T57,T56,Rory Sabbatini,19,4
149,T57,T56,Ollie Schniederjans,22,4
150,T57,T56,Adam Scott,12,4
151,T57,T56,John Senden,13,4
152,T57,T56,Shubhankar Sharma,6,4
153,T57,T56,Webb Simpson,14,4
154,T57,T56,Cameron Smith,16,4
155,T57,T56,Brandt Snedeker,18,4
156,T57,T56,J.J. Spaun,20,4
157,T57,T56,Jordan Spieth,16,4
158,T57,T56,Kyle Stanley,18,4
159,T57,T56,Brendan Steele,17,4
160,T57,T56,Sepp Straka,16,4
161,T57,T56,Robert Streb,21,4
162,T57,T56,Kevin Streelman,20,4
163,T57,T56,Chris Stroud,19,4
164,T57,T56,Brian Stuard,22,4
165,T57,T56,Adam Svensson,18,4
166,T57,T56,Hudson Swafford,20,4
167,T57,T56,Vaughn Taylor,21,4
168,T57,T56,Nick Taylor,20,4
169,T57,T56,Brendon Todd,7,4
170,T57,T56,D.J. Trahan,11,4
171,T57,T56,Kevin Tway,19,4
172,T57,T56,Harold Varner III,20,4
173,T57,T56,Jhonattan Vegas,18,4
174,T57,T56,Jimmy Walker,17,4
175,T57,T56,Matt Wallace,9,4
176,T57,T56,Nick Watney,20,4
177,T57,T56,Bubba Watson,13,4
178,T57,T56,Chase Wright,19,4
179,T57,T56,Norman Xiong,3,4
180,T181,,Matthew Anderson,1,3
181,T181,T181,Stuart Appleby,3,3
182,T181,T181,Sangmoon Bae,16,3
183,T181,T181,Garrett Barber,1,3
184,T181,T181,Rich Beem,1,3
185,T181,T181,Lucas Bjerregaard,10,3
186,T181,T181,Alexander Björk,3,3
187,T181,,Etienne Brault,1,3
188,T181,T181,Wesley Bryan,5,3
189,T181,,Marc-Étienne Bussières,1,3
190,T181,T181,Chad Campbell,9,3
191,T181,T181,John Catlin,5,3
192,T181,T181,Bud Cauley,19,3
193,T181,T181,Alex Cejka,16,3
194,T181,T181,Kevin Chappell,3,3
195,T181,T181,Stewart Cink,12,3
196,T181,T181,Chad Collins,9,3
197,T181,T181,Chris Couch,2,3
198,T181,T181,George Cunningham,2,3
199,T181,T181,Jon Curran,4,3
200,T181,T181,Brian Davis,5,3
201,T181,T181,Luke Donald,8,3
202,T181,T181,Bruce Doucett,1,3
203,T181,T181,Tyler Duncan,22,3
204,T181,T181,Paul Dunne,1,3
205,T181,T181,Ernie Els,14,3
206,T181,T181,Julián Etulain,17,3
207,T181,T181,Armando Favela,1,3
208,T181,T181,Zack Fischer,2,3
209,T181,T181,Ross Fisher,1,3
210,T181,T181,Rahil Gangjee,1,3
211,T181,T181,Sergio Garcia,11,3
212,T181,T181,Robert Garrigus,7,3
213,T181,T181,Retief Goosen,3,3
214,T181,T181,Branden Grace,18,3
215,T181,T181,Ben Griffin,2,3
216,T181,T181,Bill Haas,18,3
217,T181,T181,Hunter Hamrick,1,3
218,T181,T181,Tyrrell Hatton,13,3
219,T181,T181,Jim Herman,16,3
220,T181,T181,Kramer Hickok,19,3
221,T181,T181,Morgan Hoffmann,8,3
222,T181,T181,Tom Hoge,24,3
