,Consecutive_Par_4_Birdies_RANK THIS WEEK,Consecutive_Par_4_Birdies_RANK LAST WEEK,Consecutive_Par_4_Birdies_PLAYER NAME,Consecutive_Par_4_Birdies_EVENTS,Consecutive_Par_4_Birdies_NUMBER OF HOLES
0,T1,T1,Dominic Bozzelli,17,6
1,T1,T1,Doug Ghim,6,6
2,T1,T1,Nicholas Lindheim,10,6
3,T4,T4,Keegan Bradley,18,5
4,T4,T4,Rafa Cabrera Bello,15,5
5,T4,T4,Bryson DeChambeau,13,5
6,T4,T4,Jason Dufner,19,5
7,T4,T4,Billy Horschel,19,5
8,T4,T4,Si Woo Kim,20,5
9,T4,T4,Joost Luiten,4,5
10,T4,T4,Keith Mitchell,19,5
11,T4,T4,Roger Sloan,20,5
12,T4,T4,Justin Thomas,13,5
13,T4,T4,Peter Uihlein,22,5
14,T4,T4,Matt Wallace,9,5
15,T16,T16,Anders Albertson,18,4
16,T16,T16,Abraham Ancer,20,4
17,T16,T16,Ryan Armour,21,4
18,T16,T16,Aaron Baddeley,15,4
19,T16,T16,Sangmoon Bae,16,4
20,T16,T16,Daniel Berger,14,4
21,T16,T16,Jonas Blixt,20,4
22,T16,T16,Paul Casey,15,4
23,T16,T16,Roberto Castro,16,4
24,T16,T16,Cameron Champ,19,4
25,T16,T16,Wyndham Clark,20,4
26,T16,T16,Roberto Díaz,16,4
27,T16,T16,Derek Fathauer,10,4
28,T16,T16,Fabián Gómez,14,4
29,T16,T16,Chesson Hadley,20,4
30,T16,T16,Adam Hadwin,18,4
31,T16,T16,David Hearn,14,4
32,T16,T16,Tim Herron,6,4
33,T16,T16,Sung Kang,20,4
34,T16,T16,Russell Knox,18,4
35,T16,T63,Brooks Koepka,13,4
36,T16,T16,Jason Kokrak,17,4
37,T16,T16,Matt Kuchar,16,4
38,T16,T16,Anirban Lahiri,17,4
39,T16,T16,Martin Laird,18,4
40,T16,T16,Nate Lashley,13,4
41,T16,T16,Tae Hee Lee,2,4
42,T16,T16,Marc Leishman,14,4
43,T16,T16,Adam Long,19,4
44,T16,T16,Hideki Matsuyama,15,4
45,T16,T16,Phil Mickelson,13,4
46,T16,T16,Carlos Ortiz,21,4
47,T16,T16,Sanghyun Park,4,4
48,T16,T16,Kenny Pigman,1,4
49,T16,T16,Ian Poulter,13,4
50,T16,T16,Andrew Putnam,17,4
51,T16,T16,Patrick Reed,15,4
52,T16,T16,Andres Romero,6,4
53,T16,T16,Brady Schnell,14,4
54,T16,T16,Ollie Schniederjans,22,4
55,T16,T16,Vijay Singh,6,4
56,T16,T16,Brandt Snedeker,18,4
57,T16,T16,J.J. Spaun,20,4
58,T16,T16,Brian Stuard,22,4
59,T16,T16,Lee Westwood,3,4
60,T16,T16,Aaron Wise,16,4
61,T16,T16,Gary Woodland,17,4
62,T16,T16,Tiger Woods,8,4
63,T64,T63,Byeong Hun An,15,3
64,T64,T63,Kiradech Aphibarnrat,15,3
65,T64,T63,Stuart Appleby,3,3
66,T64,T63,Ricky Barnes,8,3
67,T64,T63,Zach Bauchou,2,3
68,T64,T63,Charlie Beljan,2,3
69,T64,T63,Gaganjeet Bhullar,2,3
70,T64,T63,Lucas Bjerregaard,10,3
71,T64,T63,Ryan Blaum,21,3
72,T64,T63,Scott Brown,21,3
73,T64,T63,Sam Burns,22,3
74,T64,T63,Jonathan Byrd,13,3
75,T64,T63,Chad Campbell,9,3
76,T64,T63,Patrick Cantlay,14,3
77,T64,T63,John Catlin,5,3
78,T64,T63,Bud Cauley,19,3
79,T64,T63,John Chin,14,3
80,T64,T63,K.J. Choi,7,3
81,T64,T63,Daniel Chopra,3,3
82,T64,T63,Stewart Cink,12,3
83,T64,T63,Chad Collins,9,3
84,T64,T63,Corey Conners,20,3
