,Consecutive_Sand_Saves_RANK THIS WEEK,Consecutive_Sand_Saves_RANK LAST WEEK,Consecutive_Sand_Saves_PLAYER NAME,Consecutive_Sand_Saves_EVENTS,Consecutive_Sand_Saves_STREAK,Consecutive_Sand_Saves_CURRENT STREAK,Consecutive_Sand_Saves_ROUND,Consecutive_Sand_Saves_HOLE,Consecutive_Sand_Saves_YEAR/TOURN#
0,1,1,Aaron Baddeley,15,13,,2,14,2019210
1,T2,T2,Dominic Bozzelli,17,10,,2,5,2019180
2,T2,T2,Bud Cauley,19,10,3.0,2,7,2019330
3,T2,T2,Harris English,21,10,2.0,2,16,2019200
4,T2,T2,Morgan Hoffmann,8,10,,3,8,2019230
5,T2,T2,Sung Kang,20,10,,4,12,2019030
6,T2,T2,Martin Kaymer,11,10,,2,6,2019150
7,T2,T2,Phil Mickelson,13,10,,1,6,2019220
8,T2,T2,Andrew Putnam,17,10,,1,6,2019020
9,T2,T26,Roger Sloan,20,10,,2,18,2019330
10,T2,T26,Scott Stallings,20,10,,2,4,2019330
11,T2,T2,Kevin Tway,19,10,1.0,1,1,2019330
12,T2,T2,Mike Weir,4,10,,2,10,2019270
13,T14,T12,Ryan Armour,21,9,,3,12,2019230
14,T14,T112,Jonas Blixt,20,9,1.0,2,8,2019330
15,T14,T12,Joel Dahmen,22,9,,3,12,2019140
16,T14,T12,Robert Garrigus,7,9,,2,7,2019010
17,T14,T12,Brian Harman,22,9,4.0,2,16,2019300
18,T14,T12,Chris Kirk,17,9,1.0,2,16,2019080
19,T14,T12,Graeme McDowell,16,9,2.0,3,6,2019200
20,T14,T12,Sean O'Hair,9,9,1.0,1,11,2019120
21,T14,T12,Patrick Reed,15,9,,2,8,2019120
22,T14,T12,José de Jesús Rodríguez,17,9,1.0,2,2,2019260
23,T14,T12,Xander Schauffele,15,9,,4,11,2019140
24,T14,T12,Brandt Snedeker,18,9,3.0,1,9,2019220
25,T14,T12,Shawn Stefani,19,9,,2,2,2019010
26,T14,T12,Hudson Swafford,20,9,,4,9,2019120
27,T14,T12,Jimmy Walker,17,9,,1,11,2019260
28,T29,T26,Scott Brown,21,8,,1,13,2019140
29,T29,T26,Ernie Els,14,8,,1,3,2019080
30,T29,T26,Tommy Fleetwood,11,8,1.0,1,18,2019050
31,T29,T26,Talor Gooch,12,8,3.0,1,9,2019080
32,T29,T26,Branden Grace,18,8,,1,15,2019150
33,T29,T26,Si Woo Kim,20,8,3.0,2,17,2019320
34,T29,T26,Jamie Lovemark,7,8,,2,13,2019080
35,T29,T26,Curtis Luck,17,8,,1,12,2019180
36,T29,T26,Sebastián Muñoz,18,8,2.0,2,2,2019120
37,T29,T26,Louis Oosthuizen,12,8,,2,5,2019230
38,T29,T26,Martin Trainer,19,8,,2,8,2019220
39,T29,T26,Cameron Tringale,15,8,1.0,3,16,2019130
40,T41,T40,Byeong Hun An,15,7,,2,17,2019210
41,T41,T40,Abraham Ancer,20,7,1.0,4,12,2019030
42,T41,T40,Stuart Appleby,3,7,,4,18,2019040
43,T41,T40,Stewart Cink,12,7,1.0,3,6,2019150
44,T41,T40,Luke Donald,8,7,2.0,1,18,2019280
45,T41,T40,Mathew Goggin,1,7,7.0,1,4,2019300
46,T41,T40,Chesson Hadley,20,7,1.0,1,11,2019010
47,T41,T40,Adam Hadwin,18,7,1.0,4,12,2019030
48,T41,T40,Brandon Harkins,21,7,2.0,1,1,2019280
49,T41,T40,Kramer Hickok,19,7,1.0,1,6,2019200
50,T41,T40,Freddie Jacobson,14,7,,1,3,2019180
51,T41,T40,Dustin Johnson,12,7,,3,3,2019220
52,T41,T40,Colt Knost,8,7,,1,1,2019300
53,T41,T40,Matt Kuchar,16,7,3.0,2,9,2019320
54,T41,T40,Danny Lee,20,7,,1,7,2019010
55,T41,T40,Marc Leishman,14,7,,1,11,2019340
56,T41,T40,Haotong Li,9,7,6.0,4,10,2019050
57,T41,T40,Luke List,16,7,,3,14,2019010
58,T41,T40,Davis Love III,9,7,,1,1,2019120
59,T41,T187,Tom Lovelady,10,7,7.0,2,4,2019300
60,T41,T40,Joost Luiten,4,7,,3,6,2019320
61,T41,T40,Francesco Molinari,10,7,1.0,3,15,2019210
62,T41,T40,Kevin Na,15,7,,4,11,2019150
63,T41,T40,Pat Perez,16,7,3.0,2,17,2019210
64,T41,T40,Sam Ryder,16,7,1.0,2,17,2019210
65,T41,T40,Ollie Schniederjans,22,7,2.0,2,10,2019170
66,T41,T40,Adam Scott,12,7,4.0,2,11,2019030
67,T41,T40,Ben Silverman,17,7,,4,9,2019280
68,T41,T40,Cameron Smith,16,7,1.0,1,4,2019270
69,T41,T40,Jordan Spieth,16,7,1.0,4,16,2019280
70,T41,T40,Robert Streb,21,7,2.0,2,17,2019120
71,T41,T40,Brian Stuard,22,7,,1,4,2019340
72,T41,T40,Michael Thompson,17,7,,2,10,2019230
73,T41,T40,Chase Wright,19,7,1.0,2,14,2019260
74,T75,T73,Daniel Berger,14,6,,2,10,2019200
75,T75,T73,Ryan Blaum,21,6,3.0,3,12,2019210
76,T75,T187,Wyndham Clark,20,6,6.0,2,7,2019330
77,T75,T73,Corey Conners,20,6,2.0,4,7,2019320
78,T75,T73,Roberto Díaz,16,6,,3,3,2019130
79,T75,T73,Jason Day,14,6,4.0,2,8,2019220
80,T75,T73,Jason Dufner,19,6,1.0,1,6,2019020
81,T75,T73,Derek Ernst,2,6,,2,15,2019040
