,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Scottie Scheffler,9,9
1,T2,T17,Harris English,209,8
2,T2,T17,Joey Garber,19,8
3,T2,T17,Cameron Tringale,252,8
4,T5,T2,Kevin Chappell,215,7
5,T5,T2,Tyrrell Hatton,48,7
6,T5,T2,Billy Horschel,216,7
7,T5,T57,Shane Lowry,83,7
8,T5,T57,Wes Roach,55,7
9,T5,T57,Brandt Snedeker,318,7
10,T11,T17,Ryan Armour,153,6
11,T11,5,Brett Drewitt,19,6
12,T13,T6,Byeong Hun An,84,5
13,T13,,Paul Barjon,2,5
14,T13,T6,Charlie Beljan,129,5
15,T13,T6,Rickie Fowler,223,5
16,T13,T6,Oscar Fraustro,27,5
17,T13,,Adam Hadwin,136,5
18,T13,T6,Nick Hardy,8,5
19,T13,T6,Viktor Hovland,4,5
20,T13,T6,Ben Leong,2,5
21,T13,,Rory McIlroy,151,5
22,T13,T6,Xander Schauffele,69,5
23,T13,,Henrik Stenson,187,5
24,T13,T57,Nick Watney,359,5
25,T26,T17,Kiradech Aphibarnrat,52,4
26,T26,,Sangmoon Bae,140,4
27,T26,T17,Patrick Cantlay,72,4
28,T26,T17,Chris Couch,191,4
29,T26,T17,Thomas Detry,1,4
30,T26,T17,Jason Dufner,318,4
31,T26,T17,Paul Dunne,16,4
32,T26,T17,Armando Favela,2,4
33,T26,T17,Emiliano Grillo,95,4
34,T26,T17,Seungsu Han,6,4
35,T26,T70,Brandon Harkins,49,4
36,T26,T17,Lee Hodges,1,4
37,T26,T17,Morgan Hoffmann,152,4
38,T26,T17,Martin Kaymer,128,4
39,T26,,Matt Kuchar,430,4
40,T26,T17,Marc Leishman,257,4
41,T26,T17,Hideki Matsuyama,134,4
42,T26,T17,Tyler McCumber,2,4
43,T26,,Graeme McDowell,208,4
44,T26,T17,John Merrick,267,4
45,T26,,Collin Morikawa,3,4
46,T26,T17,Grayson Murray,66,4
47,T26,T17,Kevin Na,382,4
48,T26,,Joaquin Niemann,34,4
49,T26,,Rod Pampling,379,4
50,T26,T17,C.T. Pan,79,4
51,T26,T17,Davis Riley,2,4
52,T26,T17,Adam Scott,298,4
53,T26,,Webb Simpson,269,4
54,T26,T17,Kevin Streelman,315,4
55,T26,,Justin Thomas,124,4
56,T26,T17,Michael Thompson,203,4
57,T26,T17,Kristoffer Ventura,4,4
58,T26,,Danny Willett,56,4
59,T26,T17,Mark Wilson,374,4
60,T26,T17,Tiger Woods,338,4
61,T62,T57,Daniel Chopra,264,3
62,T62,,Chad Collins,186,3
63,T62,T57,Ben Griffin,2,3
64,T62,,Zach Johnson,383,3
65,T62,T17,Dustin Johnson,242,3
66,T62,,Whee Kim,123,3
67,T62,T57,Jonathan Randolph,73,3
68,T62,T57,Justin Rose,317,3
69,T62,T57,Ryan Ruffels,17,3
70,T62,T57,Rory Sabbatini,499,3
71,T62,T57,Brian Stuard,210,3
72,T73,,James Allenby,1,2
73,T73,T70,Mark Anguiano,2,2
74,T73,T70,Stuart Appleby,523,2
75,T73,,Daniel Berger,116,2
76,T73,,Jonathan Byrd,390,2
77,T73,T70,Paul Casey,238,2
78,T73,,Alex Cejka,378,2
79,T73,,Wyndham Clark,26,2
80,T73,,Austin Connelly,10,2
81,T73,,Corey Conners,55,2
82,T73,T70,George Cunningham,3,2
83,T73,T70,Martin Flores,194,2
84,T73,T70,Jason Gore,285,2
85,T73,T70,Freddie Jacobson,315,2
86,T73,T70,Alex Kang,5,2
87,T73,T70,Russell Knox,175,2
88,T73,,Danny Lee,211,2
89,T73,T70,Jamie Lovemark,149,2
90,T73,T70,Dong Seop Maeng,1,2
91,T73,,Denny McCarthy,42,2
92,T73,T70,Blake Morris,1,2
93,T73,T17,Sebastián Muñoz,35,2
94,T73,T70,Doyeob Mun,1,2
95,T73,T70,Bryson Nimmer,1,2
96,T73,T70,Derek Oland,1,2
97,T73,,Seamus Power,69,2
98,T73,T70,Charles Reiter,2,2
99,T73,T70,Kevin Stadler,261,2
100,T73,T70,Steve Stricker,474,2
101,T73,,Adam Svensson,23,2
102,T73,,Mike Weir,428,2
