,Current_Streak_without_a_3-Putt_RANK THIS WEEK,Current_Streak_without_a_3-Putt_RANK LAST WEEK,Current_Streak_without_a_3-Putt_PLAYER NAME,Current_Streak_without_a_3-Putt_EVENTS,Current_Streak_without_a_3-Putt_VALUE
0,1,1,Wyndham Clark,20,281
1,2,2,Beau Hossler,20,172
2,3,3,Tyrrell Hatton,13,148
3,4,27,Mackenzie Hughes,19,144
4,5,5,Branden Grace,18,139
5,6,11,Cameron Davis,18,132
6,7,T14,Hudson Swafford,20,127
7,8,6,Rickie Fowler,14,125
8,9,T42,Roger Sloan,20,124
9,10,7,Byeong Hun An,15,123
10,11,8,Ernie Els,14,117
11,12,T53,Joaquin Niemann,20,116
12,13,T61,Matt Kuchar,16,112
13,14,999,Shane Lowry,10,100
14,15,37,Brady Schnell,14,96
15,16,12,Justin Rose,11,94
16,17,13,Andrew Putnam,17,92
17,T18,T14,C.T. Pan,19,91
18,T18,T104,Webb Simpson,14,91
19,20,T110,Peter Malnati,19,90
20,21,T16,Grayson Murray,14,87
21,22,18,Kevin Streelman,20,85
22,T23,19,Kevin Na,15,82
23,T23,T49,Seamus Power,21,82
24,T25,T20,Aaron Baddeley,15,80
25,T25,T20,Martin Kaymer,11,80
26,T27,T22,Kiradech Aphibarnrat,15,79
27,T27,T150,Harris English,21,79
28,29,T25,Tiger Woods,8,76
29,30,T182,Sungjae Im,26,74
30,31,T182,Stephan Jaeger,19,70
31,32,29,Patrick Cantlay,14,67
32,T33,T30,Keith Mitchell,19,66
33,T33,T173,Ryan Palmer,16,66
34,T33,T30,Charl Schwartzel,13,66
35,36,32,Rory Sabbatini,19,65
36,T37,T85,Brian Gay,22,64
37,T37,T76,Alex Prugh,18,64
38,39,T25,Kevin Tway,19,63
39,T40,36,Ryan Blaum,21,62
40,T40,T78,Ben Crane,13,62
41,42,T53,Rod Pampling,16,61
42,T43,T99,Kyle Jones,19,58
43,T43,38,Rory McIlroy,13,58
44,45,39,Brian Stuard,22,57
45,46,999,Tyrone Van Aswegen,11,56
