,YTD_Consecutive_Cuts_RANK THIS WEEK,YTD_Consecutive_Cuts_RANK LAST WEEK,YTD_Consecutive_Cuts_PLAYER NAME,YTD_Consecutive_Cuts_NUMBER OF CUTS
0,1,1,Jason Kokrak,17
1,2,2,Hideki Matsuyama,15
2,3,3,Graeme McDowell,13
3,4,T4,Dustin Johnson,12
4,T5,T4,Tommy Fleetwood,11
5,T5,T4,Rory Sabbatini,11
6,T7,7,Matthew Fitzpatrick,9
7,T7,T8,Henrik Stenson,9
8,T9,T8,Kyoung-Hoon Lee,8
9,T9,T8,Jordan Spieth,8
10,T11,T11,Rafa Cabrera Bello,7
11,T11,T11,Emiliano Grillo,7
12,T11,T14,Brooks Koepka,7
13,T11,T14,Alex Noren,7
14,T15,T20,Daniel Berger,6
15,T15,T20,Adam Hadwin,6
16,T15,T14,Billy Horschel,6
17,T15,T14,Shubhankar Sharma,6
18,T15,T20,Webb Simpson,6
19,T15,T14,Brian Stuard,6
20,T15,T20,Kevin Tway,6
21,T22,T20,Tyrrell Hatton,5
22,T22,T27,Martin Laird,5
23,T22,T20,Haotong Li,5
24,T22,T20,Gary Woodland,5
25,T26,T27,Abraham Ancer,4
26,T26,T27,Lucas Glover,4
27,T26,T27,Max Homa,4
28,T26,T27,David Lipsky,4
29,T26,T27,Joost Luiten,4
30,T26,T40,Peter Malnati,4
31,T26,T27,Sanghyun Park,4
32,T26,T27,Thomas Pieters,4
33,T26,T27,Justin Rose,4
34,T26,T40,Brandt Snedeker,4
35,T26,T27,Vaughn Taylor,4
36,T26,T40,Erik van Rooyen,4
37,T38,T40,Stuart Appleby,3
38,T38,T51,Jonas Blixt,3
39,T38,T40,Kevin Chappell,3
40,T38,T51,Ben Crane,3
41,T38,T51,Harris English,3
42,T38,T51,Jim Furyk,3
43,T38,T40,Justin Harding,3
44,T38,T51,Brian Harman,3
45,T38,T51,Sebastián Muñoz,3
46,T38,T51,Joaquin Niemann,3
47,T38,T40,Andrew Putnam,3
48,T38,T51,Wes Roach,3
49,T38,T40,Scottie Scheffler,3
50,T38,T51,Roger Sloan,3
51,T38,T40,Kevin Streelman,3
52,T38,T51,Jimmy Walker,3
53,T38,T51,Danny Willett,3
54,T55,T51,Byeong Hun An,2
55,T55,T51,Aaron Baddeley,2
56,T55,T51,Gaganjeet Bhullar,2
57,T55,,Dominic Bozzelli,2
58,T55,T51,Patrick Cantlay,2
59,T55,T51,Minchel Choi,2
60,T55,T51,Daniel Chopra,2
61,T55,T51,George Coetzee,2
62,T55,T51,Chris Couch,2
63,T55,T51,Jason Dufner,2
64,T55,,Tyler Duncan,2
65,T55,T51,Derek Ernst,2
66,T55,,Joey Garber,2
67,T55,T51,Sam Horsfield,2
68,T55,T51,Viktor Hovland,2
69,T55,,Mackenzie Hughes,2
70,T55,,Sungjae Im,2
71,T55,T51,Yuki Inamori,2
72,T55,,Stephan Jaeger,2
73,T55,T51,Martin Kaymer,2
74,T55,T51,Sihwan Kim,2
75,T55,T51,Russell Knox,2
76,T55,T51,Anirban Lahiri,2
77,T55,T51,Tae Hee Lee,2
78,T55,,Shane Lowry,2
79,T55,T51,Hunter Mahan,2
80,T55,T51,Francesco Molinari,2
81,T55,T51,Louis Oosthuizen,2
82,T55,,Ryan Palmer,2
83,T55,T51,"Ted Potter, Jr.",2
84,T55,,Adam Schenk,2
85,T55,T51,Adam Scott,2
86,T55,,Ben Silverman,2
87,T55,,Sepp Straka,2
88,T55,,Josh Teater,2
89,T55,,Cameron Tringale,2
90,T55,T51,Ryan Vermeer,2
91,T55,T51,Scott Vincent,2
