,YTD_Par_or_Better_Streak_RANK THIS WEEK,YTD_Par_or_Better_Streak_RANK LAST WEEK,YTD_Par_or_Better_Streak_PLAYER NAME,YTD_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Graeme McDowell,29
1,2,2,Joel Dahmen,28
2,3,3,Webb Simpson,24
3,T4,T4,Byeong Hun An,22
4,T4,T4,Jon Rahm,22
5,T4,T4,Harold Varner III,22
6,7,7,Roberto Castro,21
7,T8,T8,Lucas Glover,20
8,T8,T8,Andrew Putnam,20
9,T10,T10,Matt Kuchar,19
10,T10,T10,Scott Langley,19
11,T10,T10,Chez Reavie,19
12,T10,T10,Johnson Wagner,19
13,14,14,Bryson DeChambeau,18
14,T15,T15,Scott Brown,17
15,T15,T15,Ryan Palmer,17
16,T17,T17,Julián Etulain,16
17,T17,T17,Tony Finau,16
18,T17,T17,Sungjae Im,16
19,T17,T17,Scott Piercy,16
20,T17,T17,Patrick Rodgers,16
21,T22,T22,Anders Albertson,15
22,T22,T22,Hank Lebioda,15
23,T22,T22,Rory McIlroy,15
24,T22,T22,Trey Mullinax,15
25,T22,T22,Xander Schauffele,15
26,T22,T22,Brian Stuard,15
27,T22,T22,Justin Thomas,15
28,T29,T29,Abraham Ancer,14
29,T29,T29,Dylan Frittelli,14
30,T29,T29,Dustin Johnson,14
31,T29,T29,Nate Lashley,14
32,T29,T29,Justin Rose,14
33,T29,T29,Michael Thompson,14
34,T35,T35,Cameron Champ,13
35,T35,T35,Jason Day,13
36,T35,T35,Harris English,13
37,T35,T35,Sergio Garcia,13
38,T35,T35,Brian Gay,13
39,T35,T35,Charley Hoffman,13
40,T35,T35,Charles Howell III,13
41,T35,T35,Patton Kizzire,13
42,T35,T35,J.J. Spaun,13
43,T44,T44,Corey Conners,12
44,T44,T44,Jason Dufner,12
45,T44,T44,Brice Garnett,12
46,T44,T44,James Hahn,12
47,T44,T44,Kevin Kisner,12
48,T44,T44,Brooks Koepka,12
49,T44,T44,Marc Leishman,12
50,T44,T44,Luke List,12
51,T44,T44,J.T. Poston,12
52,T44,T44,Ian Poulter,12
53,T44,T44,Patrick Reed,12
54,T44,T44,Vaughn Taylor,12
55,T44,T44,D.J. Trahan,12
56,T44,T44,Jhonattan Vegas,12
