,YTD_Rounds_in_60s_Streak_RANK THIS WEEK,YTD_Rounds_in_60s_Streak_RANK LAST WEEK,YTD_Rounds_in_60s_Streak_PLAYER NAME,YTD_Rounds_in_60s_Streak_BEST STREAK
0,1,1,Dustin Johnson,14
1,2,2,Chez Reavie,12
2,T3,T3,Tony Finau,11
3,T3,T3,J.J. Spaun,11
4,T5,T5,Brian Gay,9
5,T5,T5,Talor Gooch,9
6,T5,T5,Charles Howell III,9
7,T5,T5,J.T. Poston,9
8,T9,T9,Cameron Champ,8
9,T9,T9,Rickie Fowler,8
10,T9,T9,Lucas Glover,8
11,T9,T9,Matt Kuchar,8
12,T9,T9,Ian Poulter,8
13,T9,T9,Sam Saunders,8
14,T9,T9,Webb Simpson,8
15,T9,T9,Justin Thomas,8
16,T9,T66,Cameron Tringale,8
17,T9,T9,Chase Wright,8
18,T19,T18,Abraham Ancer,7
19,T19,T18,Patrick Cantlay,7
20,T19,T135,Shane Lowry,7
21,T19,T18,Joaquin Niemann,7
22,T19,T18,Scott Piercy,7
23,T19,T18,Jon Rahm,7
24,T19,T18,Patrick Reed,7
25,T19,T40,Brandt Snedeker,7
26,T19,T18,Kevin Streelman,7
27,T19,T18,Richy Werenski,7
28,T29,T26,Ryan Blaum,6
29,T29,T26,Bryson DeChambeau,6
30,T29,T26,Harris English,6
31,T29,T26,Branden Grace,6
32,T29,T26,Jim Herman,6
33,T29,T26,J.B. Holmes,6
34,T29,T26,Beau Hossler,6
35,T29,T26,Kevin Kisner,6
36,T29,T26,Brooks Koepka,6
37,T29,T26,Anirban Lahiri,6
38,T29,T26,Andrew Landry,6
39,T29,T66,Ryan Palmer,6
40,T29,T26,Rory Sabbatini,6
41,T29,T26,Harold Varner III,6
42,T29,T26,Jhonattan Vegas,6
43,T44,T40,Anders Albertson,5
44,T44,T40,Ryan Armour,5
45,T44,T40,Dominic Bozzelli,5
46,T44,T40,Bud Cauley,5
47,T44,T40,Corey Conners,5
48,T44,T40,Cameron Davis,5
49,T44,T40,Matt Every,5
50,T44,T40,Adam Hadwin,5
51,T44,T40,Sung Kang,5
52,T44,T40,Patton Kizzire,5
53,T44,T40,Danny Lee,5
54,T44,T40,Marc Leishman,5
55,T44,T40,Davis Love III,5
56,T44,T66,Peter Malnati,5
57,T44,T40,Hideki Matsuyama,5
58,T44,T40,Graeme McDowell,5
59,T44,T40,Phil Mickelson,5
60,T44,T66,Sebastián Muñoz,5
61,T44,T40,Pat Perez,5
62,T44,T40,"Ted Potter, Jr.",5
63,T44,T40,Seamus Power,5
64,T44,T40,Sam Ryder,5
65,T44,T40,Adam Svensson,5
66,T44,T40,Brendon Todd,5
67,T44,T40,Jimmy Walker,5
68,T44,T40,Nick Watney,5
69,T44,T40,Gary Woodland,5
70,T71,T66,Kiradech Aphibarnrat,4
71,T71,T66,Aaron Baddeley,4
72,T71,T66,Daniel Berger,4
73,T71,T66,Keegan Bradley,4
74,T71,T66,Scott Brown,4
75,T71,T66,Bronson Burgoon,4
76,T71,T66,Sam Burns,4
77,T71,T66,Rafa Cabrera Bello,4
78,T71,T66,Paul Casey,4
79,T71,T66,Alex Cejka,4
80,T71,T66,Joel Dahmen,4
81,T71,T66,Jason Day,4
82,T71,T66,Derek Fathauer,4
83,T71,T66,Jim Furyk,4
84,T71,T66,Brice Garnett,4
85,T71,T66,Doug Ghim,4
86,T71,T66,Emiliano Grillo,4
87,T71,T66,Chesson Hadley,4
88,T71,T66,James Hahn,4
89,T71,T66,Padraig Harrington,4
90,T71,T66,David Hearn,4
91,T71,T66,Russell Henley,4
92,T71,T66,Kramer Hickok,4
93,T71,T66,Max Homa,4
94,T71,T66,Sungjae Im,4
95,T71,T66,Stephan Jaeger,4
96,T71,T66,Matt Jones,4
97,T71,T66,Whee Kim,4
98,T71,T66,Si Woo Kim,4
99,T71,T66,Jim Knous,4
100,T71,T66,Russell Knox,4
101,T71,T66,Jason Kokrak,4
102,T71,T66,Scott Langley,4
103,T71,T66,Nate Lashley,4
104,T71,T66,Hank Lebioda,4
105,T71,T66,Luke List,4
106,T71,T66,Jamie Lovemark,4
107,T71,T66,Denny McCarthy,4
108,T71,T66,Rory McIlroy,4
109,T71,T66,Troy Merritt,4
110,T71,T66,Keith Mitchell,4
111,T71,T66,Kevin Na,4
112,T71,T66,Sean O'Hair,4
113,T71,T66,Louis Oosthuizen,4
114,T71,T66,Carlos Ortiz,4
115,T71,T202,Rod Pampling,4
116,T71,T66,C.T. Pan,4
117,T71,T66,Martin Piller,4
118,T71,T66,Andrew Putnam,4
119,T71,T66,Seth Reeves,4
120,T71,T135,Wes Roach,4
121,T71,T66,Justin Rose,4
122,T71,T66,Xander Schauffele,4
123,T71,T66,Scottie Scheffler,4
124,T71,T66,Adam Schenk,4
125,T71,T66,Roger Sloan,4
126,T71,T66,Cameron Smith,4
127,T71,T66,Henrik Stenson,4
128,T71,T202,Sepp Straka,4
129,T71,T66,Robert Streb,4
130,T71,T66,Chris Stroud,4
131,T71,T66,Brian Stuard,4
132,T71,T66,Zack Sucher,4
133,T71,T66,Hudson Swafford,4
134,T71,T66,Vaughn Taylor,4
135,T71,T66,Michael Thompson,4
136,T71,T66,Martin Trainer,4
137,T71,T66,Johnson Wagner,4
138,T71,T202,Danny Willett,4
139,T140,T135,Byeong Hun An,3
140,T140,T135,Sangmoon Bae,3
141,T140,T135,Shintaro Ban,3
142,T140,T135,Jonas Blixt,3
143,T140,T135,Jonathan Byrd,3
144,T140,T135,Roberto Castro,3
145,T140,T135,John Catlin,3
146,T140,T135,Stewart Cink,3
147,T140,T135,Wyndham Clark,3
148,T140,T135,Austin Cook,3
149,T140,T135,Ben Crane,3
150,T140,T135,Roberto Díaz,3
151,T140,T135,Jason Dufner,3
152,T140,T202,Tyler Duncan,3
153,T140,T135,Ernie Els,3
154,T140,T135,Julián Etulain,3
155,T140,T135,Tommy Fleetwood,3
156,T140,T135,Dylan Frittelli,3
157,T140,T135,Joey Garber,3
158,T140,T135,Sergio Garcia,3
159,T140,T135,Fabián Gómez,3
160,T140,T135,Jason Gore,3
161,T140,T135,Bill Haas,3
162,T140,T135,Brandon Hagy,3
163,T140,T135,Brian Harman,3
164,T140,T135,Tyrrell Hatton,3
165,T140,T135,J.J. Henry,3
166,T140,T135,Charley Hoffman,3
167,T140,T135,Tom Hoge,3
168,T140,T135,Billy Horschel,3
169,T140,T202,Mackenzie Hughes,3
170,T140,T135,Zach Johnson,3
171,T140,T135,Kyle Jones,3
172,T140,T135,Martin Kaymer,3
173,T140,T135,Chris Kirk,3
174,T140,T135,Satoshi Kodaira,3
175,T140,T135,Kelly Kraft,3
176,T140,T135,Kyoung-Hoon Lee,3
177,T140,T135,Nicholas Lindheim,3
178,T140,T135,Adam Long,3
179,T140,T135,Hunter Mahan,3
180,T140,T135,Steve Marino,3
181,T140,T135,Dylan Meyer,3
182,T140,T135,Ryan Moore,3
183,T140,,Collin Morikawa,3
184,T140,T135,Alex Noren,3
185,T140,T135,Eddie Pepperell,3
186,T140,T135,Thomas Pieters,3
187,T140,T135,Davis Riley,3
188,T140,T135,Patrick Rodgers,3
189,T140,T135,José de Jesús Rodríguez,3
190,T140,T135,Brady Schnell,3
191,T140,T135,Ollie Schniederjans,3
192,T140,T135,Adam Scott,3
193,T140,T135,Shubhankar Sharma,3
194,T140,T135,Ben Silverman,3
195,T140,T135,Jordan Spieth,3
196,T140,T135,Scott Stallings,3
197,T140,T135,Kyle Stanley,3
198,T140,T135,Brendan Steele,3
199,T140,T135,Shawn Stefani,3
200,T140,T135,Nick Taylor,3
201,T140,T135,Josh Teater,3
202,T140,T135,D.J. Trahan,3
203,T140,T135,Kevin Tway,3
204,T140,T135,Peter Uihlein,3
205,T140,T135,Bubba Watson,3
206,T140,T135,Aaron Wise,3
207,T208,T202,Stuart Appleby,2
208,T208,,Paul Barjon,2
209,T208,T202,Wesley Bryan,2
210,T208,T202,Kevin Chappell,2
211,T208,T202,John Chin,2
212,T208,T202,K.J. Choi,2
213,T208,T202,Daniel Chopra,2
214,T208,T202,Brendon de Jonge,2
215,T208,T202,Paul Dunne,2
216,T208,T202,Armando Favela,2
217,T208,T202,Matthew Fitzpatrick,2
218,T208,T202,Robert Garrigus,2
219,T208,T202,Cody Gribble,2
220,T208,T202,Seungsu Han,2
221,T208,T202,Justin Harding,2
222,T208,T202,Brandon Harkins,2
223,T208,T202,Morgan Hoffmann,2
224,T208,T202,John Huh,2
225,T208,T202,Shugo Imahira,2
226,T208,T202,Yuki Inamori,2
227,T208,T202,Freddie Jacobson,2
228,T208,T202,Jazz Janewattananond,2
229,T208,,Richard Jung,2
230,T208,,Jake Knapp,2
231,T208,T202,Colt Knost,2
232,T208,T202,Martin Laird,2
233,T208,T202,David Lingmerth,2
234,T208,T202,David Lipsky,2
235,T208,T202,Tom Lovelady,2
236,T208,T202,Curtis Luck,2
237,T208,T202,Will MacKenzie,2
238,T208,,George McNeill,2
239,T208,T202,Francesco Molinari,2
240,T208,T202,Trey Mullinax,2
241,T208,T202,Doyeob Mun,2
242,T208,T202,Grayson Murray,2
243,T208,T202,Thorbjørn Olesen,2
244,T208,T202,Alex Prugh,2
245,T208,T202,Charl Schwartzel,2
246,T208,T202,Vijay Singh,2
247,T208,T202,Richard Sterne,2
248,T208,,Chris Thompson,2
249,T208,T202,Tyrone Van Aswegen,2
250,T208,T202,Matt Wallace,2
251,T208,T202,Tiger Woods,2
252,T208,T202,Norman Xiong,2
253,T208,T202,Y.E. Yang,2
