,YTD_Sub-Par_Rounds_Streak_RANK THIS WEEK,YTD_Sub-Par_Rounds_Streak_RANK LAST WEEK,YTD_Sub-Par_Rounds_Streak_PLAYER NAME,YTD_Sub-Par_Rounds_Streak_VALUE
0,1,1,Harold Varner III,17
1,T2,T2,Tony Finau,16
2,T2,T2,Webb Simpson,16
3,T4,T4,Bryson DeChambeau,15
4,T4,T4,Graeme McDowell,15
5,T4,T4,Xander Schauffele,15
6,7,7,Dustin Johnson,14
7,T8,T8,Harris English,13
8,T8,T8,Charles Howell III,13
9,T8,T8,J.J. Spaun,13
10,T11,T11,Marc Leishman,12
11,T11,T11,Chez Reavie,12
12,T11,T11,Patrick Rodgers,12
13,T11,T11,Justin Thomas,12
14,T15,T15,Matt Every,11
15,T15,T15,Brooks Koepka,11
16,T15,T15,Trey Mullinax,11
17,T15,T15,Andrew Putnam,11
18,T15,T15,Jon Rahm,11
19,T20,T20,Cameron Champ,10
20,T20,T20,Brian Gay,10
21,T20,T20,James Hahn,10
22,T20,T20,Kevin Kisner,10
23,T20,T20,Patton Kizzire,10
24,T20,T20,Anirban Lahiri,10
25,T20,T20,Luke List,10
26,T20,T20,Patrick Reed,10
27,T20,T20,Justin Rose,10
28,T20,T20,Cameron Smith,10
29,T30,T30,Roberto Castro,9
30,T30,T30,Joel Dahmen,9
31,T30,T30,Talor Gooch,9
32,T30,T30,Matt Kuchar,9
33,T30,T30,Hank Lebioda,9
34,T30,T30,Scott Piercy,9
35,T30,T30,J.T. Poston,9
36,T30,T30,Ian Poulter,9
37,T30,T30,Rory Sabbatini,9
38,T30,T30,Scottie Scheffler,9
39,T30,T30,Adam Schenk,9
40,T30,T30,Brian Stuard,9
41,T30,T30,Michael Thompson,9
42,T43,T43,Kiradech Aphibarnrat,8
43,T43,T43,Aaron Baddeley,8
44,T43,T43,Patrick Cantlay,8
45,T43,T43,Matthew Fitzpatrick,8
46,T43,T43,Rickie Fowler,8
47,T43,T43,Lucas Glover,8
48,T43,T43,Charley Hoffman,8
49,T43,T43,J.B. Holmes,8
50,T43,T43,Matt Jones,8
51,T43,T43,Sung Kang,8
52,T43,T43,Jason Kokrak,8
53,T43,T43,Scott Langley,8
54,T43,T43,Rory McIlroy,8
55,T43,T43,Joaquin Niemann,8
56,T43,T43,Sam Saunders,8
57,T43,T43,Brandt Snedeker,8
58,T43,T43,Adam Svensson,8
59,T43,T43,Hudson Swafford,8
60,T43,T43,D.J. Trahan,8
61,T43,T88,Cameron Tringale,8
62,T43,T43,Kevin Tway,8
63,T43,T43,Nick Watney,8
64,T43,T43,Richy Werenski,8
65,T43,T43,Chase Wright,8
66,T67,T66,Anders Albertson,7
67,T67,T66,Abraham Ancer,7
68,T67,T66,Keegan Bradley,7
69,T67,T66,Sam Burns,7
70,T67,T66,Paul Casey,7
71,T67,T66,Corey Conners,7
72,T67,T66,Jason Day,7
73,T67,T66,Julián Etulain,7
74,T67,T66,Jim Furyk,7
75,T67,T66,Branden Grace,7
76,T67,T66,Billy Horschel,7
77,T67,T66,Beau Hossler,7
78,T67,T66,Mackenzie Hughes,7
79,T67,T66,Sungjae Im,7
80,T67,T226,Shane Lowry,7
81,T67,T66,Hideki Matsuyama,7
82,T67,T66,C.T. Pan,7
83,T67,T66,"Ted Potter, Jr.",7
84,T67,T164,Wes Roach,7
85,T67,T66,José de Jesús Rodríguez,7
